('pip:jinja2', '')
('npm:arr-union', '3.1.0')
('npm:json-stable-stringify-without-jsonify', '1.0.1')
('npm:@types/color-name', '1.1.1')
('npm:pascalcase', '0.1.1')
('npm:@mapbox/jsonlint-lines-primitives', '2.0.2')
('npm:chroma-js', '2.1.0')
('npm:strict-uri-encode', '1.1.0')
('npm:uniqs', '2.0.0')
('npm:node-int64', '0.4.0')
('npm:pkg-dir', '4.2.0')
('npm:brace-expansion', '1.1.11')
('npm:w3c-hr-time', '1.0.2')
('npm:ms', '2.1.2')
('npm:fs.realpath', '1.0.0')
('npm:@types/prop-types', '15.7.3')
('npm:stringify-object', '3.3.0')
('npm:hash.js', '1.1.7')
('npm:@babel/plugin-transform-typeof-symbol', '7.8.4')
('npm:faye-websocket', '0.11.3')
('npm:is-descriptor', '1.0.2')
('npm:detect-newline', '2.1.0')
('npm:@jest/core', '24.9.0')
('npm:resolve', '1.15.1')
('npm:ast-types-flow', '0.0.7')
('npm:@xtuc/ieee754', '1.2.0')
('npm:file-loader', '4.3.0')
('npm:@babel/plugin-transform-runtime', '7.9.0')
('npm:workbox-precaching', '4.3.1')
('npm:jss-plugin-nested', '10.1.1')
('npm:to-object-path', '0.3.0')
('npm:express', '4.17.1')
('pip:async-exit-stack', '')
('npm:workbox-build', '4.3.1')
('npm:mime-types', '2.1.26')
('npm:side-channel', '1.0.2')
('npm:relateurl', '0.2.7')
('npm:argparse', '1.0.10')
('npm:domhandler', '2.4.2')
('npm:pbf', '3.2.1')
('npm:q', '1.5.1')
('npm:@hapi/address', '2.1.4')
('npm:@babel/plugin-transform-react-jsx', '7.9.1')
('npm:path-parse', '1.0.6')
('npm:run-async', '2.4.0')
('npm:worker-rpc', '0.1.1')
('npm:caniuse-api', '3.0.0')
('npm:@babel/plugin-transform-react-jsx-self', '7.9.0')
('npm:buffer', '4.9.2')
('npm:postcss-initial', '3.0.2')
('npm:hsla-regex', '1.0.0')
('npm:@babel/helper-define-map', '7.8.3')
('npm:safe-regex', '1.1.0')
('npm:websocket-driver', '0.7.3')
('npm:del', '4.1.1')
('npm:debug', '4.1.1')
('npm:regenerate-unicode-properties', '8.2.0')
('npm:object-keys', '1.1.1')
('npm:@typescript-eslint/typescript-estree', '2.24.0')
('npm:rgb-regex', '1.0.1')
('npm:@babel/plugin-transform-new-target', '7.8.3')
('npm:is-regex', '1.0.5')
('npm:follow-redirects', '1.13.0')
('npm:num2fraction', '1.2.2')
('npm:progress', '2.0.3')
('npm:glob-parent', '5.1.0')
('npm:semver', '7.0.0')
('npm:bser', '2.1.1')
('npm:tapable', '1.1.3')
('npm:default-gateway', '4.2.0')
('npm:path-type', '4.0.0')
('npm:@webassemblyjs/ast', '1.8.5')
('npm:domain-browser', '1.2.0')
('npm:@hapi/topo', '3.1.6')
('npm:tweetnacl', '0.14.5')
('npm:resolve-url-loader', '3.1.1')
('npm:alphanum-sort', '1.0.2')
('npm:regenerate', '1.4.0')
('npm:through2', '2.0.5')
('npm:repeat-element', '1.1.3')
('npm:data-urls', '1.1.0')
('npm:unpipe', '1.0.0')
('npm:isstream', '0.1.2')
('npm:@material-ui/core', '4.9.14')
('npm:hex-color-regex', '1.1.0')
('npm:@types/yargs', '15.0.4')
('npm:fs-write-stream-atomic', '1.0.10')
('npm:istanbul-lib-source-maps', '3.0.6')
('pip:pandas', '')
('npm:util-deprecate', '1.0.2')
('npm:unique-slug', '2.0.2')
('npm:is-resolvable', '1.1.0')
('npm:@svgr/babel-preset', '4.3.3')
('npm:diff-sequences', '24.9.0')
('npm:y18n', '4.0.0')
('npm:sockjs', '0.3.19')
('npm:ajv-keywords', '3.4.1')
('npm:postcss-custom-media', '7.0.8')
('npm:hoist-non-react-statics', '3.3.2')
('npm:big.js', '5.2.2')
('npm:move-concurrently', '1.0.1')
('npm:dir-glob', '2.0.0')
('npm:commander', '4.1.1')
('npm:json-stringify-safe', '5.0.1')
('npm:object-path', '0.11.4')
('npm:diffie-hellman', '5.0.3')
('npm:map-age-cleaner', '0.1.3')
('npm:@babel/plugin-transform-for-of', '7.9.0')
('npm:merge-descriptors', '1.0.1')
('npm:flush-write-stream', '1.1.1')
('npm:@jest/test-result', '24.9.0')
('npm:@mapbox/unitbezier', '0.0.0')
('npm:cssnano-util-get-arguments', '4.0.0')
('npm:jsonfile', '4.0.0')
('npm:style-loader', '0.23.1')
('npm:@date-io/moment', '1.3.13')
('npm:postcss-place', '4.0.1')
('npm:json-stable-stringify', '1.0.1')
('npm:portfinder', '1.0.25')
('npm:flatten', '1.0.3')
('npm:call-me-maybe', '1.0.1')
('pip:jenkspy', '')
('npm:@babel/helper-module-imports', '7.8.3')
('npm:babel-preset-react-app', '9.1.2')
('npm:is-typedarray', '1.0.0')
('npm:p-reduce', '1.0.0')
('npm:ripemd160', '2.0.2')
('npm:leven', '3.1.0')
('npm:killable', '1.0.1')
('com.github.instedd/oasis', '')
('npm:@jest/environment', '24.9.0')
('npm:sass-loader', '8.0.2')
('npm:jest-util', '24.9.0')
('npm:anymatch', '3.1.1')
('npm:media-typer', '0.3.0')
('npm:path-is-inside', '1.0.2')
('npm:@babel/plugin-syntax-decorators', '7.8.3')
('npm:string.prototype.trimright', '2.1.1')
('npm:symbol-tree', '3.2.4')
('npm:@testing-library/dom', '6.16.0')
('npm:bluebird', '3.7.2')
('npm:mime', '2.4.4')
('npm:@babel/plugin-transform-react-display-name', '7.8.3')
('npm:http-parser-js', '0.4.10')
('npm:murmurhash-js', '1.0.0')
('npm:eslint-plugin-flowtype', '4.6.0')
('npm:moment', '2.25.3')
('npm:webidl-conversions', '4.0.2')
('npm:p-defer', '1.0.0')
('npm:workbox-core', '4.3.1')
('npm:is-number', '7.0.0')
('npm:setimmediate', '1.0.5')
('npm:postcss-loader', '3.0.0')
('npm:private', '0.1.8')
('npm:p-try', '2.2.0')
('npm:next-tick', '1.0.0')
('npm:rifm', '0.7.0')
('npm:browserify-zlib', '0.2.0')
('npm:dns-packet', '1.3.1')
('npm:camel-case', '4.1.1')
('npm:yargs-parser', '13.1.2')
('npm:pkg-up', '3.1.0')
('npm:is-extglob', '2.1.1')
('npm:slash', '3.0.0')
('npm:rework-visit', '1.0.0')
('npm:grid-index', '1.1.0')
('npm:object.entries', '1.1.1')
('npm:os-tmpdir', '1.0.2')
('npm:css-blank-pseudo', '0.1.4')
('pip:sigfig', '')
('npm:isarray', '1.0.0')
('npm:test-exclude', '5.2.3')
('npm:browser-process-hrtime', '1.0.0')
('npm:figures', '3.2.0')
('npm:browser-resolve', '1.11.3')
('npm:regjsgen', '0.5.1')
('npm:@svgr/babel-plugin-remove-jsx-empty-expression', '4.2.0')
('npm:extsprintf', '1.4.0')
('npm:string.prototype.trimleft', '2.1.1')
('npm:base', '0.11.2')
('npm:@babel/code-frame', '7.8.3')
('npm:babel-plugin-jest-hoist', '24.9.0')
('npm:workbox-streams', '4.3.1')
('npm:uuid', '3.4.0')
('npm:core-js', '3.6.4')
('npm:potpack', '1.0.1')
('npm:json-parse-better-errors', '1.0.2')
('npm:invariant', '2.2.4')
('npm:resolve-url', '0.2.1')
('npm:postcss-convert-values', '4.0.1')
('npm:chokidar', '3.3.1')
('npm:fast-glob', '2.2.7')
('npm:workbox-cacheable-response', '4.3.1')
('npm:postcss-normalize-whitespace', '4.0.2')
('npm:postcss-minify-params', '4.0.2')
('npm:@babel/plugin-proposal-async-generator-functions', '7.8.3')
('npm:mississippi', '3.0.0')
('npm:decamelize', '1.2.0')
('npm:assert-plus', '1.0.0')
('npm:levenary', '1.1.1')
('npm:ansi-regex', '5.0.0')
('npm:acorn-jsx', '5.2.0')
('npm:strip-bom', '3.0.0')
('pip:alembic', '')
('npm:compression', '1.7.4')
('npm:source-map-support', '0.5.16')
('npm:regex-not', '1.0.2')
('npm:@babel/plugin-transform-react-jsx-development', '7.9.0')
('npm:tslib', '1.11.1')
('npm:@emotion/hash', '0.8.0')
('npm:@babel/plugin-transform-shorthand-properties', '7.8.3')
('npm:postcss-value-parser', '4.0.3')
('npm:is-data-descriptor', '1.0.0')
('npm:code-point-at', '1.1.0')
('npm:domexception', '1.0.1')
('npm:ret', '0.1.15')
('npm:@babel/plugin-transform-exponentiation-operator', '7.8.3')
('npm:content-disposition', '0.5.3')
('npm:punycode', '2.1.1')
('npm:babel-code-frame', '6.26.0')
('npm:acorn', '7.1.1')
('npm:split-string', '3.1.0')
('npm:set-blocking', '2.0.0')
('npm:@types/istanbul-lib-coverage', '2.0.1')
('npm:spdy-transport', '3.0.0')
('npm:es6-symbol', '3.1.3')
('npm:asynckit', '0.4.0')
('npm:svg-parser', '2.0.4')
('npm:@svgr/babel-plugin-remove-jsx-attribute', '4.2.0')
('npm:ev-emitter', '1.1.1')
('npm:lodash.template', '4.5.0')
('npm:aggregate-error', '3.0.1')
('npm:postcss-custom-properties', '8.0.11')
('npm:boolbase', '1.0.0')
('npm:recursive-readdir', '2.2.2')
('npm:@babel/plugin-transform-modules-umd', '7.9.0')
('npm:emojis-list', '3.0.0')
('npm:react-scripts', '3.4.1')
('npm:dotenv-expand', '5.1.0')
('npm:eslint-plugin-import', '2.20.1')
('npm:@babel/plugin-proposal-optional-chaining', '7.9.0')
('npm:xtend', '4.0.2')
('npm:pretty-error', '2.1.1')
('npm:regenerator-transform', '0.14.4')
('npm:assert', '1.5.0')
('npm:v8-compile-cache', '2.1.0')
('npm:which-module', '2.0.0')
('npm:whatwg-fetch', '3.0.0')
('npm:lines-and-columns', '1.1.6')
('npm:@mapbox/whoots-js', '3.1.0')
('npm:extglob', '2.0.4')
('npm:jest-mock', '24.9.0')
('npm:@csstools/normalize.css', '10.1.0')
('npm:css', '2.2.4')
('npm:common-tags', '1.8.0')
('npm:jest-docblock', '24.9.0')
('npm:jest-watch-typeahead', '0.4.2')
('npm:postcss-browser-comments', '3.0.0')
('npm:jest-regex-util', '24.9.0')
('npm:querystring', '0.2.0')
('npm:@babel/highlight', '7.9.0')
('npm:etag', '1.8.1')
('npm:promise', '8.1.0')
('npm:os-browserify', '0.3.0')
('npm:postcss-discard-comments', '4.0.2')
('npm:jsprim', '1.4.1')
('npm:shell-quote', '1.7.2')
('npm:supercluster', '7.0.0')
('npm:@babel/helper-builder-react-jsx-experimental', '7.9.0')
('npm:locate-path', '5.0.0')
('npm:renderkid', '2.0.3')
('npm:opn', '5.5.0')
('npm:cross-spawn', '7.0.2')
('npm:write', '1.0.3')
('npm:errno', '0.1.7')
('npm:object-visit', '1.0.1')
('npm:urix', '0.1.0')
('npm:tinyqueue', '2.0.3')
('npm:gensync', '1.0.0-beta.1')
('npm:source-map-url', '0.4.0')
('npm:@material-ui/system', '4.9.14')
('npm:classnames', '2.2.6')
('npm:@types/glob', '7.1.1')
('npm:coa', '2.0.2')
('npm:@date-io/core', '1.3.13')
('npm:pinkie', '2.0.4')
('npm:mute-stream', '0.0.8')
('npm:astral-regex', '1.0.0')
('npm:ansi-colors', '3.2.4')
('npm:npm-run-path', '2.0.2')
('npm:gzip-size', '5.1.1')
('npm:cookie', '0.4.0')
('npm:throat', '4.1.0')
('npm:through', '2.3.8')
('npm:postcss-color-functional-notation', '2.0.1')
('npm:@svgr/babel-plugin-transform-svg-component', '4.2.0')
('npm:@types/eslint-visitor-keys', '1.0.0')
('npm:pinkie-promise', '2.0.1')
('npm:strip-ansi', '5.2.0')
('npm:babel-runtime', '6.26.0')
('npm:to-arraybuffer', '1.0.1')
('npm:@babel/plugin-transform-block-scoping', '7.8.3')
('npm:extend-shallow', '3.0.2')
('npm:tsutils', '3.17.1')
('npm:asap', '2.0.6')
('npm:from2', '2.3.0')
('npm:select-hose', '2.0.0')
('npm:autoprefixer', '9.7.4')
('npm:babel-extract-comments', '1.0.0')
('npm:file-uri-to-path', '1.0.0')
('npm:postcss-reduce-transforms', '4.0.2')
('npm:whatwg-mimetype', '2.3.0')
('npm:color-name', '1.1.4')
('npm:vendors', '1.0.4')
('npm:sort-keys', '1.1.2')
('npm:@webassemblyjs/helper-buffer', '1.8.5')
('npm:babel-plugin-transform-object-rest-spread', '6.26.0')
('npm:memory-fs', '0.5.0')
('npm:spdy', '4.0.1')
('npm:babel-plugin-syntax-object-rest-spread', '6.13.0')
('npm:@svgr/babel-plugin-svg-dynamic-title', '4.3.3')
('npm:@hapi/bourne', '1.3.2')
('npm:browserify-sign', '4.0.4')
('npm:parent-module', '1.0.1')
('npm:range-parser', '1.2.1')
('npm:ci-info', '2.0.0')
('npm:postcss-focus-visible', '4.0.0')
('npm:load-json-file', '4.0.0')
('npm:create-hmac', '1.1.7')
('npm:@types/babel__generator', '7.6.1')
('npm:is-accessor-descriptor', '1.0.0')
('npm:@babel/plugin-transform-unicode-regex', '7.8.3')
('npm:depd', '1.1.2')
('npm:fast-json-stable-stringify', '2.1.0')
('npm:@svgr/babel-plugin-transform-react-native-svg', '4.2.0')
('npm:p-map', '3.0.0')
('npm:serve-index', '1.9.1')
('npm:postcss-modules-values', '3.0.0')
('npm:@babel/plugin-transform-parameters', '7.8.8')
('npm:postcss-colormin', '4.0.3')
('npm:workbox-webpack-plugin', '4.3.1')
('npm:base64-js', '1.3.1')
('npm:gl-matrix', '3.3.0')
('npm:scheduler', '0.19.1')
('npm:tough-cookie', '2.5.0')
('npm:postcss-preset-env', '6.7.0')
('npm:concat-map', '0.0.1')
('npm:jsx-ast-utils', '2.2.3')
('npm:multicast-dns', '6.2.3')
('npm:compressible', '2.0.18')
('npm:@babel/plugin-proposal-decorators', '7.8.3')
('npm:@babel/helper-module-transforms', '7.9.0')
('npm:duplexify', '3.7.1')
('npm:xmlchars', '2.2.0')
('npm:ansi-html', '0.0.7')
('npm:json5', '2.1.2')
('npm:readable-stream', '3.6.0')
('pip:pytest', '')
('npm:is-plain-obj', '1.1.0')
('pip:requests', '')
('npm:istanbul-lib-report', '2.0.8')
('npm:object.pick', '1.3.0')
('npm:@babel/plugin-proposal-json-strings', '7.8.3')
('npm:arr-diff', '4.0.0')
('npm:jss-plugin-rule-value-function', '10.1.1')
('npm:p-each-series', '1.0.0')
('npm:he', '1.2.0')
('npm:@babel/plugin-transform-named-capturing-groups-regex', '7.8.3')
('npm:postcss-discard-overridden', '4.0.1')
('npm:is-callable', '1.1.5')
('pip:async-generator', '')
('npm:aproba', '1.2.0')
('npm:@babel/plugin-transform-property-literals', '7.8.3')
('npm:minimatch', '3.0.4')
('npm:postcss-normalize-unicode', '4.0.1')
('npm:forwarded', '0.1.2')
('npm:growly', '1.3.0')
('npm:caller-path', '2.0.0')
('npm:invert-kv', '2.0.0')
('npm:vm-browserify', '1.1.2')
('npm:@mapbox/point-geometry', '0.1.0')
('npm:require-main-filename', '2.0.0')
('npm:jest-matcher-utils', '24.9.0')
('npm:util.promisify', '1.0.1')
('npm:dotenv', '8.2.0')
('npm:eslint-loader', '3.0.3')
('npm:jss-plugin-vendor-prefixer', '10.1.1')
('npm:postcss-discard-duplicates', '4.0.2')
('npm:chownr', '1.1.4')
('npm:emoji-regex', '8.0.0')
('npm:optimize-css-assets-webpack-plugin', '5.0.3')
('npm:is-extendable', '1.0.1')
('npm:readdirp', '3.3.0')
('npm:stream-each', '1.2.3')
('npm:core-js-pure', '3.6.4')
('npm:querystring-es3', '0.2.1')
('npm:babel-eslint', '10.1.0')
('npm:pako', '1.0.11')
('npm:promise-inflight', '1.0.1')
('npm:symbol-observable', '1.2.0')
('npm:@jest/console', '24.9.0')
('npm:expand-brackets', '2.1.4')
('npm:eslint-import-resolver-node', '0.3.3')
('npm:stylehacks', '4.0.3')
('npm:mini-css-extract-plugin', '0.9.0')
('npm:quickselect', '2.0.0')
('npm:workbox-background-sync', '4.3.1')
('npm:onetime', '5.1.0')
('npm:@material-ui/icons', '4.9.1')
('npm:@babel/plugin-transform-react-jsx-source', '7.9.0')
('npm:unquote', '1.1.1')
('npm:jest-cli', '24.9.0')
('npm:is-directory', '0.3.1')
('npm:cliui', '5.0.0')
('npm:import-fresh', '3.2.1')
('npm:@material-ui/styles', '4.9.14')
('npm:@babel/helper-member-expression-to-functions', '7.8.3')
('npm:microevent.ts', '0.1.1')
('npm:pnp-webpack-plugin', '1.6.4')
('npm:@babel/plugin-transform-duplicate-keys', '7.8.3')
('npm:ws', '6.2.1')
('npm:@babel/helper-hoist-variables', '7.8.3')
('npm:@babel/helper-builder-react-jsx', '7.9.0')
('npm:dashdash', '1.14.1')
('npm:react-app-polyfill', '1.0.6')
('npm:babel-plugin-dynamic-import-node', '2.3.0')
('npm:ts-pnp', '1.1.6')
('npm:@svgr/babel-plugin-replace-jsx-attribute-value', '4.2.0')
('npm:url-parse', '1.4.7')
('npm:is-regexp', '1.0.0')
('npm:@testing-library/user-event', '7.2.1')
('npm:d', '1.0.1')
('npm:http-signature', '1.2.0')
('npm:adjust-sourcemap-loader', '2.0.0')
('npm:popper.js', '1.16.1')
('npm:@webassemblyjs/wasm-edit', '1.8.5')
('npm:@svgr/babel-plugin-svg-em-dimensions', '4.2.0')
('npm:css.escape', '1.5.1')
('npm:unicode-canonical-property-names-ecmascript', '1.0.4')
('npm:immer', '1.10.0')
('npm:@babel/preset-modules', '0.1.3')
('npm:@mapbox/vector-tile', '1.3.1')
('npm:string-width', '4.2.0')
('npm:caseless', '0.12.0')
('npm:sha.js', '2.4.11')
('npm:@webassemblyjs/leb128', '1.8.5')
('npm:safer-buffer', '2.1.2')
('npm:@babel/plugin-proposal-class-properties', '7.8.3')
('npm:flat-cache', '2.0.1')
('npm:des.js', '1.0.1')
('npm:@babel/plugin-transform-sticky-regex', '7.8.3')
('npm:fill-range', '7.0.1')
('npm:yargs', '13.3.2')
('npm:tty-browserify', '0.0.0')
('npm:is-glob', '4.0.1')
('npm:webpack-manifest-plugin', '2.2.0')
('npm:for-own', '0.1.5')
('npm:eventemitter3', '4.0.7')
('npm:which', '2.0.2')
('npm:mixin-object', '2.0.1')
('npm:copy-descriptor', '0.1.1')
('npm:has', '1.0.3')
('npm:address', '1.1.2')
('npm:prepend-http', '1.0.4')
('npm:glob', '7.1.6')
('npm:@types/react', '16.9.34')
('npm:spdx-exceptions', '2.2.0')
('npm:requires-port', '1.0.0')
('npm:cssnano-preset-default', '4.0.7')
('npm:@babel/plugin-syntax-nullish-coalescing-operator', '7.8.3')
('npm:is-plain-object', '2.0.4')
('npm:@webassemblyjs/wasm-gen', '1.8.5')
('npm:get-stream', '4.1.0')
('npm:array.prototype.flat', '1.2.3')
('npm:mini-create-react-context', '0.4.0')
('npm:handle-thing', '2.0.0')
('npm:resolve-cwd', '2.0.0')
('npm:color-convert', '2.0.1')
('npm:@mrmlnc/readdir-enhanced', '2.2.1')
('npm:copy-concurrently', '1.0.5')
('npm:type', '2.0.0')
('npm:lodash.memoize', '4.1.2')
('npm:forever-agent', '0.6.1')
('npm:array-uniq', '1.0.3')
('npm:css-select', '2.1.0')
('npm:@babel/helper-compilation-targets', '7.8.7')
('npm:@babel/plugin-proposal-object-rest-spread', '7.9.0')
('npm:safe-buffer', '5.2.0')
('npm:dns-equal', '1.0.0')
('npm:webpack-dev-middleware', '3.7.2')
('npm:tmp', '0.0.33')
('npm:verror', '1.10.0')
('npm:end-of-stream', '1.4.4')
('npm:node-notifier', '5.4.3')
('npm:picomatch', '2.2.1')
('npm:escape-string-regexp', '1.0.5')
('npm:yallist', '4.0.0')
('npm:@webassemblyjs/helper-code-frame', '1.8.5')
('npm:worker-farm', '1.7.0')
('npm:randomfill', '1.0.4')
('npm:upath', '1.2.0')
('npm:on-finished', '2.3.0')
('npm:@types/events', '3.0.0')
('npm:path-is-absolute', '1.0.1')
('npm:process-nextick-args', '2.0.1')
('npm:ipaddr.js', '1.9.1')
('npm:is-arguments', '1.0.4')
('npm:@babel/helper-create-regexp-features-plugin', '7.8.8')
('npm:svgo', '1.3.2')
('npm:postcss-selector-matches', '4.0.0')
('npm:sanitize.css', '10.0.0')
('npm:is-promise', '2.1.0')
('npm:color', '3.1.2')
('npm:qs', '6.5.2')
('npm:postcss-color-gray', '5.0.0')
('npm:cyclist', '1.0.1')
('npm:regexpu-core', '4.7.0')
('npm:methods', '1.1.2')
('npm:chardet', '0.7.0')
('npm:fsevents', '1.2.12')
('npm:@babel/helper-create-class-features-plugin', '7.8.6')
('npm:react-router-dom', '5.2.0')
('npm:ajv-errors', '1.0.1')
('npm:prelude-ls', '1.1.2')
('npm:jest-runner', '24.9.0')
('npm:@webassemblyjs/wasm-opt', '1.8.5')
('npm:uri-js', '4.2.2')
('npm:@babel/helper-optimise-call-expression', '7.8.3')
('npm:open', '7.0.3')
('npm:request-promise-native', '1.0.8')
('npm:react-is', '16.13.1')
('npm:number-is-nan', '1.0.1')
('npm:object.fromentries', '2.0.2')
('npm:@babel/helper-get-function-arity', '7.8.3')
('npm:duplexer', '0.1.1')
('npm:eslint-config-react-app', '5.2.1')
('npm:sockjs-client', '1.4.0')
('npm:node-libs-browser', '2.2.1')
('npm:ansi-styles', '4.2.1')
('npm:case-sensitive-paths-webpack-plugin', '2.3.0')
('npm:left-pad', '1.3.0')
('npm:@babel/preset-react', '7.9.1')
('npm:is-string', '1.0.5')
('npm:estraverse', '4.3.0')
('npm:jss', '10.1.1')
('npm:@types/q', '1.5.2')
('npm:type-is', '1.6.18')
('npm:sax', '1.2.4')
('npm:jest-changed-files', '24.9.0')
('npm:node-forge', '0.9.0')
('npm:lodash.templatesettings', '4.2.0')
('npm:collection-visit', '1.0.0')
('npm:postcss-normalize-url', '4.0.1')
('npm:@babel/traverse', '7.9.0')
('npm:postcss-page-break', '2.0.0')
('npm:@babel/plugin-transform-object-super', '7.8.3')
('npm:electron-to-chromium', '1.3.379')
('npm:fragment-cache', '0.2.1')
('npm:istanbul-lib-instrument', '3.3.0')
('npm:@webassemblyjs/helper-wasm-bytecode', '1.8.5')
('npm:regenerator-runtime', '0.13.5')
('npm:pretty-format', '25.3.0')
('npm:jest-watcher', '24.9.0')
('npm:parallel-transform', '1.2.0')
('npm:pbkdf2', '3.0.17')
('npm:babel-plugin-istanbul', '5.2.0')
('npm:postcss-dir-pseudo-class', '5.0.0')
('npm:@babel/plugin-syntax-jsx', '7.8.3')
('npm:abab', '2.0.3')
('npm:cli-width', '2.2.0')
('npm:babel-plugin-named-asset-import', '0.3.6')
('npm:workbox-broadcast-update', '4.3.1')
('npm:@nodelib/fs.stat', '1.1.3')
('npm:batch', '0.6.1')
('npm:parseurl', '1.3.3')
('npm:raf', '3.4.1')
('npm:is-color-stop', '1.1.0')
('npm:@babel/plugin-transform-destructuring', '7.8.8')
('npm:ee-first', '1.1.1')
('npm:node-modules-regexp', '1.0.0')
('npm:css-what', '3.2.1')
('npm:unique-filename', '1.1.1')
('npm:terser-webpack-plugin', '1.4.3')
('npm:cssdb', '4.4.0')
('npm:isexe', '2.0.0')
('npm:html-minifier-terser', '5.0.4')
('npm:domutils', '1.7.0')
('npm:rxjs', '6.5.4')
('npm:browserify-aes', '1.2.0')
('npm:request-promise-core', '1.1.3')
('npm:getpass', '0.1.7')
('npm:type-check', '0.3.2')
('npm:rework', '1.0.1')
('npm:postcss-custom-selectors', '5.1.2')
('npm:destroy', '1.0.4')
('npm:postcss-minify-selectors', '4.0.2')
('npm:braces', '3.0.2')
('npm:bcrypt-pbkdf', '1.0.2')
('npm:stack-utils', '1.0.2')
('npm:outlayer', '2.1.1')
('npm:esprima', '4.0.1')
('npm:dot-case', '3.0.3')
('npm:is-buffer', '1.1.6')
('npm:ini', '1.3.8')
('npm:fork-ts-checker-webpack-plugin', '3.1.1')
