('npm:sisteransi', '0.1.1')
('npm:prepend-http', '2.0.0')
('npm:stream-shift', '1.0.1')
('npm:slash', '1.0.0')
('npm:aws-sign2', '0.7.0')
('npm:@snyk/gemfile', '1.2.0')
('npm:p-limit', '1.3.0')
('npm:is-docker', '2.1.0')
('npm:passthrough-counter', '1.0.0')
('npm:os-locale', '2.1.0')
('npm:@types/keyv', '3.1.1')
('npm:extglob', '0.3.2')
('npm:@yarnpkg/json-proxy', '2.1.0')
('npm:mongoose', '^ 5.3.13')
('npm:argparse', '1.0.10')
('npm:stream-to-array', '2.3.0')
('npm:assign-symbols', '1.0.0')
('npm:xdg-basedir', '4.0.0')
('npm:lcid', '1.0.0')
('npm:@snyk/dep-graph', '1.18.3')
('npm:regexpp', '2.0.1')
('npm:jws', '3.2.2')
('npm:json-schema', '0.2.3')
('npm:color', '3.0.0')
('npm:widest-line', '3.1.0')
('npm:hosted-git-info', '2.7.1')
('npm:reusify', '1.0.4')
('npm:keygrip', '1.1.0')
('npm:path-parse', '1.0.6')
('npm:path-to-regexp', '1.7.0')
('npm:babel-register', '6.26.0')
('npm:decompress-response', '6.0.0')
('npm:string_decoder', '1.1.1')
('npm:koa-router', '^ 7.4.0')
('npm:saslprep', '1.0.3')
('npm:path-exists', '2.1.0')
('npm:shebang-regex', '1.0.0')
('npm:@types/minimatch', '3.0.3')
('npm:cache-base', '1.0.1')
('npm:dashdash', '1.14.1')
('npm:amqp-ts-async', '^ 1.3.7')
('npm:safe-regex', '1.1.0')
('npm:w3c-hr-time', '1.0.1')
('npm:cli-spinner', '0.2.10')
('npm:define-properties', '1.1.3')
('npm:has-ansi', '2.0.0')
('npm:jsesc', '1.3.0')
('npm:pluralize', '7.0.0')
('npm:bser', '2.0.0')
('npm:fs-minipass', '1.2.7')
('npm:jest-worker', '23.2.0')
('npm:@types/mocha', '5.2.5')
('npm:acorn', '6.0.4')
('npm:stack-trace', '0.0.10')
('npm:enabled', '2.0.0')
('npm:run-parallel', '1.1.9')
('npm:figures', '2.0.0')
('npm:hide-powered-by', '1.1.0')
('npm:minizlib', '1.3.3')
('npm:readable-stream', '2.3.6')
('npm:socks', '2.3.3')
('npm:lodash.clone', '4.5.0')
('npm:quick-lru', '5.1.1')
('npm:json-buffer', '3.0.1')
('npm:extsprintf', '1.3.0')
('npm:union-value', '1.0.0')
('npm:formidable', '1.2.1')
('npm:jest-each', '23.6.0')
('npm:istanbul-reports', '1.5.1')
('npm:cli-boxes', '2.2.0')
('npm:mute-stream', '0.0.7')
('npm:snyk-resolve-deps', '4.4.0')
('npm:http-signature', '1.2.0')
('npm:lodash.topairs', '4.3.0')
('npm:jest-config', '23.6.0')
