('rust:headers', '0.4.0')
('rust:crossbeam-utils', '0.8.20')
('rust:futf', '0.1.5')
('rust:js-sys', '0.3.69')
('rust:quick-xml', '0.31.0')
('rust:web-sys', '0.3.69')
('rust:googletest_macro', '0.11.0')
('actions:actions/checkout', '692973e3d937129bcbf40652eb9f2f61becf3332')
('rust:cipher', '0.4.4')
('rust:winnow', '0.6.13')
('rust:base64', '0.22.1')
('rust:secrecy', '0.8.0')
('rust:wasm-bindgen', '0.2.92')
('rust:rustc-demangle', '0.1.24')
('rust:rustls-webpki', '0.101.7')
('rust:encode_unicode', '0.3.6')
('rust:hmac', '0.12.1')
('rust:scopeguard', '1.2.0')
('rust:clap', '4.5.9')
('actions:codecov/codecov-action', 'e28ff129e5465c2c0dcc6f003fc735cb6ae0c673')
('rust:tower-http', '0.5.2')
('rust:heck', '0.5.0')
('rust:wasm-bindgen-macro-support', '0.2.92')
('rust:aws-smithy-runtime-api', '1.7.1')
('rust:sha2', '0.10.8')
('rust:lettre', '0.11.7')
('rust:htmlescape', '0.3.1')
('rust:matchit', '0.7.3')
('rust:lock_api', '0.4.12')
('rust:alloc-stdlib', '0.2.2')
('rust:phf', '0.11.2')
('rust:powerfmt', '0.2.0')
('rust:winapi-util', '0.1.8')
('rust:proc-macro2', '1.0.86')
('rust:arbitrary', '1.3.2')
('rust:aws-sdk-sqs', '1.35.0')
('rust:system-configuration', '0.5.1')
('rust:ahash', '0.8.11')
('rust:windows-sys', '0.52.0')
('rust:displaydoc', '0.2.5')
('rust:debugid', '0.8.0')
('rust:memchr', '2.7.4')
('rust:inout', '0.1.3')
('rust:diesel_full_text_search', '2.2.0')
('rust:xmlparser', '0.13.6')
('rust:tracing-core', '0.1.32')
('rust:reqwest', '0.12.5')
('rust:snafu-derive', '0.7.5')
('rust:itertools', '0.12.1')
('rust:mockall', '0.12.1')
('rust:hostname', '0.4.0')
('rust:number_prefix', '0.4.0')
('rust:sentry-contexts', '0.34.0')
('rust:windows_x86_64_gnu', '0.52.6')
('rust:darling_core', '0.20.10')
('rust:heck', '0.4.1')
('rust:futures-channel', '0.3.30')
('rust:ciborium-ll', '0.2.2')
('rust:num-integer', '0.1.46')
('rust:primeorder', '0.13.6')
('rust:dsl_auto_type', '0.1.1')
('rust:simd-adler32', '0.3.7')
('rust:ff', '0.13.0')
('rust:phf_codegen', '0.11.2')
('rust:criterion-plot', '0.5.0')
('rust:linux-raw-sys', '0.4.14')
('rust:aws-sigv4', '1.2.3')
('rust:libgit2-sys', '0.17.0+1.8.1')
('rust:sha1', '0.10.6')
('rust:tinyvec_macros', '0.1.1')
('rust:spdx', '0.10.6')
('rust:ciborium', '0.2.2')
