('npm:x-xss-protection', '1.0.0')
('npm:buffer', '5.4.3')
('npm:q', '1.5.1')
('npm:eslint', '2.13.1')
('npm:execa', '1.0.0')
('npm:json-schema', '0.2.3')
('npm:dns-prefetch-control', '0.1.0')
('npm:path-parse', '1.0.6')
('npm:component-emitter', '1.3.0')
('npm:object-inspect', '1.7.0')
('npm:progress', '1.1.8')
('npm:hpkp', '1.1.0')
('npm:string_decoder', '1.1.1')
('npm:saslprep', '1.0.3')
('npm:unzip-response', '2.0.1')
('npm:onetime', '1.1.0')
('npm:is-installed-globally', '0.1.0')
('npm:@types/serve-static', '1.13.3')
('npm:run-async', '0.1.0')
('npm:shebang-regex', '1.0.0')
('npm:utfstring', '2.0.1')
('npm:canonical-json', '0.0.4')
('npm:dashdash', '1.14.1')
('npm:lodash.isfunction', '3.0.8')
('npm:swagger-client', '3.10.0')
('npm:define-properties', '1.1.3')
('npm:has-ansi', '2.0.0')
('npm:create-error-class', '3.0.2')
('npm:is-my-ip-valid', '1.0.0')
('npm:isomorphic-form-data', '0.0.1')
('npm:stream-combiner', '0.0.2')
('npm:object-keys', '1.1.1')
('npm:mux-demux', '3.7.9')
('npm:extsprintf', '1.3.0')
('npm:bops', '1.0.0')
('npm:formidable', '1.2.1')
('npm:p-is-promise', '2.1.0')
('npm:md5', '2.2.1')
('npm:combined-stream', '1.0.8')
('npm:d', '1.0.1')
('npm:http-signature', '1.2.0')
('npm:is-regex', '1.0.5')
('npm:pluralize', '1.2.1')
('npm:bcryptjs', '2.4.3')
('npm:glob-parent', '5.1.0')
('npm:helmet-csp', '1.1.0')
('npm:regenerator-runtime', '0.13.3')
('npm:registry-auth-token', '3.4.0')
('npm:ansi-regex', '2.1.1')
('npm:cross-fetch', '0.0.8')
('npm:swagger-schema-official', '2.0.0-bab6bed')
('npm:caseless', '0.12.0')
('npm:@types/express', '4.17.2')
('npm:js-tokens', '3.0.2')
('npm:htmlparser2', '3.10.1')
('npm:tweetnacl', '0.14.5')
('npm:dot-prop', '4.2.0')
('npm:lodash._baseiteratee', '4.7.0')
('npm:safer-buffer', '2.1.2')
('npm:jsbn', '0.1.1')
('npm:rc', '1.2.8')
('npm:lodash.isequal', '4.5.0')
('npm:lodash.escaperegexp', '4.1.2')
('npm:domelementtype', '1.3.1')
('npm:content-type', '1.0.4')
('npm:unpipe', '1.0.0')
('npm:loopback-connector-swagger', '3.2.1')
('npm:boxen', '1.3.0')
('npm:isstream', '0.1.2')
('npm:jsonpointer', '4.0.1')
('npm:xdg-basedir', '3.0.0')
('npm:psl', '1.7.0')
('npm:inquirer', '0.12.0')
('npm:url-parse-lax', '1.0.0')
('npm:ansi-align', '2.0.0')
('npm:fill-range', '7.0.1')
('npm:ignore-by-default', '1.0.1')
('npm:bcp47', '1.1.2')
('npm:fsevents', '2.1.2')
('npm:is-glob', '4.0.1')
('npm:nopt', '1.0.10')
('npm:readable-stream', '2.3.7')
('npm:mktmpdir', '0.1.1')
('npm:mongodb', '2.2.36')
('npm:util-deprecate', '1.0.2')
('npm:exit-hook', '1.1.1')
