('npm:resolve', '1.3.3')
('npm:union-value', '1.0.0')
('npm:postcss-unique-selectors', '2.0.2')
('npm:function-bind', '1.1.0')
('npm:read-pkg', '1.1.0')
('rubygems:pry-nav', '0.2.4')
('npm:sass-loader', '6.0.6')
('npm:cyclist', '0.2.2')
('rubygems:rspec-core', '3.8.0')
('rubygems:guard-compat', '1.2.1')
('npm:fs-minipass', '1.2.5')
('npm:babel-register', '6.24.1')
('npm:parse-asn1', '5.1.1')
('rubygems:ffi', '1.9.25')
('npm:postcss-modules-scope', '1.1.0')
('npm:serialize-javascript', '1.5.0')
('npm:num2fraction', '1.2.2')
('npm:@webassemblyjs/ieee754', '1.7.10')
('npm:babel-plugin-syntax-class-properties', '6.13.0')
('npm:babel-plugin-transform-es2015-modules-umd', '6.23.0')
('npm:unicode-canonical-property-names-ecmascript', '1.0.4')
('rubygems:rack-protection', '2.0.4')
('npm:set-value', '2.0.0')
('npm:postcss-message-helpers', '2.0.0')
('npm:postcss-merge-rules', '2.1.2')
('npm:yallist', '3.0.2')
('npm:ansi-regex', '2.1.1')
('npm:regenerator-transform', '0.13.3')
('npm:tiny-emitter', '2.0.0')
('npm:fast-json-stable-stringify', '2.0.0')
('npm:domain-browser', '1.2.0')
('npm:rimraf', '2.6.2')
('rubygems:nio4r', '2.3.1')
('npm:tweetnacl', '0.14.5')
('npm:postcss-normalize-charset', '1.1.1')
('npm:alphanum-sort', '1.0.2')
('npm:sha.js', '2.4.11')
('npm:aws4', '1.6.0')
('npm:regenerate', '1.4.0')
('npm:safer-buffer', '2.1.2')
('npm:jsbn', '0.1.1')
('npm:rc', '1.2.8')
('npm:css-loader', '0.28.4')
('npm:repeat-element', '1.1.3')
('npm:babel-plugin-transform-es2015-modules-amd', '6.22.0')
('npm:are-we-there-yet', '1.1.2')
('npm:os-locale', '1.4.0')
('rubygems:skylight-core', '3.1.4')
('npm:npm-bundled', '1.0.5')
('npm:javascript-natural-sort', '0.7.1')
('npm:lodash.assign', '4.2.0')
('rubygems:pg', '0.21.0')
('npm:color', '0.11.4')
('npm:isstream', '0.1.2')
('npm:uniqid', '4.1.1')
('npm:kind-of', '6.0.2')
('npm:babel-plugin-transform-es2015-duplicate-keys', '6.22.0')
('rubygems:public_suffix', '3.0.3')
('npm:jsonpointer', '4.0.1')
('rubygems:globalid', '0.4.1')
('npm:coa', '1.0.3')
