('npm:cacheable-request', '2.1.4')
('npm:escape-string-regexp', '1.0.5')
('npm:cli-truncate', '0.2.1')
('npm:elegant-spinner', '1.0.1')
('npm:lodash', '4.17.10')
('npm:babel-plugin-check-es2015-constants', '6.22.0')
('npm:babel-plugin-transform-es2015-function-name', '6.24.1')
('npm:rx-lite', '4.0.8')
('npm:read-pkg', '3.0.0')
('npm:setimmediate', '1.0.5')
('npm:gh-got', '6.0.0')
('npm:private', '0.1.8')
('npm:commondir', '1.0.1')
('npm:parse-glob', '3.0.4')
('npm:yallist', '2.1.2')
('npm:window-size', '0.1.0')
('npm:https-browserify', '0.0.1')
('npm:remove-trailing-separator', '1.1.0')
('npm:isbinaryfile', '3.0.2')
('npm:path-is-absolute', '1.0.1')
('npm:babel-plugin-transform-export-extensions', '6.22.0')
('npm:os-tmpdir', '1.0.2')
('npm:babel-plugin-transform-flow-strip-types', '6.22.0')
('npm:has-to-string-tag-x', '1.4.1')
('npm:p-locate', '2.0.0')
('npm:process-nextick-args', '2.0.0')
('npm:pkg-dir', '2.0.0')
('npm:loose-envify', '1.3.1')
('npm:jscodeshift', '0.5.0')
('npm:json5', '0.5.1')
('npm:isarray', '1.0.0')
('npm:is-promise', '2.1.0')
('npm:babel-plugin-transform-exponentiation-operator', '6.24.1')
('npm:babel-helper-call-delegate', '6.24.1')
('npm:object-assign', '4.1.1')
('npm:babel-helper-remap-async-to-generator', '6.24.1')
('npm:has-symbol-support-x', '1.4.2')
('npm:babel-preset-stage-1', '6.24.1')
('npm:base', '0.11.2')
('npm:run-async', '2.3.0')
('npm:arr-diff', '2.0.0')
('npm:babel-plugin-transform-es2015-block-scoping', '6.26.0')
('npm:restore-cursor', '2.0.0')
('npm:micromatch', '2.3.11')
('npm:yargs', '11.1.0')
('npm:istextorbinary', '2.2.1')
('npm:is-number', '2.1.0')
('npm:spdx-exceptions', '2.1.0')
('npm:snapdragon', '0.8.2')
('npm:error', '7.0.2')
('npm:json-parse-better-errors', '1.0.2')
('npm:invariant', '2.2.4')
('npm:resolve-url', '0.2.1')
('npm:query-string', '5.1.1')
('npm:parse-passwd', '1.0.0')
('npm:indexof', '0.0.1')
('npm:vinyl', '1.2.0')
('npm:has-flag', '3.0.0')
('npm:loader-utils', '1.1.0')
('npm:preserve', '0.2.0')
('npm:regenerator-runtime', '0.11.1')
('npm:number-is-nan', '1.0.1')
('npm:map-cache', '0.2.2')
('npm:decamelize', '1.2.0')
('npm:os-browserify', '0.2.1')
('npm:array-unique', '0.2.1')
('npm:babel-plugin-transform-es2015-parameters', '6.24.1')
('npm:require-main-filename', '1.0.1')
('npm:make-dir', '1.2.0')
('npm:kind-of', '3.2.2')
('npm:chardet', '0.4.2')
('npm:util', '0.10.3')
('npm:regenerate', '1.3.3')
('npm:nice-try', '1.0.4')
('npm:regex-not', '1.0.2')
('npm:interpret', '1.1.0')
('npm:is-stream', '1.1.0')
('npm:code-point-at', '1.1.0')
('npm:ret', '0.1.15')
('npm:chalk', '2.4.1')
('npm:clone-buffer', '1.0.0')
('npm:babel-code-frame', '6.26.0')
('npm:split-string', '3.1.0')
('npm:babel-helper-optimise-call-expression', '6.24.1')
