('rubygems:net-pop', '0.1.2')
('rubygems:ruby-next-core', '1.0.3')
('npm:delegates', '1.0.0')
('npm:domelementtype', '2.3.0')
('rubygems:i18n-js', '4.2.3')
('npm:lodash.debounce', '4.0.8')
('npm:deepmerge', '4.3.1')
('npm:browserslist', '4.23.0')
('rubygems:rspec-core', '3.13.0')
('npm:jest-pnp-resolver', '1.2.3')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:jest-snapshot', '29.7.0')
('npm:@babel/plugin-transform-optional-catch-binding', '7.24.7')
('rubygems:i18n', '1.14.5')
('npm:@webassemblyjs/utf8', '1.11.6')
('npm:babel-preset-current-node-syntax', '1.0.1')
('npm:decompress-response', '4.2.1')
('npm:jquery', '3.7.1')
('npm:jest-changed-files', '29.7.0')
('npm:babel-plugin-jest-hoist', '29.6.3')
('npm:@babel/plugin-transform-react-display-name', '7.24.7')
('npm:cheerio-select', '2.1.0')
('npm:imurmurhash', '0.1.4')
('rubygems:debug', '1.9.2')
('npm:@babel/plugin-transform-react-pure-annotations', '7.24.7')
('rubygems:tzinfo', '2.0.6')
('npm:cssom', '0.3.8')
('npm:@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression', '7.24.7')
('npm:es-abstract', '1.22.5')
('npm:cheerio', '1.0.0-rc.12')
('actions:actions/checkout', '4.*.*')
('npm:@types/prop-types', '15.7.5')
('npm:path-exists', '4.0.0')
('rubygems:simplecov-lcov', '0.8.0')
('npm:gopd', '1.0.1')
('npm:tslib', '2.6.2')
('npm:nanoid', '3.3.7')
('rubygems:msgpack', '1.7.2')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:nopt', '5.0.0')
('rubygems:rack-test', '2.1.0')
('npm:@babel/parser', '7.24.7')
('npm:@webassemblyjs/helper-wasm-section', '1.12.1')
('rubygems:rdoc', '6.7.0')
('rubygems:dry-core', '1.0.1')
('npm:@babel/plugin-syntax-class-properties', '7.12.13')
('npm:pkg-dir', '7.0.0')
('npm:make-dir', '3.1.0')
('npm:@bcoe/v8-coverage', '0.2.3')
('npm:optionator', '0.8.3')
('npm:@types/react', '17.0.53')
('rubygems:rspec-rails', '6.1.3')
('rubygems:selenium-webdriver', '4.22.0')
('npm:prompts', '2.4.2')
('npm:source-map', '0.6.1')
('npm:jest-watcher', '29.7.0')
('npm:@babel/plugin-transform-unicode-property-regex', '7.24.7')
('npm:node-int64', '0.4.0')
('npm:shebang-command', '2.0.0')
('npm:node-fetch', '2.6.7')
('npm:pkg-dir', '4.2.0')
('npm:https-proxy-agent', '5.0.1')
('npm:pdfjs-dist', '4.3.136')
('npm:@types/stack-utils', '2.0.1')
('rubygems:mono_logger', '1.1.2')
('npm:brace-expansion', '1.1.11')
('npm:is-callable', '1.2.7')
('npm:string.prototype.trimend', '1.0.7')
('npm:is-boolean-object', '1.1.2')
('npm:chownr', '2.0.0')
('npm:w3c-hr-time', '1.0.2')
('npm:@babel/plugin-syntax-numeric-separator', '7.10.4')
('npm:ms', '2.1.2')
('npm:fs.realpath', '1.0.0')
('npm:es-define-property', '1.0.0')
('npm:dompurify', '3.1.5')
('rubygems:globalid', '1.2.1')
('rubygems:jsbundling-rails', '1.3.0')
('rubygems:activemodel-serializers-xml', '1.0.2')
('npm:jsdom-worker', '0.3.0')
('rubygems:binding_of_caller', '1.0.1')
('npm:emoji-regex', '8.0.0')
('npm:@babel/helper-environment-visitor', '7.24.7')
('npm:@types/tough-cookie', '4.0.2')
('npm:postcss-modules-scope', '3.2.0')
('npm:ansi-regex', '5.0.1')
('npm:jest-validate', '29.7.0')
('npm:@rjsf/utils', '5.18.1')
('rubygems:js_cookie_rails', '2.2.0')
('rubygems:unicode-display_width', '2.5.0')
('rubygems:net-protocol', '0.2.2')
('npm:react-dom', '16.14.0')
('npm:object.assign', '4.1.5')
('npm:babel-jest', '29.7.0')
('npm:human-signals', '2.1.0')
('rubygems:pluck_to_hash', '1.0.2')
('npm:interpret', '3.1.1')
('npm:is-arrayish', '0.2.1')
('npm:moo', '0.5.1')
('npm:word-wrap', '1.2.4')
('npm:emittery', '0.13.1')
('npm:enzyme-adapter-utils', '1.14.2')
('rubygems:terser', '1.2.3')
('npm:typed-array-byte-length', '1.0.1')
('npm:@webassemblyjs/floating-point-hex-parser', '1.11.6')
('npm:yocto-queue', '1.0.0')
('npm:npmlog', '5.0.1')
('npm:fill-range', '7.1.1')
('npm:@babel/code-frame', '7.24.7')
('npm:@babel/plugin-syntax-logical-assignment-operators', '7.10.4')
('npm:regenerate-unicode-properties', '10.1.0')
('npm:string-width', '4.2.3')
('npm:possible-typed-array-names', '1.0.0')
('npm:jest-mock', '29.7.0')
('npm:buffer-from', '1.1.2')
('rubygems:actiontext', '7.1.3.4')
('rubygems:rails_performance', '1.2.2')
('rubygems:shoulda-matchers', '4.3.0')
('npm:@xtuc/ieee754', '1.2.0')
('npm:picocolors', '1.0.0')
('npm:exit', '0.1.2')
('npm:jest-docblock', '29.7.0')
('npm:react-tabs', '4.3.0')
('npm:picomatch', '2.3.1')
('npm:@babel/plugin-transform-parameters', '7.24.7')
('rubygems:railties', '7.1.3.4')
('npm:uuid-v4', '0.1.0')
('rubygems:better_errors', '2.10.1')
('npm:url-parse', '1.5.10')
('rubygems:websocket-driver', '0.7.6')
('rubygems:ast', '2.4.2')
('npm:sass', '1.77.4')
('rubygems:loofah', '2.22.0')
('npm:object-is', '1.1.5')
('rubygems:fugit', '1.9.0')
('rubygems:addressable', '2.8.6')
('npm:@fortawesome/free-regular-svg-icons', '6.5.2')
('npm:css-loader', '7.1.1')
('npm:@babel/plugin-transform-json-strings', '7.24.7')
('npm:envinfo', '7.8.1')
('rubygems:rails-controller-testing', '1.0.5')
('npm:validate.io-number', '1.0.3')
('npm:@kurkle/color', '0.3.2')
('npm:@webassemblyjs/wasm-edit', '1.12.1')
('npm:@babel/plugin-transform-member-expression-literals', '7.24.7')
('npm:@babel/plugin-transform-classes', '7.24.7')
('npm:diff-sequences', '29.6.3')
('npm:@babel/plugin-transform-class-properties', '7.24.7')
('npm:p-limit', '4.0.0')
('npm:npm-run-path', '4.0.1')
('npm:ajv', '8.12.0')
('npm:jsesc', '0.5.0')
('npm:react-modal', '3.16.1')
('npm:@babel/plugin-transform-typeof-symbol', '7.24.7')
('npm:es-module-lexer', '1.2.1')
('npm:get-package-type', '0.1.0')
('npm:is-binary-path', '2.1.0')
('npm:acorn-walk', '7.2.0')
('npm:balanced-match', '1.0.2')
('npm:argparse', '1.0.10')
('npm:@webassemblyjs/ast', '1.12.1')
('npm:marked', '12.0.2')
('npm:ajv-formats', '2.1.1')
('npm:@babel/plugin-transform-react-jsx', '7.24.7')
('npm:signal-exit', '3.0.7')
('npm:execa', '5.1.1')
('npm:jest-matcher-utils', '29.7.0')
('npm:source-map-support', '0.5.21')
('npm:mime', '3.0.0')
('npm:@babel/plugin-bugfix-firefox-class-in-computed-class-key', '7.24.7')
('npm:@jridgewell/set-array', '1.2.1')
('npm:deep-is', '0.1.4')
('npm:typed-array-byte-offset', '1.0.2')
('npm:react-lifecycles-compat', '3.0.4')
('npm:glob-to-regexp', '0.4.1')
('npm:core-js', '3.37.1')
('npm:prismjs', '1.29.0')
('rubygems:sinatra', '3.1.0')
('npm:tmpl', '1.0.5')
('rubygems:matrix', '0.4.2')
('npm:tough-cookie', '4.1.3')
('npm:lru-cache', '5.1.1')
('pip:markus-exam-matcher', '0.1.0')
('npm:postcss', '8.4.33')
('npm:react', '16.14.0')
('npm:@babel/plugin-transform-logical-assignment-operators', '7.24.7')
('npm:@babel/plugin-transform-exponentiation-operator', '7.24.7')
('npm:babel-preset-jest', '29.6.3')
('rubygems:rails-i18n', '7.0.3')
('npm:@babel/plugin-syntax-object-rest-spread', '7.8.3')
('rubygems:activejob', '7.1.3.4')
('npm:@webassemblyjs/wast-printer', '1.12.1')
('rubygems:listen', '3.9.0')
('npm:indent-string', '4.0.0')
('rubygems:machinist', '2.0')
('rubygems:dry-validation', '1.10.0')
('npm:ansi-styles', '3.2.1')
('npm:@jridgewell/resolve-uri', '3.1.0')
('rubygems:execjs', '2.9.1')
('npm:whatwg-url', '5.0.0')
('npm:are-we-there-yet', '2.0.0')
('npm:domhandler', '5.0.3')
('npm:simple-concat', '1.0.1')
('actions:actions/setup-python', '5.*.*')
('npm:jest-resolve-dependencies', '29.7.0')
('npm:jest-config', '29.7.0')
('npm:sisteransi', '1.0.5')
('rubygems:shoulda-context', '2.0.0')
('npm:lodash.flow', '3.5.0')
('rubygems:nio4r', '2.7.3')
('npm:cliui', '8.0.1')
('npm:@babel/plugin-transform-template-literals', '7.24.7')
('npm:common-path-prefix', '3.0.0')
('npm:webidl-conversions', '7.0.0')
('rubygems:descriptive_statistics', '2.5.1')
('npm:escodegen', '2.0.0')
('npm:jest-diff', '29.7.0')
('npm:@babel/plugin-transform-object-super', '7.24.7')
('npm:@types/aria-query', '4.2.2')
('rubygems:browser', '5.3.1')
('npm:is-typed-array', '1.1.13')
('npm:acorn-globals', '6.0.0')
('npm:@types/graceful-fs', '4.1.7')
('rubygems:rexml', '3.3.1')
('npm:events', '3.3.0')
('npm:markdown-to-jsx', '7.4.1')
('npm:promise-polyfill', '8.2.3')
('npm:supports-color', '7.2.0')
('npm:css-what', '6.1.0')
('npm:globals', '11.12.0')
('npm:minipass', '5.0.0')
('npm:object-keys', '1.1.1')
('npm:enzyme-adapter-react-16', '1.15.8')
('npm:regexp.prototype.flags', '1.5.2')
('rubygems:glob', '0.4.0')
('npm:regenerator-runtime', '0.14.0')
('rubygems:raabro', '1.4.0')
('npm:@babel/plugin-transform-for-of', '7.24.7')
('npm:@jest/schemas', '29.6.3')
('npm:validate.io-integer-array', '1.0.0')
('npm:@sinonjs/fake-timers', '10.0.2')
('npm:semver', '6.3.1')
('npm:@babel/template', '7.24.7')
('npm:combined-stream', '1.0.8')
('rubygems:crass', '1.0.6')
('npm:prop-types', '15.8.1')
('npm:@babel/plugin-transform-dotall-regex', '7.24.7')
('rubygems:et-orbi', '1.2.7')
('npm:define-properties', '1.2.1')
('npm:saxes', '6.0.0')
('npm:@babel/plugin-syntax-jsx', '7.24.7')
('rubygems:actionmailer', '7.1.3.4')
('npm:@adobe/css-tools', '4.4.0')
('rubygems:thor', '1.3.1')
('rubygems:prawn', '2.5.0')
('rubygems:time-warp', '1.0.15')
('actions:coverallsapp/github-action', '2.*.*')
('npm:css.escape', '1.5.1')
('npm:istanbul-lib-instrument', '6.0.1')
('npm:wrap-ansi', '7.0.0')
('npm:webpack', '5.91.0')
('npm:bser', '2.1.1')
('npm:@babel/plugin-transform-optional-chaining', '7.24.7')
('rubygems:activejob-status', '1.0.1')
('pip:zxing-cpp', '2.1.0')
('rubygems:simplecov', '0.22.0')
('npm:is-glob', '4.0.3')
('npm:schema-utils', '4.2.0')
('npm:istanbul-lib-instrument', '5.2.1')
('npm:@fortawesome/react-fontawesome', '0.2.2')
('npm:@babel/plugin-syntax-private-property-in-object', '7.14.5')
('npm:@babel/plugin-transform-class-static-block', '7.24.7')
('npm:esrecurse', '4.3.0')
('npm:yargs-parser', '21.1.1')
('npm:@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining', '7.24.7')
('npm:webpack-merge', '5.10.0')
('npm:chalk', '4.1.2')
('rubygems:capybara', '3.40.0')
('npm:convert-source-map', '2.0.0')
('npm:@types/babel__generator', '7.6.5')
('rubygems:rmagick', '6.0.1')
('rubygems:rack-session', '1.0.2')
('npm:callsites', '3.1.0')
('npm:@jridgewell/gen-mapping', '0.3.3')
('npm:@fortawesome/fontawesome-svg-core', '6.5.2')
('npm:acorn-import-assertions', '1.9.0')
('npm:safer-buffer', '2.1.2')
('npm:which-boxed-primitive', '1.0.2')
('npm:lodash.isequal', '4.5.0')
('npm:is-fullwidth-code-point', '3.0.0')
('npm:ws', '8.17.1')
('npm:domexception', '4.0.0')
('npm:@babel/helper-builder-binary-assignment-operator-visitor', '7.24.7')
('npm:clsx', '1.2.1')
('rubygems:webrick', '1.8.1')
('npm:decimal.js', '10.4.0')
('npm:jest-environment-jsdom', '29.7.0')
('npm:compute-gcd', '1.2.1')
('npm:binary-extensions', '2.2.0')
('npm:@babel/helper-validator-option', '7.24.7')
('npm:html-escaper', '2.0.2')
('rubygems:dry-types', '1.7.1')
('npm:json-schema-traverse', '1.0.0')
('npm:escalade', '3.1.1')
('npm:postcss-value-parser', '4.2.0')
('npm:error-ex', '1.3.2')
('npm:@babel/generator', '7.24.7')
('npm:jest', '29.7.0')
('rubygems:activesupport', '7.1.3.4')
('npm:ansi-styles', '5.2.0')
('npm:simple-get', '3.1.1')
('npm:@types/eslint', '8.4.5')
('npm:cross-spawn', '7.0.3')
('npm:util-deprecate', '1.0.2')
('npm:@webassemblyjs/leb128', '1.11.6')
('npm:html-element-map', '1.3.1')
('npm:detect-newline', '3.1.0')
('npm:which', '2.0.2')
('npm:set-function-length', '1.2.1')
('npm:@fortawesome/free-solid-svg-icons', '6.5.2')
('npm:lodash', '4.17.21')
('npm:aproba', '2.0.0')
('npm:jest-environment-node', '29.7.0')
('npm:micromatch', '4.0.5')
('npm:@babel/runtime', '7.24.7')
('npm:@types/istanbul-lib-report', '3.0.0')
('npm:has', '1.0.3')
('npm:watchpack', '2.4.1')
('rubygems:pkg-config', '1.5.6')
('npm:postcss-modules-extract-imports', '3.1.0')
('npm:camelcase', '5.3.1')
('npm:@babel/types', '7.24.7')
('npm:@jest/reporters', '29.7.0')
('npm:shallow-clone', '3.0.1')
('npm:es-set-tostringtag', '2.0.3')
('rubygems:activemodel', '7.1.3.4')
('npm:react-is', '17.0.2')
('npm:whatwg-mimetype', '3.0.0')
('rubygems:drb', '2.2.1')
('npm:dom-accessibility-api', '0.6.3')
('npm:@xtuc/long', '4.2.2')
('rubygems:base64', '0.2.0')
('rubygems:marcel', '1.0.4')
('npm:hoist-non-react-statics', '3.3.2')
('npm:jest-runtime', '29.7.0')
('rubygems:websocket', '1.2.10')
('rubygems:connection_pool', '2.4.1')
('npm:requires-port', '1.0.0')
('rubygems:nokogiri', '1.16.6')
('npm:mime-db', '1.52.0')
('npm:minizlib', '2.1.2')
('rubygems:highline', '3.0.1')
('npm:fsevents', '2.3.2')
('rubygems:mail', '2.8.1')
('rubygems:actionmailbox', '7.1.3.4')
('npm:@babel/plugin-syntax-nullish-coalescing-operator', '7.8.3')
('npm:readdirp', '3.6.0')
('npm:@babel/helper-annotate-as-pure', '7.24.7')
('npm:@babel/helper-create-regexp-features-plugin', '7.24.7')
('npm:@babel/plugin-transform-arrow-functions', '7.24.7')
('npm:make-dir', '4.0.0')
('npm:redux', '4.2.0')
('npm:is-plain-object', '2.0.4')
('npm:istanbul-reports', '3.1.6')
('rubygems:brakeman', '6.1.2')
('npm:side-channel', '1.0.6')
('npm:pretty-format', '27.5.1')
('npm:supports-preserve-symlinks-flag', '1.0.0')
('npm:@testing-library/jest-dom', '6.4.6')
('npm:@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly', '7.24.7')
('npm:whatwg-url', '11.0.0')
('npm:levn', '0.3.0')
('rubygems:psych', '5.1.2')
('npm:for-each', '0.3.3')
('npm:@react-dnd/shallowequal', '2.0.0')
('rubygems:raindrops', '0.20.0')
('npm:char-regex', '1.0.2')
('npm:is-bigint', '1.0.4')
('npm:convert-source-map', '1.9.0')
('npm:color-convert', '2.0.1')
('npm:unicode-match-property-ecmascript', '2.0.0')
('npm:get-caller-file', '2.0.5')
('npm:@types/babel__traverse', '7.20.2')
('npm:chokidar', '3.5.3')
('npm:domutils', '3.0.1')
('rubygems:docile', '1.4.0')
('npm:@babel/plugin-transform-modules-amd', '7.24.7')
('npm:@babel/plugin-syntax-bigint', '7.8.3')
('npm:@rjsf/core', '5.18.3')
('npm:regjsparser', '0.9.1')
('npm:tapable', '2.2.1')
('npm:prop-types-exact', '1.2.0')
('rubygems:dry-inflector', '1.0.0')
('npm:jest-leak-detector', '29.7.0')
('npm:@babel/plugin-syntax-class-static-block', '7.14.5')
('npm:jest-canvas-mock', '2.5.2')
('npm:object-inspect', '1.13.1')
('rubygems:uniform_notifier', '1.16.0')
('rubygems:resque', '2.6.0')
('npm:w3c-xmlserializer', '3.0.0')
('npm:istanbul-lib-report', '3.0.1')
('rubygems:rugged', '1.7.2')
('npm:min-indent', '1.0.1')
('npm:terser-webpack-plugin', '5.3.10')
('npm:jest-get-type', '29.6.3')
('npm:@babel/plugin-transform-async-to-generator', '7.24.7')
('rubygems:dry-schema', '1.13.3')
('rubygems:erubi', '1.13.0')
('npm:@types/yargs-parser', '21.0.0')
('npm:leven', '3.1.0')
('npm:@babel/helper-string-parser', '7.24.7')
('npm:mimic-response', '2.1.0')
('npm:test-exclude', '6.0.0')
('npm:@babel/plugin-proposal-private-property-in-object', '7.21.0-placeholder-for-preset-env.2')
('npm:fastest-levenshtein', '1.0.16')
('npm:@babel/regjsgen', '0.8.0')
('actions:actions/cache', '4.*.*')
('npm:supports-color', '5.5.0')
('npm:parse5-htmlparser2-tree-adapter', '7.0.0')
('npm:es-shim-unscopables', '1.0.0')
('npm:has-flag', '4.0.0')
('npm:define-data-property', '1.1.4')
('npm:eslint-scope', '5.1.1')
('npm:@babel/plugin-transform-literals', '7.24.7')
('rubygems:rouge', '4.1.3')
('npm:webpack-sources', '3.2.3')
('npm:write-file-atomic', '4.0.2')
('npm:regenerate', '1.4.2')
('npm:@babel/helper-remap-async-to-generator', '7.24.7')
('npm:@webpack-cli/configtest', '2.1.1')
('npm:color-name', '1.1.3')
('npm:anymatch', '3.1.2')
