('npm:loose-envify', '1.4.0')
('npm:@babel/plugin-transform-computed-properties', '7.0.0-beta.47')
('npm:@vue/cli-plugin-babel', '3.0.0-rc.10')
('npm:p-locate', '2.0.0')
('npm:pkg-dir', '2.0.0')
('maven:io.micronaut:micronaut-http-client', '')
('maven:org.junit.jupiter:junit-jupiter-engine', '')
('npm:delayed-stream', '1.0.0')
('npm:brorand', '1.1.0')
('npm:lodash.clonedeep', '4.5.0')
('npm:expand-braces', '0.1.2')
('npm:isobject', '3.0.1')
('npm:@babel/helper-replace-supers', '7.0.0-beta.47')
('npm:@webassemblyjs/wasm-opt', '1.5.13')
('npm:object-assign', '4.1.1')
('npm:is-absolute-url', '2.1.0')
('npm:@angular-devkit/architect', '0.10.7')
('npm:body-parser', '1.18.2')
('maven:com.google.guava:guava', '25.0-jre')
('npm:nanomatch', '1.2.13')
('npm:circular-json', '0.5.9')
('npm:vary', '1.1.2')
('npm:snapdragon', '0.8.2')
('npm:postcss-modules-extract-imports', '1.2.0')
('npm:blocking-proxy', '1.0.1')
('npm:flush-write-stream', '1.0.3')
('npm:wbuf', '1.7.3')
('npm:has-unicode', '2.0.1')
('npm:http-proxy', '1.17.0')
('npm:stream-browserify', '2.0.2')
('npm:gzip-size', '4.1.0')
('npm:@babel/plugin-transform-destructuring', '7.0.0-beta.47')
('npm:loader-utils', '1.1.0')
('npm:is-svg', '3.0.0')
('npm:jasmine-core', '2.99.1')
('npm:@babel/helper-regex', '7.0.0-beta.47')
('npm:utila', '0.4.0')
('npm:has-cors', '1.1.0')
('npm:connect-history-api-fallback', '1.6.0')
('npm:js-yaml', '3.12.2')
('npm:chardet', '0.4.2')
('npm:postcss-normalize-display-values', '4.0.0')
('npm:electron-to-chromium', '1.3.113')
('npm:postcss-minify-params', '4.0.0')
('npm:http-parser-js', '0.5.0')
('npm:co', '4.6.0')
('npm:lodash', '4.17.11')
('npm:tapable', '1.1.1')
('npm:neo-async', '2.6.0')
('npm:indexes-of', '1.0.1')
('npm:sntp', '1.0.9')
('npm:error-stack-parser', '2.0.2')
('npm:jasmine-spec-reporter', '4.2.1')
('npm:to-array', '0.1.4')
('npm:isbinaryfile', '3.0.3')
('npm:postcss-value-parser', '3.3.1')
('npm:sshpk', '1.14.2')
('npm:ejs', '2.6.1')
('npm:elliptic', '6.4.1')
('npm:@webassemblyjs/helper-api-error', '1.5.13')
('npm:is-data-descriptor', '0.1.4')
('npm:constants-browserify', '1.0.0')
('npm:inherits', '2.0.3')
('npm:fast-levenshtein', '2.0.6')
('npm:lodash.mergewith', '4.6.1')
('npm:commander', '2.17.1')
('npm:object.assign', '4.1.0')
('npm:es5-ext', '0.10.45')
('npm:jasminewd2', '2.2.0')
('npm:inflight', '1.0.6')
('npm:validate-npm-package-license', '3.0.4')
('npm:icss-replace-symbols', '1.1.0')
('npm:is-fullwidth-code-point', '2.0.0')
('npm:connect', '3.6.6')
('npm:base64-arraybuffer', '0.1.5')
('npm:has-values', '1.0.0')
('npm:fastparse', '1.1.1')
('npm:detect-indent', '4.0.0')
('npm:url-to-options', '1.0.1')
('npm:loud-rejection', '1.6.0')
('npm:text-table', '0.2.0')
('npm:express', '4.16.4')
('npm:cache-loader', '1.2.2')
('npm:make-dir', '1.3.0')
('npm:wide-align', '1.1.3')
('npm:slide', '1.1.6')
('maven:io.micronaut.test:micronaut-test-junit5', '')
('npm:fstream', '1.0.11')
('npm:browserify-cipher', '1.0.1')
('npm:tree-kill', '1.2.0')
('npm:lodash.transform', '4.6.0')
('npm:@babel/plugin-proposal-optional-catch-binding', '7.0.0-beta.47')
('npm:regexpu-core', '1.0.0')
('npm:internal-ip', '3.0.1')
('npm:merge2', '1.2.2')
('npm:array-unique', '0.3.2')
