('npm:@eslint/eslintrc', '1.4.1')
('npm:broccoli-funnel', '1.2.0')
('npm:get-intrinsic', '1.1.1')
('npm:opener', '1.5.1')
('npm:lodash.flatten', '4.4.0')
('npm:@types/qs', '6.9.3')
('npm:@babel/helper-create-class-features-plugin', '7.16.7')
('npm:esrecurse', '4.3.0')
('go:github.com/kr/text', '0.2.0')
('npm:fined', '1.2.0')
('npm:supports-color', '7.1.0')
('npm:postcss-modules-local-by-default', '4.0.0')
('npm:chalk', '4.1.2')
('npm:htmlparser2', '3.10.1')
('npm:has-property-descriptors', '1.0.0')
('npm:npm-package-arg', '8.1.5')
('npm:broccoli-source', '3.0.0')
('go:gopkg.in/warnings.v0', '0.1.2')
('npm:mimic-fn', '1.2.0')
('go:github.com/hashicorp/go-bexpr', '0.1.10')
('npm:which-boxed-primitive', '1.0.2')
('npm:bl', '4.1.0')
('npm:ember-resolver', '8.0.3')
('npm:cliui', '7.0.4')
('npm:linkify-it', '2.2.0')
('npm:array-equal', '1.0.0')
('npm:broccoli-asset-rev', '3.0.0')
('npm:file-type', '3.9.0')
('npm:is-fullwidth-code-point', '3.0.0')
('npm:@webassemblyjs/wasm-opt', '1.11.1')
('npm:os-locale', '1.4.0')
('npm:content-type', '1.0.4')
('npm:p-try', '1.0.0')
('npm:source-map-resolve', '0.5.3')
('npm:glob', '5.0.15')
('npm:default-compare', '1.0.0')
('npm:bach', '1.2.0')
('npm:globalyzer', '0.1.0')
('npm:lodash.values', '4.3.0')
('npm:@glimmer/reference', '0.65.1')
('go:github.com/xlab/treeprint', '0.0.0-20181112141820-a009c3971eca')
('go:github.com/hashicorp/errwrap', '1.1.0')
('npm:use', '3.1.1')
('npm:@jimp/plugin-print', '0.16.1')
('npm:sri-toolbox', '0.2.0')
('npm:@babel/plugin-transform-block-scoped-functions', '7.16.7')
('npm:through2', '4.0.2')
('npm:@jest/globals', '26.6.2')
('npm:character-entities', '1.2.4')
('npm:node-notifier', '9.0.1')
('npm:babel-generator', '6.26.1')
('npm:remark-parse', '8.0.3')
('npm:spdx-license-ids', '3.0.9')
('npm:tooltip.js', '1.3.3')
('go:go.etcd.io/bbolt', '1.3.6')
('npm:clean-base-url', '1.0.0')
('npm:ember-cli-favicon', '3.0.0')
('npm:time-zone', '1.0.0')
('npm:content-disposition', '0.5.4')
('npm:loader.js', '4.7.0')
('go:github.com/aws/aws-sdk-go', '1.44.269')
('npm:which-collection', '1.0.1')
('go:github.com/cyphar/filepath-securejoin', '0.2.3')
('npm:source-map', '0.5.7')
('npm:@babel/plugin-proposal-private-property-in-object', '7.16.7')
('npm:at-least-node', '1.0.0')
('npm:ember-cli-lodash-subset', '2.0.1')
('npm:fast-glob', '3.2.11')
('npm:safe-regex-test', '1.0.0')
('npm:lodash.reject', '4.6.0')
('npm:signal-exit', '3.0.6')
('npm:find-yarn-workspace-root', '2.0.0')
('npm:@glimmer/di', '0.1.11')
('npm:fsevents', '2.3.2')
('npm:jest-cli', '26.6.3')
('npm:readdirp', '3.6.0')
('go:github.com/google/go-cmp', '0.5.9')
('npm:js-yaml', '4.1.0')
('npm:jest-snapshot', '26.6.2')
('npm:es-abstract', '1.19.1')
('npm:walk-sync', '0.3.4')
