('npm:read-pkg', '5.2.0')
('npm:@rushstack/eslint-patch', '1.10.2')
('npm:@floating-ui/dom', '1.6.4')
('npm:serialize-javascript', '6.0.2')
('npm:postcss-discard-overridden', '5.1.0')
('npm:util', '0.12.5')
('npm:is-what', '4.1.16')
('npm:delayed-stream', '1.0.0')
('npm:@pixi/mesh-extras', '7.4.0')
('npm:isobject', '3.0.1')
('npm:micromark-factory-title', '1.1.0')
('npm:regex-parser', '2.3.0')
('npm:@emotion/sheet', '1.2.2')
('npm:robust-predicates', '3.0.2')
('npm:object-assign', '4.1.1')
('npm:@mapbox/sexagesimal', '1.2.0')
('npm:postcss-minify-gradients', '5.1.1')
('npm:chalk', '3.0.0')
('npm:p-locate', '5.0.0')
('npm:@babel/preset-modules', '0.1.6-no-external-plugins')
('npm:has-proto', '1.0.3')
('npm:@placemarkio/geo-viewport', '1.0.2')
('npm:@jest/environment', '27.5.1')
('npm:data-view-byte-offset', '1.0.0')
('npm:merge-stream', '2.0.0')
('npm:vary', '1.1.2')
('npm:jest-util', '27.5.1')
('npm:@types/parse-json', '4.0.2')
('npm:@typescript-eslint/experimental-utils', '5.62.0')
('pip:sqlalchemy', '2.0.19')
('npm:@pixi/compressed-textures', '7.4.0')
('npm:wbuf', '1.7.3')
('npm:@open-draft/until', '1.0.3')
('npm:@babel/core', '7.24.5')
('npm:rehype', '12.0.1')
('npm:@rollup/plugin-babel', '5.3.1')
('npm:react-select', '5.8.0')
('npm:csscolorparser', '1.0.3')
('npm:functions-have-names', '1.2.3')
('npm:recursive-readdir', '2.2.3')
('npm:utila', '0.4.0')
('npm:import-local', '3.1.0')
('npm:is-array-buffer', '3.0.4')
('npm:path-key', '3.1.1')
('npm:marked', '4.3.0')
('npm:@webassemblyjs/wasm-gen', '1.12.1')
('npm:@types/http-proxy', '1.17.14')
('npm:@babel/plugin-transform-nullish-coalescing-operator', '7.24.1')
('npm:web-namespaces', '2.0.1')
('npm:find-up', '5.0.0')
('npm:@babel/plugin-transform-unicode-property-regex', '7.24.1')
('npm:co', '4.6.0')
('npm:@szmarczak/http-timer', '4.0.6')
('npm:@pixi/core', '7.4.0')
('npm:typedarray.prototype.slice', '1.0.3')
('npm:htmlparser2', '3.5.1')
('npm:camelcase-keys', '6.2.2')
('npm:global-prefix', '3.0.0')
('npm:file-loader', '6.2.0')
('npm:fork-ts-checker-webpack-plugin', '6.5.3')
('npm:is-string', '1.0.7')
('npm:micromark-extension-gfm-strikethrough', '1.0.7')
('npm:@uiw/react-markdown-preview', '4.2.2')
('npm:ejs', '3.1.10')
('npm:@formatjs/intl-displaynames', '6.6.6')
('npm:postcss-value-parser', '3.3.1')
('npm:find-cache-dir', '3.3.2')
('npm:html-webpack-plugin', '5.6.0')
('npm:ajv-keywords', '3.5.2')
('npm:@svgr/babel-plugin-transform-svg-component', '5.5.0')
('npm:inherits', '2.0.3')
('npm:fast-levenshtein', '2.0.6')
('npm:open', '7.4.2')
('npm:dom-converter', '0.2.0')
('npm:babel-plugin-jest-hoist', '27.5.1')
('npm:js-levenshtein', '1.1.6')
('npm:commander', '2.19.0')
('npm:@jridgewell/resolve-uri', '3.1.2')
('npm:es-to-primitive', '1.2.1')
('npm:inflight', '1.0.6')
('npm:jsonfile', '6.1.0')
('npm:d3-time-format', '4.1.0')
('npm:@babel/helper-member-expression-to-functions', '7.24.5')
('npm:validate-npm-package-license', '3.0.4')
('npm:@istanbuljs/load-nyc-config', '1.1.0')
('npm:inherits', '2.0.4')
('npm:cssstyle', '2.3.0')
('npm:language-tags', '1.0.9')
('npm:@types/babel__template', '7.4.4')
('npm:binary-extensions', '2.3.0')
('npm:tailwindcss', '3.4.3')
('npm:micromark-util-resolve-all', '1.1.0')
('npm:@babel/plugin-syntax-json-strings', '7.8.3')
('npm:text-table', '0.2.0')
('npm:express', '4.19.2')
('npm:fs-extra', '8.1.0')
('npm:micromark-factory-space', '1.1.0')
('npm:cssfontparser', '1.2.1')
('npm:react-intl', '6.6.5')
('npm:polyclip-ts', '0.16.5')
('npm:micromark-factory-whitespace', '1.1.0')
('npm:finalhandler', '1.2.0')
('pip:bleach', '6.0.0')
('npm:d3-timer', '3.0.1')
('npm:ts-node', '10.9.2')
('npm:html-void-elements', '2.0.1')
('npm:axobject-query', '3.2.1')
('npm:@types/babel__traverse', '7.20.5')
('npm:@ungap/structured-clone', '1.2.0')
('npm:@typescript-eslint/type-utils', '5.62.0')
('npm:uvu', '0.5.6')
('npm:psl', '1.9.0')
('npm:@xmldom/xmldom', '0.8.10')
('npm:kind-of', '6.0.3')
('npm:array-includes', '3.1.8')
('npm:@vannizhang/wayback-core', '1.0.6')
('npm:is-unicode-supported', '0.1.0')
('npm:@babel/plugin-syntax-optional-chaining', '7.8.3')
('npm:@types/estree', '1.0.5')
('npm:@babel/plugin-syntax-unicode-sets-regex', '7.18.6')
('npm:uuid', '8.3.2')
('npm:postcss-colormin', '5.3.1')
('npm:icss-utils', '5.1.0')
('npm:micromark-util-decode-string', '1.1.0')
('npm:get-value', '2.0.6')
('npm:strip-ansi', '6.0.1')
('npm:array-buffer-byte-length', '1.0.1')
('npm:estraverse', '5.3.0')
('npm:node-forge', '1.3.1')
('npm:typedarray-to-buffer', '3.1.5')
('npm:mdn-data', '2.0.4')
('npm:@pixi/filter-glitch', '5.1.1')
('npm:object.getownpropertydescriptors', '2.1.8')
('npm:@babel/helper-module-transforms', '7.24.5')
('npm:@pixi/mesh', '7.4.0')
('npm:postcss-minify-params', '5.1.4')
('npm:buffer', '5.7.1')
('npm:type-fest', '2.19.0')
('npm:@babel/plugin-transform-for-of', '7.24.1')
('npm:@webassemblyjs/wasm-opt', '1.12.1')
