('rust:windows_aarch64_msvc', '0.36.1')
('rust:futures-io', '0.3.27')
('rust:bytestring', '1.1.0')
('rust:rand_hc', '0.2.0')
('rust:picky-asn1', '0.8.0')
('rust:want', '0.3.0')
('rust:h2', '0.3.26')
('actions:docker/build-push-action', '5.*.*')
('actions:actions-rs/audit-check', '1')
('rust:typenum', '1.15.0')
('rust:percent-encoding', '2.2.0')
('rust:windows_aarch64_msvc', '0.48.0')
('rust:toml', '0.5.9')
('rust:openssl-sys', '0.9.102')
('actions:actions/checkout', '4')
('rust:async-trait', '0.1.57')
('rust:deadpool', '0.9.5')
('rust:clap_lex', '0.5.0')
('rust:atty', '0.2.14')
('rust:derive_more', '0.99.17')
('rust:foreign-types', '0.3.2')
('rust:signal-hook', '0.3.17')
('rust:windows-targets', '0.48.0')
('rust:winapi-i686-pc-windows-gnu', '0.4.0')
('rust:windows_x86_64_gnullvm', '0.48.0')
('rust:try-lock', '0.2.3')
('rust:windows_x86_64_msvc', '0.52.0')
('rust:hermit-abi', '0.1.19')
('rust:form_urlencoded', '1.1.0')
('rust:tokio', '1.28.2')
('rust:lock_api', '0.4.9')
('rust:libc', '0.2.155')
('rust:cexpr', '0.6.0')
('actions:codecov/codecov-action', '4.*.*')
('rust:minimal-lexical', '0.2.1')
('rust:rand_chacha', '0.3.1')
('rust:local-channel', '0.1.3')
('rust:waker-fn', '1.1.0')
('rust:regex', '1.6.0')
('rust:syn', '2.0.48')
('rust:tss-esapi-sys', '0.5.0')
('rust:zeroize', '1.5.7')
('rust:tinyvec', '1.6.0')
('rust:semver', '0.11.0')
('rust:unicode-xid', '0.2.4')
('rust:pest_derive', '2.7.6')
('rust:signal-hook-registry', '1.4.0')
('rust:assert-json-diff', '2.0.2')
('rust:actix-service', '2.0.2')
('rust:semver-parser', '0.10.2')
('rust:ipnet', '2.5.0')
('rust:uuid', '1.7.0')
('rust:ucd-trie', '0.1.5')
('rust:wiremock', '>= 0.5.0,< 0.6.0')
('actions:docker/metadata-action', '5.*.*')
('rust:actix-web-codegen', '4.2.0')
('rust:tokio-util', '0.7.4')
('rust:oid', '0.2.1')
('rust:error-chain', '0.10.0')
('rust:linux-raw-sys', '0.4.13')
('rust:libloading', '0.7.3')
('rust:reqwest', '0.11.24')
('rust:rand', '0.8.5')
('rust:httparse', '1.8.0')
('rust:windows_x86_64_msvc', '0.36.1')
('rust:actix-macros', '0.2.3')
