('go:github.com/prometheus/common/sigv4', '0.1.0')
('npm:caller-callsite', '2.0.0')
('go:go.opentelemetry.io/otel/sdk', '1.28.0')
('go:github.com/go-logr/stdr', '1.2.2')
('go:github.com/sony/gobreaker', '1.0.0')
('go:golang.org/x/time', '0.5.0')
('go:github.com/opentracing-contrib/go-stdlib', '1.0.0')
('go:github.com/prometheus/procfs', '0.15.1')
('go:google.golang.org/api', '0.183.0')
('go:github.com/googleapis/enterprise-certificate-proxy', '0.3.2')
('go:github.com/fatih/color', '1.16.0')
('npm:color-convert', '2.0.1')
('go:github.com/golang-jwt/jwt/v5', '5.2.1')
('npm:get-caller-file', '2.0.5')
('actions:docker/login-action', '3.*.*')
('npm:chokidar', '3.5.3')
('npm:array-union', '2.1.0')
('go:github.com/grpc-ecosystem/go-grpc-middleware/v2', '2.1.0')
('go:google.golang.org/genproto/googleapis/rpc', '0.0.0-20240701130421-f6361c86f094')
('npm:dir-glob', '3.0.1')
('npm:fastq', '1.13.0')
('npm:graceful-fs', '4.2.10')
('actions:github/codeql-action/init', '3.*.*')
('actions:github/codeql-action/analyze', '3.*.*')
('go:go.uber.org/zap', '1.21.0')
('npm:supports-color', '5.5.0')
('go:go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc', '0.49.0')
('npm:has-flag', '4.0.0')
('npm:color-name', '1.1.3')
('npm:anymatch', '3.1.2')
('go:github.com/gogo/status', '1.1.1')
('npm:color-convert', '1.9.3')
('npm:escape-string-regexp', '1.0.5')
('go:github.com/thanos-io/thanos', '0.36.0-rc.0')
('go:github.com/armon/go-metrics', '0.4.1')
('npm:is-number', '7.0.0')
('go:github.com/google/pprof', '0.0.0-20240528025155-186aa0362fba')
('npm:js-yaml', '3.14.1')
('npm:p-try', '2.2.0')
('npm:ansi-styles', '4.3.0')
('go:github.com/alecthomas/template', '0.0.0-20190718012654-fb15b899a751')
('go:github.com/shurcooL/vfsgen', '0.0.0-20200824052919-0d455de96546')
('go:github.com/minio/minio-go/v7', '7.0.73')
('go:github.com/go-redis/redis/v8', '8.11.5')
('npm:yargs-parser', '18.1.3')
('go:github.com/bradfitz/gomemcache', '0.0.0-20230905024940-24af94b03874')
('npm:is-extglob', '2.1.1')
('go:github.com/felixge/httpsnoop', '1.0.4')
('npm:slash', '3.0.0')
('go:github.com/minio/md5-simd', '1.1.2')
('npm:p-limit', '2.3.0')
('go:github.com/josharian/intern', '1.0.0')
('go:google.golang.org/genproto', '0.0.0-20240528184218-531527333157')
('go:github.com/grafana/regexp', '0.0.0-20240518133315-a468a5bfb3bc')
('go:github.com/vimeo/galaxycache', '0.0.0-20210323154928-b7e5d71c067a')
('go:github.com/google/docsy', '0.4.0')
('go:github.com/hashicorp/consul/api', '1.29.1')
('npm:glob-parent', '5.1.2')
('go:cloud.google.com/go/iam', '1.1.8')
('go:github.com/go-openapi/runtime', '0.28.0')
('go:github.com/beorn7/perks', '1.0.1')
('go:github.com/bboreham/go-loser', '0.0.0-20230920113527-fcc2c21820a3')
('go:cloud.google.com/go/compute/metadata', '0.3.0')
('go:github.com/opentracing/opentracing-go', '1.2.0')
('go:github.com/hashicorp/go-cleanhttp', '0.5.2')
