('npm:source-map', '0.5.7')
('npm:@babel/helper-create-regexp-features-plugin', '7.10.4')
('npm:on-headers', '1.0.2')
('npm:@babel/plugin-transform-arrow-functions', '7.10.4')
('npm:spdx-license-ids', '3.0.5')
('npm:@babel/helper-remap-async-to-generator', '7.10.4')
('npm:@babel/code-frame', '7.10.4')
('npm:browserslist', '4.13.0')
('npm:depd', '2.0.0')
('npm:caniuse-lite', '1.0.30001100')
('npm:sourcemap-codec', '1.4.8')
('npm:glob', '7.1.6')
('npm:lodash.isobject', '3.0.2')
('npm:@babel/plugin-transform-parameters', '7.10.5')
('npm:@babel/plugin-transform-named-capturing-groups-regex', '7.10.4')
('npm:@babel/plugin-syntax-class-properties', '7.10.4')
('npm:unicode-match-property-value-ecmascript', '1.2.0')
('npm:is-arrayish', '0.2.1')
('npm:@babel/plugin-proposal-class-properties', '7.10.4')
('npm:is-callable', '1.2.0')
('npm:@babel/plugin-transform-modules-amd', '7.10.5')
('npm:@babel/plugin-syntax-nullish-coalescing-operator', '7.8.3')
('npm:@babel/plugin-transform-function-name', '7.10.4')
('npm:svelte', '3.24.0')
('npm:@babel/plugin-transform-sticky-regex', '7.10.4')
('npm:@babel/helper-optimise-call-expression', '7.10.4')
('npm:cookie-signature', '1.0.6')
('npm:jsonfile', '4.0.0')
('npm:is-regex', '1.1.0')
('npm:html-minifier', '4.0.0')
('npm:which', '1.3.1')
('npm:estree-walker', '1.0.1')
('npm:is-module', '1.0.0')
('npm:ms', '2.0.0')
('go:github.com/micro/go-plugins/store/redis/v2', '2.9.1')
('npm:kruptein', '2.1.0')
('npm:@babel/plugin-transform-async-to-generator', '7.10.4')
('npm:upper-case', '1.1.3')
('npm:spdx-correct', '3.1.1')
('npm:trouter', '3.1.0')
('npm:@babel/plugin-transform-classes', '7.10.4')
('npm:no-case', '2.3.2')
('npm:@babel/helper-get-function-arity', '7.10.4')
('npm:object.assign', '4.1.0')
('npm:@babel/plugin-transform-reserved-words', '7.10.4')
('npm:has-symbols', '1.0.1')
('npm:@babel/core', '7.10.5')
('npm:@rollup/pluginutils', '3.1.0')
('npm:sirv', '0.4.6')
('npm:unicode-match-property-ecmascript', '1.0.4')
('npm:rollup-pluginutils', '2.8.2')
('npm:@babel/helper-create-class-features-plugin', '7.10.5')
('npm:@babel/plugin-transform-block-scoping', '7.10.5')
('npm:regenerator-runtime', '0.13.5')
('npm:electron-to-chromium', '1.3.498')
('npm:@babel/plugin-transform-for-of', '7.10.4')
('npm:es-to-primitive', '1.2.1')
('npm:inflight', '1.0.6')
('go:github.com/prometheus/client_golang', '1.10.0')
('npm:minimist', '1.2.5')
('npm:convert-source-map', '1.7.0')
('npm:commander', '2.20.3')
('npm:param-case', '2.1.1')
('npm:validate-npm-package-license', '3.0.4')
('npm:load-json-file', '4.0.0')
('npm:inherits', '2.0.4')
('npm:clsx', '1.1.1')
('npm:deepmerge', '4.2.2')
('npm:pidtree', '0.3.1')
('npm:semver', '5.7.1')
('npm:@babel/template', '7.10.4')
('npm:@babel/plugin-transform-literals', '7.10.4')
('npm:@babel/plugin-transform-unicode-escapes', '7.10.4')
('npm:@babel/traverse', '7.10.5')
('npm:@babel/helper-function-name', '7.10.4')
('npm:leven', '3.1.0')
('npm:@types/resolve', '1.17.1')
('go:github.com/micro/go-micro/v2', '2.9.1')
('npm:relateurl', '0.2.7')
('npm:@babel/plugin-transform-shorthand-properties', '7.10.4')
('npm:rollup-plugin-svelte', '5.2.3')
('npm:lodash', '4.17.19')
('npm:@babel/plugin-proposal-numeric-separator', '7.10.4')
('npm:supports-color', '5.5.0')
('npm:builtin-modules', '3.1.0')
('npm:@babel/plugin-syntax-json-strings', '7.8.3')
('npm:string.prototype.trimstart', '1.0.1')
('npm:@rollup/plugin-commonjs', '12.0.0')
('npm:cross-spawn', '6.0.5')
('go:github.com/arangodb/go-driver', '0.0.0-20200618111046-f3a9751e1cf5')
('npm:parseurl', '1.3.3')
('npm:string.prototype.padend', '3.1.0')
('npm:fs-extra', '8.1.0')
('npm:regenerate', '1.4.1')
