('npm:is-descriptor', '0.1.7')
('npm:is-array-buffer', '3.0.4')
('npm:@jest/source-map', '29.6.3')
('npm:path-key', '3.1.1')
('npm:find-up', '5.0.0')
('npm:co', '4.6.0')
('rubygems:optimist', '3.1.0')
('npm:css-declaration-sorter', '4.0.1')
('npm:indexes-of', '1.0.1')
('rubygems:archive-zip', '0.12.0')
('npm:global-prefix', '3.0.0')
('npm:file-loader', '6.2.0')
('npm:postcss-pseudo-class-any-link', '6.0.0')
('npm:ansi-escapes', '6.2.0')
('npm:is-string', '1.0.7')
('npm:stylelint-config-standard', '36.0.0')
('npm:css-tree', '2.3.1')
('npm:postcss-value-parser', '3.3.1')
('npm:find-cache-dir', '3.3.2')
('npm:is-obj', '2.0.0')
('npm:ajv-keywords', '3.5.2')
('npm:constants-browserify', '1.0.0')
('npm:inherits', '2.0.3')
('npm:fast-levenshtein', '2.0.6')
('npm:@babel/plugin-transform-unicode-escapes', '7.23.3')
('npm:rimraf', '2.7.1')
('npm:pidtree', '0.6.0')
('npm:cssnano', '4.1.11')
('npm:object.groupby', '1.0.2')
('npm:@jridgewell/resolve-uri', '3.1.2')
('npm:smart-buffer', '4.2.0')
('npm:es-to-primitive', '1.2.1')
('npm:inflight', '1.0.6')
('npm:jsonfile', '6.1.0')
('rubygems:multi_xml', '0.6.0')
('npm:@istanbuljs/load-nyc-config', '1.1.0')
('npm:inherits', '2.0.4')
