('rust:foreign-types-macros', '0.2.3')
('npm:chokidar', '3.5.3')
('rust:octseq', '0.5.1')
('rust:wasm-bindgen-macro', '0.2.92')
('npm:encode-utf8', '1.0.3')
('rubygems:tty-cursor', '0.7.1')
('rust:objc_exception', '0.1.2')
('npm:min-indent', '1.0.1')
('rust:scoped-tls', '1.0.1')
('rust:darling_core', '0.20.8')
('rust:zvariant_utils', '1.0.1')
('npm:agent-base', '7.1.1')
('npm:semver', '5.7.1')
('rust:tauri-winrt-notification', '0.5.0')
('actions:docker/login-action', '2')
('npm:qs', '6.5.3')
('rust:gdk', '0.15.4')
('npm:supports-color', '5.5.0')
('rust:axum-core', '0.4.3')
('rust:hashbrown', '0.14.3')
('npm:b4a', '1.6.6')
('npm:has-flag', '4.0.0')
('rust:thiserror', '>= 1.0.0,< 2.0.0')
('npm:zxcvbn', '4.4.2')
('rust:gio-sys', '0.15.10')
('rust:zbus', '3.15.2')
('npm:data-uri-to-buffer', '6.0.2')
('rust:sd-notify', '0.4.1')
('rust:wasi', '0.11.0+wasi-snapshot-preview1')
('rust:windows_aarch64_msvc', '0.48.5')
('rust:backoff', '0.4.0')
('npm:esbuild-linux-ppc64le', '0.15.18')
('rust:enum-as-inner', '0.6.0')
('npm:retry', '0.12.0')
('rust:tokio', '>= 1.38.0,< 2.0.0')
('rust:libloading', '0.7.4')
('rust:goblin', '0.8.0')
('rust:swift-bridge-build', '>= 0.1.53,< 0.2.0')
('rust:gtk', '0.15.5')
('npm:p-map', '4.0.0')
('npm:read-pkg', '5.2.0')
('rust:clap', '>= 4.5.0,< 5.0.0')
('npm:esbuild-sunos-64', '0.14.54')
('npm:delayed-stream', '1.0.0')
('npm:npmlog', '6.0.2')
('rust:tauri-codegen', '1.4.3')
('npm:object-assign', '4.1.1')
('rust:zip', '2.1.3')
('rust:semver', '>= 1.0.22,< 2.0.0')
('rust:minidumper', '0.8.2')
('rubygems:gssapi', '1.3.1')
('npm:cacache', '15.3.0')
('rust:axum-core', '0.3.4')
('rust:waker-fn', '1.1.1')
('npm:has-unicode', '2.0.1')
('npm:@babel/highlight', '7.24.2')
('rust:smart-default', '0.7.1')
('rust:anstyle-parse', '0.2.3')
('rust:opentelemetry-proto', '0.5.0')
('rust:tauri-utils', '1.5.4')
('rust:wry', '0.24.10')
('rust:rustc-demangle', '0.1.23')
('rust:anyhow', '1.0.82')
('rust:field-offset', '0.3.6')
('rust:Inflector', '0.11.4')
('rust:foreign-types', '0.5.0')
('npm:path-key', '3.1.1')
('rust:hex-display', '0.3.0')
('rust:windows-sys', '0.36.1')
('rubygems:iniparse', '1.5.0')
('rust:redox_syscall', '0.4.1')
('npm:camelcase-keys', '6.2.2')
('actions:gradle/actions/wrapper-validation', '3.*.*')
('npm:glob', '7.1.7')
('rust:event-listener', '4.0.3')
('rubygems:chef-config', '17.10.0')
('npm:esbuild-linux-mips64le', '0.14.54')
('rust:unicode-segmentation', '1.11.0')
('rust:proc-macro-error', '1.0.4')
('rubygems:pastel', '0.8.0')
('rust:security-framework', '2.10.0')
('rust:httpdate', '1.0.3')
('npm:@jridgewell/resolve-uri', '3.1.2')
('npm:gauge', '3.0.2')
('npm:smart-buffer', '4.2.0')
('npm:jsonfile', '6.1.0')
('npm:inflight', '1.0.6')
('npm:validate-npm-package-license', '3.0.4')
('npm:inherits', '2.0.4')
('rust:hex-display', '>= 0.3.0,< 0.4.0')
('rust:phf', '0.8.0')
('npm:socks', '2.7.1')
('rust:num-iter', '0.1.44')
