('maven:org.eclipse.jetty:jetty-servlet', '11.0.21')
('maven:io.dropwizard:dropwizard-core', '4.0.7')
('maven:org.hibernate.validator:hibernate-validator', '8.0.1')
('maven:org.eclipse.jetty:jetty-io', '11.0.21')
('maven:org.hamcrest:hamcrest', '2.2')
('maven:org.javassist:javassist', '3.30.2-GA')
('maven:io.dropwizard.logback:logback-throttling-appender', '1.5.0')
('maven:com.amazonaws:aws-java-sdk-core', '1.12.740')
('maven:org.apache.commons:commons-text', '1.12.0')
('maven:com.fasterxml.jackson.core:jackson-annotations', '2.17.1')
('maven:io.dropwizard.metrics:metrics-healthchecks', '4.2.26')
('maven:com.github.cafapi.config:config-file', '3.1.0-596')
('maven:com.github.cafapi.config:config-system', '3.1.0-596')
('maven:org.eclipse.jetty:jetty-server', '11.0.21')
('maven:com.github.cafapi.config:config-file', '')
('maven:com.github.cafapi.config:config-system', '')
('maven:org.graalvm.polyglot:js-community', '24.0.1')
('maven:commons-codec:commons-codec', '1.17.0')
('maven:io.dropwizard.metrics:metrics-healthchecks', '')
('maven:org.apache.commons:commons-compress', '1.26.2')
('maven:com.fasterxml.jackson.core:jackson-core', '2.17.1')
('maven:io.prometheus:simpleclient_httpserver', '0.16.0')
('maven:com.netflix.feign:feign-core', '8.18.0')
('maven:com.github.autoscaler:autoscale-email-alert-dispatcher', '')
('maven:com.github.autoscaler:autoscale-source-kubernetes', '')
('maven:org.jvnet:animal-sniffer-annotation', '1.0')
('maven:io.dropwizard:dropwizard-jersey', '4.0.7')
('maven:org.glassfish.hk2:hk2-locator', '3.1.0')
('maven:com.google.j2objc:j2objc-annotations', '3.0.0')
('maven:com.github.autoscaler:autoscale-workload-rabbit', '3.0.0-SNAPSHOT')
('maven:org.graalvm.js:js-language', '24.0.1')
('maven:io.dropwizard.metrics:metrics-jvm', '4.2.26')
('maven:com.github.autoscaler:autoscale-scaler-kubernetes', '')
('maven:com.github.cafapi.config:config-caf', '3.1.0-596')
('maven:org.apache.commons:commons-text', '')
('maven:com.amazonaws:aws-java-sdk-sts', '1.12.740')
('maven:com.mycila:license-maven-plugin', '')
('maven:com.fasterxml.jackson.module:jackson-module-parameter-names', '2.17.1')
('maven:com.netflix.feign:feign-gson', '8.18.0')
('maven:org.eclipse.jetty.toolchain.setuid:jetty-setuid-java', '1.0.4')
('maven:io.kubernetes:client-java', '20.0.1')
('maven:io.dropwizard:dropwizard-servlets', '4.0.7')
('maven:ch.qos.logback:logback-classic', '1.5.6')
('maven:com.github.autoscaler:autoscale-kubernetes-shared', '')
('maven:org.apache.commons:commons-lang3', '')
('maven:com.github.cafapi.logging:caf-logging-logback-converters', '2.1.0-374')
('maven:org.apache.maven.plugins:maven-surefire-plugin', '')
('maven:net.sourceforge.argparse4j:argparse4j', '0.9.0')
('maven:org.checkerframework:checker-qual', '3.44.0')
('com.github.Autoscaler/autoscaler', '')
