('maven:org.apache.dubbo:dubbo-spring-boot-starter', '2.7.3')
('go:github.com/gabriel-vasile/mimetype', '1.4.2')
('go:github.com/davecgh/go-spew', '1.1.2-0.20180830191138-d8f796af33cc')
('pip:certifi', '2018.11.29')
('com.github.aliyun/alibabacloud-microservice-demo', '')
('maven:com.spring4all:swagger-spring-boot-starter', '1.7.0')
('maven:org.springframework.boot:spring-boot-dependencies', '2.0.6')
('maven:com.alibabacloud.hipstershop:cartservice-api', '1.0.0-SNAPSHOT')
('pip:click', '7.0')
('maven:com.alibaba:druid', '1.0.25')
('maven:org.springframework.cloud:spring-cloud-loadbalancer', '')
('maven:org.springframework.boot:spring-boot-starter-data-jpa', '')
('pip:idna', '2.8')
('go:golang.org/x/text', '0.15.0')
('maven:com.alibaba.cloud:spring-cloud-starter-alibaba-nacos-discovery', '2.1.1')
('maven:org.apache.maven.plugins:maven-resources-plugin', '3.2.0')
('maven:mysql:mysql-connector-java', '')
('go:github.com/gin-gonic/gin', '1.8.1')
('maven:org.springframework.cloud:spring-cloud-dependencies', 'Hoxton.SR1')
('maven:com.squareup.retrofit2:retrofit', '2.8.2')
('maven:com.alibabacloud.hipsershop:exception-mock-api', '1.0.0-SNAPSHOT')
('go:golang.org/x/text', '0.16.0')
('maven:org.springframework.boot:spring-boot-starter-actuator', '')
('go:google.golang.org/protobuf', '1.33.0')
('maven:com.alibabacloud.hipstershop:checkoutservice-api', '1.0.0-SNAPSHOT')
('go:github.com/go-playground/locales', '0.14.1')
('maven:org.mybatis:mybatis', '3.5.5')
('go:gopkg.in/check.v1', '1.0.0-20190902080502-41f04d3bba15')
('go:github.com/pelletier/go-toml/v2', '2.0.8')
('pip:geventhttpclient-wheels', '1.3.1.dev2')
('maven:com.alibaba.jvm:opentelemetry-agent-native', '1.0-SNAPSHOT')
('go:github.com/go-playground/universal-translator', '0.18.1')
('maven:org.apache.dubbo:dubbo-spring-boot-starter', '2.7.18')
('maven:com.alibaba:druid-spring-boot-starter', '1.2.15')
('maven:org.apache.kafka:kafka-clients', '2.4.0')
('maven:org.springframework.boot:spring-boot-starter-validation', '')
('maven:org.apache.dubbo:dubbo', '2.7.21')
('maven:org.springframework.cloud:spring-cloud-starter-netflix-zuul', '')
('maven:org.springframework.boot:spring-boot-dependencies', '2.2.5.RELEASE')
('pip:msgpack-python', '0.5.6')
('maven:org.springframework.cloud:spring-cloud-starter-openfeign', '')
('maven:org.springframework.cloud:spring-cloud-starter-openfeign', '2.2.5')
