('npm:@aws-sdk/middleware-logger', '3.433.0')
('com.github.CoorpAcademy/serverless-plugins', '')
('npm:fs-extra', '11.1.1')
('npm:abbrev', '1.1.1')
('npm:@serverless/utils', '6.15.0')
('npm:@babel/helper-function-name', '7.19.0')
('npm:flat', '5.0.2')
('npm:strip-bom', '4.0.0')
('npm:p-event', '4.2.0')
('npm:ansi-styles', '4.3.0')
('npm:is-core-module', '2.11.0')
('npm:commondir', '1.0.1')
('npm:buffer-alloc-unsafe', '1.1.0')
('npm:@coorpacademy/eslint-plugin-coorpacademy', '11.0.0')
('npm:@sindresorhus/is', '4.6.0')
('npm:strong-log-transformer', '2.1.0')
('npm:yargs-parser', '18.1.3')
('npm:jsesc', '2.5.2')
('npm:eslint-plugin-mocha', '10.1.0')
('npm:glob', '7.2.3')
('npm:is-stream', '2.0.1')
('npm:write-pkg', '4.0.0')
('npm:p-limit', '2.3.0')
('npm:fs-minipass', '2.1.0')
('npm:aws-sdk', '2.1488.0')
('npm:require-from-string', '2.0.2')
('npm:token-types', '4.2.1')
('npm:minipass-flush', '1.0.5')
('npm:yauzl', '2.10.0')
('npm:eslint-plugin-fp', '2.3.0')
('npm:write-file-atomic', '5.0.1')
('npm:vscode-uri', '3.0.6')
('npm:clone-deep', '4.0.1')
('npm:shebang-regex', '3.0.0')
('npm:mimic-fn', '2.1.0')
('npm:has-symbols', '1.0.3')
('npm:@smithy/node-config-provider', '2.1.3')
('npm:array-buffer-byte-length', '1.0.0')
('npm:boxen', '7.1.1')
('npm:yaml-ast-parser', '0.0.43')
('npm:filename-reserved-regex', '2.0.0')
('npm:has-flag', '3.0.0')
('npm:p-locate', '4.1.0')
('npm:normalize-package-data', '2.5.0')
('npm:@babel/compat-data', '7.19.4')
('npm:filesize', '10.1.0')
('npm:word-wrap', '1.2.3')
('npm:@smithy/util-body-length-browser', '2.0.0')
('npm:file-type', '5.2.0')
('npm:is-symbol', '1.0.4')
('npm:next-tick', '1.1.0')
('npm:npm-packlist', '5.1.1')
('npm:@octokit/types', '9.3.2')
('npm:@hapi/call', '9.0.1')
('npm:fs2', '0.3.9')
('npm:strip-indent', '3.0.0')
('npm:@jridgewell/trace-mapping', '0.3.17')
('npm:node-dir', '0.1.17')
('npm:is-stream', '1.1.0')
('npm:sort-keys-length', '1.0.1')
('npm:@aws-crypto/sha256-js', '3.0.0')
('npm:find-up', '4.1.0')
('npm:eslint-plugin-unicorn', '40.1.0')
('npm:@nx/nx-linux-x64-musl', '16.10.0')
('npm:formidable', '2.0.1')
('npm:git-raw-commits', '3.0.0')
('npm:yocto-queue', '0.1.0')
('npm:foreground-child', '2.0.0')
('npm:ws', '7.5.9')
('npm:socks-proxy-agent', '7.0.0')
('npm:regexp-tree', '0.1.24')
('npm:prettier-linter-helpers', '1.0.0')
('npm:cli-color', '2.0.3')
('npm:@smithy/hash-node', '2.0.12')
('npm:normalize-package-data', '3.0.3')
('npm:pump', '3.0.0')
('npm:minipass-collect', '1.0.2')
('npm:@aws-sdk/credential-provider-sso', '3.441.0')
('npm:@hapi/mimos', '7.0.1')
('npm:parse-json', '4.0.0')
('npm:superagent', '7.1.6')
('npm:init-package-json', '5.0.0')
('npm:nice-try', '1.0.5')
('npm:fast-glob', '3.2.12')
('npm:p-map-series', '2.1.0')
('npm:@babel/traverse', '7.19.6')
