('go:github.com/google/go-cmp', '0.5.9')
('npm:js-yaml', '4.1.0')
('npm:graphql', '14.7.0')
('npm:supports-preserve-symlinks-flag', '1.0.0')
('npm:camelcase-keys', '4.2.0')
('composer:symfony/translation-contracts', '2.5.2')
('npm:@supercharge/request-ip', '^ 1.1.2')
('npm:flatted', '3.3.1')
('npm:minimalistic-assert', '1.0.1')
('npm:statuses', '1.5.0')
('npm:commander', '8.3.0')
('npm:dotenv-extended', '2.9.0')
('composer:symfony/polyfill-intl-normalizer', '1.25.0')
('npm:array-union', '2.1.0')
('composer:doctrine/persistence', '1.3.8')
('npm:eslint-module-utils', '2.8.1')
('composer:stecman/symfony-console-completion', '0.11.0')
('npm:kubernetes-client', '^ 3.15.0')
