('composer:psr/http-server-middleware', '1.0.1')
('npm:@rollup/rollup-linux-x64-musl', '4.18.0')
('npm:grunt-legacy-log-utils', '2.1.0')
('npm:ejs', '3.1.10')
('npm:glob', '7.1.7')
('npm:upper-case-first', '2.0.2')
('npm:@esbuild/netbsd-x64', '0.19.12')
('npm:is-interactive', '2.0.0')
('npm:find-cache-dir', '3.3.2')
('composer:firebase/php-jwt', '6.0.0')
('npm:ajv-keywords', '3.5.2')
('npm:inherits', '2.0.3')
('npm:stream-read-all', '3.0.1')
('npm:@babel/plugin-transform-unicode-escapes', '7.23.3')
('npm:ipaddr.js', '2.1.0')
('npm:rimraf', '2.7.1')
('npm:object-inspect', '1.13.2')
('npm:setprototypeof', '1.1.1')
('npm:smart-buffer', '4.2.0')
('npm:inflight', '1.0.6')
('npm:jsonfile', '6.1.0')
('npm:@interactjs/modifiers', '1.10.11')
('npm:inherits', '2.0.4')
('npm:@babel/plugin-transform-exponentiation-operator', '7.23.3')
('npm:babel-plugin-polyfill-regenerator', '0.5.3')
('npm:connect', '3.6.6')
('composer:giggsey/libphonenumber-for-php', '8.12.18')
('composer:simplesamlphp/simplesamlphp-module-sqlauth', '0.9.4')
('npm:@babel/plugin-syntax-json-strings', '7.8.3')
('npm:express', '4.19.2')
('composer:symfony/framework-bundle', '5.4.6')
('composer:celtic/lti', '4.10.1')
('npm:finalhandler', '1.2.0')
('npm:@babel/plugin-transform-for-of', '7.23.3')
('composer:gettext/gettext', '4.8.6')
('npm:resp-modifier', '6.0.2')
('npm:@sinonjs/fake-timers', '11.2.2')
('npm:buffer', '6.0.3')
('npm:psl', '1.9.0')
('npm:kind-of', '6.0.3')
('npm:@babel/plugin-syntax-optional-chaining', '7.8.3')
('npm:@types/estree', '1.0.5')
('npm:@babel/plugin-syntax-unicode-sets-regex', '7.18.6')
('npm:is-relative', '1.0.0')
('npm:socks-proxy-agent', '8.0.3')
('npm:@babel/plugin-transform-class-static-block', '7.23.3')
('npm:uuid', '8.3.2')
('npm:@interactjs/inertia', '1.10.11')
('npm:strip-ansi', '6.0.1')
('npm:estraverse', '5.3.0')
('npm:node-forge', '1.3.1')
('npm:path-root', '0.1.1')
('npm:buffer', '5.7.1')
('npm:@11ty/lodash-custom', '4.17.21')
('npm:semver', '7.5.4')
('npm:ansi-escapes', '4.3.2')
('composer:egroupware/icalendar', '2.2.1')
('npm:base64-js', '1.5.1')
('npm:queue-tick', '1.0.1')
('npm:posthtml-render', '3.0.0')
('npm:@types/retry', '0.12.0')
('composer:symfony/http-client', '5.4.29')
('composer:egroupware/util', '2.7.0')
('npm:typical', '7.1.1')
('npm:@interactjs/core', '1.10.11')
('npm:dateformat', '3.0.3')
('composer:sebastian/diff', '4.0.4')
('npm:bytes', '3.0.0')
('composer:twig/twig', '2.15.3')
('npm:capital-case', '1.0.4')
('npm:is-potential-custom-element-name', '1.0.1')
('npm:schema-utils', '2.7.1')
('npm:@types/http-errors', '1.8.1')
('npm:object.map', '1.0.1')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:chrome-launcher', '0.15.2')
