('npm:npm-package-arg', '8.1.5')
('npm:@vue/server-renderer', '3.2.33')
('npm:convert-source-map', '1.8.0')
('npm:@lerna/command', '4.0.0')
('npm:which-boxed-primitive', '1.0.2')
('npm:cliui', '7.0.4')
('npm:esbuild-windows-32', '0.14.34')
('npm:is-fullwidth-code-point', '3.0.0')
('npm:content-type', '1.0.4')
('npm:p-try', '1.0.0')
('npm:source-map-resolve', '0.5.3')
('npm:terser-webpack-plugin', '4.2.3')
('npm:bluebird', '3.5.1')
('npm:postcss-modules-scope', '2.2.0')
('npm:browserslist', '4.20.2')
('npm:hash-stream-validation', '0.2.4')
('npm:promzard', '0.3.0')
('npm:socks', '2.6.2')
('npm:shortid', '2.2.16')
('npm:caniuse-lite', '1.0.30001260')
('npm:@babel/helper-function-name', '7.15.4')
('npm:use', '3.1.1')
('npm:postcss-normalize-charset', '4.0.1')
('npm:through2', '4.0.2')
('npm:@rushstack/rig-package', '0.3.11')
('npm:mime', '2.5.2')
('npm:@jest/globals', '26.6.2')
('npm:postcss-minify-gradients', '4.0.2')
('npm:cron', '1.8.2')
('npm:postcss-initial', '3.0.4')
('npm:@babel/plugin-transform-sticky-regex', '7.12.13')
('npm:istanbul-reports', '3.0.2')
('npm:micromatch', '4.0.2')
('npm:spdx-license-ids', '3.0.9')
('npm:v8-to-istanbul', '8.1.1')
('npm:mongodb', '4.1.4')
('npm:denque', '1.5.1')
('npm:esbuild-windows-64', '0.15.10')
('npm:@ts-morph/common', '0.13.0')
('npm:content-disposition', '0.5.4')
('npm:micromatch', '4.0.5')
('npm:@babel/preset-env', '7.14.2')
('npm:errno', '0.1.8')
('npm:rxjs', '6.6.3')
('npm:shimmer', '1.2.1')
('npm:source-map', '0.5.7')
('npm:at-least-node', '1.0.0')
('npm:jsonc-parser', '3.2.0')
('npm:fast-glob', '3.2.11')
('npm:webpack-bundle-analyzer', '4.4.2')
('npm:@nuxt/webpack', '2.15.6')
('npm:istanbul-lib-instrument', '5.2.0')
('npm:@babel/template', '7.12.13')
('npm:minizlib', '2.1.2')
('npm:fsevents', '2.3.2')
('npm:@google-cloud/storage', '5.8.5')
('npm:jest-cli', '26.6.3')
('npm:css-tree', '1.0.0-alpha.37')
('npm:readdirp', '3.6.0')
('npm:sift', '7.0.1')
('npm:registry-url', '5.1.0')
('npm:bytes', '3.1.0')
('npm:jest-snapshot', '26.6.2')
('npm:data-uri-to-buffer', '4.0.0')
('npm:cssesc', '2.0.0')
('npm:tar', '4.4.19')
('npm:supports-preserve-symlinks-flag', '1.0.0')
('npm:vue-hot-reload-api', '2.3.4')
('npm:finalhandler', '1.1.2')
('npm:supports-hyperlinks', '2.2.0')
('npm:css-select', '3.1.2')
('npm:levn', '0.3.0')
('npm:@npmcli/fs', '1.1.1')
('npm:@babel/traverse', '7.15.4')
('npm:debuglog', '1.0.1')
('npm:esbuild-linux-s390x', '0.15.10')
('npm:minimalistic-assert', '1.0.1')
('npm:statuses', '1.5.0')
('npm:conventional-recommended-bump', '6.1.0')
('npm:mpath', '0.8.3')
('npm:fastify-sensible', '3.2.0')
('npm:is-yarn-global', '0.3.0')
('npm:split2', '4.1.0')
('npm:@vue/devtools-api', '6.4.2')
('npm:chokidar', '3.5.3')
('npm:array-union', '2.1.0')
('npm:builtin-status-codes', '3.0.0')
('npm:min-indent', '1.0.1')
('npm:meow', '8.1.2')
('npm:esbuild-linux-riscv64', '0.14.28')
('npm:@webassemblyjs/helper-buffer', '1.9.0')
('npm:semver', '5.7.1')
('npm:@babel/helper-validator-identifier', '7.14.0')
('npm:passport-strategy', '1.0.0')
('npm:is-ci', '2.0.0')
('npm:qs', '6.5.3')
('npm:@hutson/parse-repository-url', '3.0.2')
('npm:@lerna/add', '4.0.0')
('npm:core-js-compat', '3.12.1')
('npm:responselike', '1.0.2')
('npm:@types/qs', '6.9.7')
('npm:supports-color', '5.5.0')
('npm:shellwords', '0.1.1')
('npm:esbuild-linux-arm64', '0.15.10')
('npm:stream-combiner', '0.0.4')
('npm:camel-case', '4.1.2')
('npm:has-flag', '4.0.0')
('npm:pako', '0.2.9')
('npm:browserify-sign', '4.2.1')
('npm:ps-tree', '1.2.0')
('npm:union-value', '1.0.1')
('npm:@vue/runtime-core', '3.2.33')
('npm:jest-config', '27.2.1')
('npm:tough-cookie', '4.0.0')
('npm:nanoid', '3.3.4')
('npm:unicode-property-aliases-ecmascript', '1.1.0')
('npm:uniq', '1.0.1')
('npm:validator', '13.7.0')
('rust:futures', '>= 0.3.12,< 0.4.0')
('npm:read-pkg', '3.0.0')
('npm:external-editor', '3.1.0')
('npm:diff-sequences', '27.5.1')
('npm:js-yaml', '3.14.1')
('npm:@babel/helper-remap-async-to-generator', '7.13.0')
('npm:registry-auth-token', '4.2.0')
('npm:totalist', '1.1.0')
('npm:currently-unhandled', '0.4.1')
('npm:@types/connect', '3.4.34')
('npm:vue-router', '4.0.14')
('npm:strip-indent', '1.0.1')
('npm:icss-utils', '4.1.1')
('npm:@babel/core', '7.15.5')
('npm:element-plus', '1.2.0-beta.6')
('npm:@types/babel__core', '7.1.14')
('npm:yallist', '2.1.2')
('npm:retry', '0.12.0')
('npm:@lerna/package-graph', '4.0.0')
('npm:npm-registry-fetch', '9.0.0')
('npm:es-array-method-boxes-properly', '1.0.0')
('npm:@jridgewell/sourcemap-codec', '1.4.11')
('npm:modify-values', '1.0.1')
('npm:lodash.isstring', '4.0.1')
('npm:@babel/helper-member-expression-to-functions', '7.17.7')
('npm:@nuxt/opencollective', '0.3.2')
('npm:jest-circus', '27.5.1')
('npm:@jest/test-result', '27.5.1')
