('maven:org.glassfish.hk2:hk2-locator', '2.5.0-b63')
('maven:io.dropwizard.metrics:metrics-healthchecks', '')
('maven:com.fasterxml.jackson.datatype:jackson-datatype-jdk8', '')
('maven:org.glassfish.jaxb:jaxb-runtime', '')
('npm:history', '^ 2.1.2')
('npm:classnames', '^ 2.2.3')
('npm:style-loader', '^ 0.13.1')
('npm:browser-sync', '^ 2.13.0')
('npm:webpack-stream', '^ 3.1.0')
('npm:core-js', '^ 1.2.7')
('maven:com.hubspot:HorizonCore', '0.1.2')
('maven:io.dropwizard:dropwizard-jackson', '')
('npm:eslint-plugin-babel', '^ 3.2.0')
('maven:com.hubspot:BaragonClient', '')
('maven:com.flipkart.zjsonpatch:zjsonpatch', '')
('maven:io.dropwizard:dropwizard-views-mustache', '')
('npm:mocha', '^ 3.1.2')
('maven:com.google.inject.extensions:guice-multibindings', '')
('npm:q', '^ 1.4.1')
('maven:org.apache.commons:commons-lang3', '')
('npm:webpack-merge', '^ 0.8.4')
('npm:babel-plugin-transform-runtime', '^ 6.9.0')
('maven:com.github.spotbugs:spotbugs-annotations', '3.1.9')
('maven:com.hubspot:BaragonService', '0.10.0-SNAPSHOT')
('npm:react-list', '~ 0.7.3')
('maven:org.basepom.maven:duplicate-finder-maven-plugin', '')
('npm:gulp', '^ 3.9.1')
('npm:extract-text-webpack-plugin', '^ 1.0.1')
('maven:com.fasterxml.jackson.dataformat:jackson-dataformat-yaml', '')
