('npm:setprototypeof', '1.0.3')
('npm:moment', '2.29.1')
('npm:file-type', '12.4.2')
('npm:minimist', '1.2.0')
('npm:setprototypeof', '1.2.0')
('npm:smtp-address-parser', '1.0.8')
('npm:@babel/code-frame', '7.12.11')
('npm:eslint-plugin-jsx-a11y', '6.8.0')
('npm:@esbuild/aix-ppc64', '0.21.5')
('npm:stream-shift', '1.0.1')
('npm:har-schema', '1.0.5')
('npm:glob', '7.1.1')
('npm:infer-owner', '1.0.4')
('npm:lcid', '1.0.0')
('npm:@types/debug', '4.1.12')
('npm:ngeohash', '0.6.0')
('npm:redis-errors', '1.2.0')
('npm:execa', '5.1.1')
('npm:chainsaw', '0.1.0')
('npm:@yarnpkg/libzip', '2.2.2')
('npm:jws', '3.2.2')
('npm:builtin-modules', '3.2.0')
('npm:type-check', '0.4.0')
('npm:pako', '2.1.0')
('npm:find-up', '3.0.0')
('npm:mime', '3.0.0')
('npm:utf8-length', '0.0.1')
('npm:is-arguments', '1.1.1')
('npm:espurify', '2.1.1')
('npm:component-emitter', '1.3.0')
('npm:bcryptjs', '^ 2.4.3')
('npm:mnemonist', '0.39.7')
('npm:decompress-response', '6.0.0')
('npm:@oada/client', '^ 5.1.0')
('npm:string_decoder', '1.1.1')
('npm:cacache', '^ 18.0.3')
('npm:grunt-parallel', '0.5.1')
('npm:micro-spelling-correcter', '1.1.1')
('npm:type-fest', '4.21.0')
('npm:indent-string', '4.0.0')
('npm:node-forge', '0.10.0')
('npm:minipass', '7.1.2')
('npm:ansi-styles', '3.2.1')
('npm:brace-expansion', '1.1.8')
('npm:fastparallel', '2.4.1')
('npm:are-we-there-yet', '1.1.4')
('npm:define-properties', '1.1.3')
('npm:@commitlint/to-lines', '19.0.0')
('npm:pino-caller', '3.2.0')
('npm:abbrev', '2.0.0')
('npm:babel-plugin-transform-regenerator', '6.26.0')
('npm:common-path-prefix', '3.0.0')
('npm:regexp-tree', '0.1.27')
('npm:dom-walk', '0.1.1')
('npm:mkdirp', '0.5.5')
('npm:babel-polyfill', '6.26.0')
('npm:cookiejar', '2.1.3')
('npm:lodash.upperfirst', '4.3.1')
('npm:@types/promptly', '3.0.2')
('npm:got', '^ 14.4.1')
('npm:pretty-ms', '7.0.1')
('npm:md5', '2.2.1')
('npm:es6-iterator', '2.0.1')
('actions:docker/setup-qemu-action', '3.1.0')
('npm:define-properties', '1.2.1')
('npm:arangojs', '5.8.0')
('npm:@commitlint/types', '19.0.3')
('npm:@types/serve-static', '1.13.10')
('npm:memoize', '10.0.0')
('npm:nan', '2.8.0')
('npm:jwks-utils', '1.0.5')
('npm:get-intrinsic', '1.1.1')
('npm:@oada/lib-config', '^ 3.7.0')
('npm:esrecurse', '4.3.0')
('npm:fast-jwt', '3.3.2')
('npm:punycode', '2.3.1')
('npm:pino', '9.2.0')
('npm:es-main', '^ 1.3.0')
('npm:chalk', '4.1.2')
('npm:rimraf', '2.6.2')
('npm:@eslint-community/eslint-utils', '4.4.0')
('npm:which-boxed-primitive', '1.0.2')
('npm:cliui', '7.0.4')
('npm:is-fullwidth-code-point', '3.0.0')
('npm:os-locale', '1.4.0')
('npm:@types/estree', '0.0.50')
('npm:ws', '8.17.1')
('npm:content-type', '1.0.4')
('npm:p-try', '1.0.0')
('npm:opn', '5.3.0')
('npm:@babel/code-frame', '7.22.13')
('npm:tinylogic', '2.0.0')
('npm:bluebird', '3.5.1')
('npm:ejs', '^ 3.1.10')
('npm:@yarnpkg/fslib', '3.1.0')
('npm:@eslint-community/regexpp', '4.10.0')
('npm:file-type', '4.4.0')
('npm:connect', '^ 3.7.0')
('npm:eslint-plugin-no-secrets', '1.0.2')
('npm:through2', '4.0.2')
('npm:jsdoc-type-pratt-parser', '4.0.0')
('npm:supports-color', '9.2.1')
('npm:p-cancelable', '2.1.1')
('npm:babel-generator', '6.26.1')
('npm:bindings', '1.2.1')
('npm:@fastify/sensible', '^ 5.6.0')
('npm:isexe', '3.1.1')
('npm:fastq', '1.17.1')
('npm:@github/browserslist-config', '1.0.0')
('npm:clone-response', '1.0.3')
('npm:time-zone', '1.0.0')
('npm:content-disposition', '0.5.4')
('npm:semver', '5.5.1')
('npm:micromatch', '4.0.5')
('npm:@types/urijs', '^ 1.19.25')
('npm:irregular-plurals', '3.3.0')
('npm:shimmer', '1.2.1')
('npm:node-abort-controller', '3.0.1')
('npm:which-collection', '1.0.1')
('npm:source-map', '0.5.7')
('npm:cacache', '18.0.3')
('npm:electron-to-chromium', '1.4.15')
('npm:pretty-ms', '9.0.0')
('npm:eslint-import-resolver-node', '0.3.9')
('npm:@typescript-eslint/visitor-keys', '7.16.0')
('npm:fast-glob', '3.2.11')
('npm:safe-regex-test', '1.0.0')
('npm:decamelize', '4.0.0')
('npm:signal-exit', '3.0.6')
('npm:opencollective-postinstall', '2.0.0')
('npm:minizlib', '2.1.2')
('npm:denque', '2.1.0')
('npm:fsevents', '2.3.2')
('npm:@babel/helper-validator-identifier', '7.24.5')
('npm:readdirp', '3.6.0')
('npm:standard-as-callback', '2.1.0')
('npm:@esbuild/linux-ppc64', '0.21.5')
('npm:prettier', '3.3.2')
('npm:urijs', '1.19.1')
('npm:colorette', '2.0.20')
('npm:js-yaml', '4.1.0')
('npm:es-abstract', '1.19.1')
('npm:@tsconfig/node12', '1.0.9')
('npm:graceful-fs', '4.1.11')
('npm:@types/json-schema', '7.0.15')
('npm:supports-preserve-symlinks-flag', '1.0.0')
('npm:finalhandler', '1.1.2')
('npm:supports-hyperlinks', '2.2.0')
('npm:code-excerpt', '3.0.0')
('npm:convert-to-spaces', '2.0.1')
('npm:lodash._getnative', '3.9.1')
('npm:es-main', '1.3.0')
('npm:minimalistic-assert', '1.0.1')
('npm:statuses', '1.5.0')
('npm:mime-types', '2.1.25')
('npm:randombytes', '2.0.3')
('npm:split2', '4.1.0')
('npm:is-interactive', '^ 2.0.0')
('npm:chokidar', '3.5.3')
('npm:array-union', '2.1.0')
('npm:@types/ws', '^ 8.5.10')
('npm:babel-plugin-transform-es2015-modules-amd', '6.24.1')
('npm:tapable', '2.2.1')
('npm:eslint-module-utils', '2.8.1')
('npm:retry', '0.10.1')
('npm:min-indent', '1.0.1')
('npm:@sindresorhus/is', '6.3.1')
('npm:semver', '5.7.1')
('npm:@types/responselike', '1.0.2')
('npm:passport-strategy', '1.0.0')
('npm:@types/mime', '1.3.4')
('npm:@esbuild/linux-s390x', '0.21.5')
('npm:lodash.truncate', '4.4.2')
('npm:json-pointer', '0.6.0')
('npm:urijs', '1.19.7')
('npm:fast-redact', '3.0.2')
('npm:capture-stack-trace', '1.0.1')
('npm:eslint-utils', '2.1.0')
('npm:@types/qs', '6.9.7')
('npm:supports-color', '5.5.0')
('npm:typed-array-buffer', '1.0.0')
('npm:has-flag', '4.0.0')
('npm:babel-plugin-transform-async-generator-functions', '6.24.1')
('npm:eslint-formatter-pretty', '4.1.0')
('npm:@types/pem-jwk', '2.0.2')
('npm:@types/type-is', '1.6.3')
('npm:duplexify', '4.1.2')
('npm:@szmarczak/http-timer', '5.0.1')
('npm:foreach', '2.0.5')
('npm:tough-cookie', '4.0.0')
('npm:validator', '13.7.0')
('npm:set-function-name', '2.0.1')
('npm:babel-plugin-check-es2015-constants', '6.22.0')
('npm:superagent', '3.6.3')
('npm:validator', '7.0.0')
('npm:nofilter', '3.1.0')
('npm:js-yaml', '3.14.1')
('npm:es-get-iterator', '1.1.3')
('npm:uuid', '^ 10.0.0')
('npm:regexpp', '3.2.0')
('npm:is-inside-container', '1.0.0')
('npm:js-yaml', '3.13.1')
('npm:currently-unhandled', '0.4.1')
('npm:@oada/oada-lookup', '1.0.0')
('npm:doctrine', '3.0.0')
('npm:sshpk', '1.13.0')
('npm:proc-log', '3.0.0')
('npm:@yarnpkg/parsers', '3.0.2')
('npm:@qlever-llc/interface2class', '^ 1.1.0')
('npm:retry', '0.12.0')
('npm:lodash.isstring', '4.0.1')
('npm:loose-envify', '1.4.0')
('npm:@aashutoshrathi/word-wrap', '1.2.6')
('npm:optional', '0.1.3')
('npm:mime-db', '1.36.0')
('npm:oauth-dyn-reg', '1.0.1')
('npm:p-map', '4.0.0')
('npm:@babel/highlight', '7.16.10')
('npm:qs', '6.10.2')
('npm:read-pkg', '5.2.0')
('npm:p-locate', '2.0.0')
('npm:fastify', '4.28.1')
('actions:actions/upload-release-asset', '1.0.2')
('npm:ip', '2.0.1')
('npm:@types/chai-as-promised', '7.1.4')
('npm:delayed-stream', '1.0.0')
('npm:babel-plugin-transform-exponentiation-operator', '6.24.1')
('npm:comment-json', '2.4.2')
('npm:lodash.clonedeep', '4.5.0')
('npm:git-raw-commits', '4.0.0')
('npm:isobject', '3.0.1')
('npm:tough-cookie', '2.3.2')
('npm:@rollup/pluginutils', '4.2.1')
('npm:@yarnpkg/core', '4.1.1')
('npm:object-assign', '4.1.1')
('npm:oauth2orize-openid', '0.4.1')
('npm:pino-abstract-transport', '1.2.0')
