('maven:org.eclipse.kapua:kapua-device-management-asset-internal', '2.1.0-SNAPSHOT')
('maven:org.springframework.boot:spring-boot-starter-web', '')
('maven:org.eclipse.kapua:kapua-consumer-lifecycle-app', '2.1.0-SNAPSHOT')
('maven:org.eclipse.jetty:apache-jsp', '')
('maven:org.eclipse.kapua:kapua-assembly-java-base', '')
('maven:org.eclipse.jetty:jetty-annotations', '')
('maven:io.netty:netty-transport-native-epoll', '4.1.100')
('actions:juliangruber/read-file-action', '1.*.*')
('maven:org.eclipse.kapua:kapua-device-management-keystore-internal', '')
('maven:com.google.protobuf:protobuf-java', '3.23.2')
('maven:org.apache.activemq:artemis-amqp-protocol', '2.31.2')
('maven:com.google.zxing:javase', '')
('maven:org.eclipse.kapua:kapua-device-registry-test-steps', '2.1.0-SNAPSHOT')
('maven:org.apache.maven.plugins:maven-war-plugin', '3.3.2')
('maven:org.springframework:spring-context', '5.3.23')
('maven:org.eclipse.kapua:kapua-openid-provider-generic', '')
('maven:javax.inject:javax.inject', '')
('maven:io.cucumber:cucumber-core', '')
('maven:org.eclipse.kapua:kapua-device-management-configuration-api', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-security-shiro', '2.1.0-SNAPSHOT')
('actions:actions/checkout', '4.*.*')
('maven:org.eclipse.kapua:kapua-account-test-steps', '')
('maven:org.springframework:spring-aop', '5.3.23')
('maven:org.eclipse.kapua:kapua-device-management-bundle-job', '')
('maven:com.extjs:gxt', '2.2.5')
('maven:org.eclipse.kapua:kapua-service-storable-internal', '')
('maven:org.eclipse.kapua:kapua-locator-guice', '2.1.0-SNAPSHOT')
('maven:com.fasterxml.jackson.module:jackson-module-parameter-names', '2.15.2')
('maven:io.swagger.core.v3:swagger-jaxrs2', '2.1.2')
('maven:org.fusesource.mqtt-client:mqtt-client', '1.14')
('maven:org.apache.activemq:artemis-core-client', '')
('maven:org.eclipse.kapua:kapua-job-engine-client', '')
('maven:org.eclipse.kapua:kapua-console-module-device', '')
('maven:org.apache.logging.log4j:log4j-api', '2.17.1')
('maven:org.eclipse.kapua:kapua-message-internal', '2.1.0-SNAPSHOT')
('maven:org.apache.shiro:shiro-web', '1.12.0')
('maven:org.quartz-scheduler:quartz', '2.3.2')
('maven:io.cucumber:cucumber-java', '')
('maven:org.eclipse.jetty:jetty-http', '9.4.53.v20231009')
('maven:org.apache.maven.plugins:maven-resources-plugin', '3.3.0')
('maven:io.netty:netty-all', '')
('maven:org.jolokia:jolokia-jvm', '1.3.4')
('maven:org.eclipse.kapua:kapua-device-management-all-internal', '2.1.0-SNAPSHOT')
('maven:org.sonatype.plugins:nexus-staging-maven-plugin', '1.6.5')
