('npm:ansi-styles', '3.2.1')
('npm:btoa-lite', '1.0.0')
('npm:define-properties', '1.1.3')
('npm:mkdirp', '0.5.5')
('npm:acorn-globals', '6.0.0')
('npm:remark-lint-final-newline', '1.0.4')
('npm:diff', '4.0.1')
('npm:socks', '2.3.3')
('npm:@lerna/pulse-till-done', '3.13.0')
('npm:axios', '^ 0.19.0')
('npm:cli-boxes', '2.2.0')
('npm:snyk-resolve-deps', '4.4.0')
('npm:merge-graphql-schemas', '^ 1.5.8')
('npm:passport-oauth1', '1.1.0')
('npm:whatwg-encoding', '1.0.5')
('npm:set-value', '2.0.1')
('npm:mongodb', '^ 3.2.7')
('npm:xregexp', '2.0.0')
('npm:bs-logger', '0.2.6')
('npm:eventemitter3', '4.0.4')
('npm:handlebars', '4.7.6')
('npm:test', '0.6.0')
('npm:graphql-tag', '2.10.3')
('npm:is-nan', '1.3.0')
('npm:lodash.flatten', '4.4.0')
('npm:@types/qs', '6.9.3')
('npm:bcrypt', '^ 3.0.6')
('npm:supports-color', '7.1.0')
('npm:minipass-pipeline', '1.2.3')
('npm:@apollo/client', '3.1.3')
('npm:snyk-try-require', '1.3.1')
('npm:fsevents', '2.1.3')
('npm:is-fullwidth-code-point', '3.0.0')
('npm:os-locale', '1.4.0')
('npm:query', '0.3.2')
('npm:@sindresorhus/slugify', '1.1.0')
('npm:tslint', '^ 5.10.0')
('npm:content-type', '1.0.4')
('npm:source-map-resolve', '0.5.3')
('npm:@types/ws', '7.2.5')
('npm:promzard', '0.3.0')
('npm:nuid', '1.1.4')
('npm:ignore-walk', '3.0.3')
('npm:file-type', '4.4.0')
('npm:tslint', '5.11.0')
('npm:ansi-align', '2.0.0')
('npm:use', '3.1.1')
('npm:windows-release', '3.2.0')
('npm:@types/supertest', '2.0.9')
('npm:@lerna/otplease', '3.16.0')
('npm:character-entities', '1.2.4')
('npm:istanbul-reports', '3.0.2')
('npm:@babel/plugin-transform-function-name', '7.10.1')
('npm:lodash.max', '4.0.1')
('npm:connect-flash', '^ 0.1.1')
('npm:source-map', '0.5.7')
('npm:at-least-node', '1.0.0')
('npm:@babel/code-frame', '7.10.4')
('npm:multimatch', '4.0.0')
('npm:xml2js', '0.4.22')
('npm:p-any', '3.0.0')
('npm:snyk-nodejs-lockfile-parser', '1.22.0')
('npm:lodash.sortby', '4.7.0')
('npm:jest-validate', '26.2.0')
('npm:p-limit', '2.2.1')
('npm:docker-modem', '2.1.3')
('npm:registry-url', '5.1.0')
('npm:bytes', '3.1.0')
('npm:p-map-series', '1.0.0')
('npm:unist-util-position', '3.1.0')
('npm:finalhandler', '1.1.2')
('npm:camelcase-keys', '4.2.0')
('npm:p-each-series', '2.1.0')
('npm:@lerna/command', '3.16.0')
('npm:@snyk/ruby-semver', '2.2.2')
('npm:levn', '0.3.0')
('npm:google-libphonenumber', '3.2.10')
('npm:relay-compiler', '10.0.1')
('npm:debuglog', '1.0.1')
('npm:minimalistic-assert', '1.0.1')
('npm:statuses', '1.5.0')
('npm:highlight.js', '9.18.1')
('npm:is-yarn-global', '0.3.0')
('npm:@types/zen-observable', '0.8.0')
