('npm:lie', '3.3.0')
('pip:dspy-ai', '>= 2.4.9')
('npm:string.prototype.trimend', '1.0.7')
('npm:prosemirror-transform', '1.7.0')
('npm:@graphql-tools/delegate', '10.0.3')
('npm:@temporalio/worker', '1.10.1')
('npm:@fortawesome/free-regular-svg-icons', '6.0.0')
('npm:any-promise', '1.3.0')
('npm:@manypkg/get-packages', '1.1.3')
('npm:@humanwhocodes/object-schema', '2.0.2')
('npm:url-regex-safe', '4.0.0')
('npm:react-sizeme', '3.0.2')
('npm:hpack.js', '2.1.6')
('npm:bignumber.js', '9.1.2')
('npm:mongodb-connection-string-url', '3.0.0')
('npm:globby', '6.1.0')
('npm:@types/eslint', '8.4.1')
('rust:ryu', '1.0.18')
('npm:signal-exit', '4.1.0')
('npm:webpack-merge', '5.8.0')
('npm:@radix-ui/react-dialog', '1.0.3')
('npm:js-base64', '3.7.2')
('npm:tinybench', '2.8.0')
('npm:aggregate-error', '3.1.0')
('npm:@aws-sdk/core', '3.436.0')
('npm:@local/hash-graph-types', '0.0.0-private')
('npm:http-proxy', '1.18.1')
('npm:human-signals', '2.1.0')
('npm:is-arrayish', '0.2.1')
('npm:assertion-error', '2.0.1')
('npm:@types/d3-format', '3.0.1')
('npm:@babel/template', '7.24.0')
('npm:array-union', '1.0.2')
('npm:type', '1.2.0')
('npm:@redocly/config', '0.6.2')
('rust:snow', '0.9.6')
('npm:@nestjs/core', '8.4.4')
('npm:fill-range', '7.1.1')
('rust:xml-rs', '0.8.20')
('rust:refinery-core', '0.8.14')
('npm:@webassemblyjs/floating-point-hex-parser', '1.11.6')
('npm:command-line-usage', '5.0.5')
('npm:npmlog', '5.0.1')
('rust:memchr', '>= 2.7.4,< 3.0.0')
('npm:babel-plugin-polyfill-regenerator', '0.6.2')
('npm:@babel/helper-create-class-features-plugin', '7.24.4')
('npm:blockprotocol', '0.0.12')
('rust:itoa', '1.0.11')
('npm:react-colorful', '5.6.1')
('npm:xml-js', '1.6.11')
('npm:string-width', '4.2.3')
('npm:cookie-signature', '1.0.6')
('npm:p-locate', '3.0.0')
('npm:is-stream', '3.0.0')
('npm:pkg-dir', '3.0.0')
('npm:@local/hash-graph-sdk', '0.0.0-private')
('npm:concurrently', '7.6.0')
('npm:@graphql-codegen/typescript', '2.8.7')
('npm:fd-slicer', '1.1.0')
('npm:signia', '0.1.1')
('npm:wink-nlp', '1.14.3')
('npm:array.prototype.tosorted', '1.1.3')
('npm:buffer-alloc', '1.2.0')
('npm:url-parse', '1.5.10')
('npm:shelljs', '0.8.5')
('npm:encodeurl', '2.0.0')
('npm:@mui/material', '5.14.11')
('npm:@esbuild/win32-x64', '0.17.19')
('npm:pumpify', '1.5.1')
('npm:graphql', '16.8.1')
('npm:@types/estree-jsx', '1.0.5')
