('npm:node-releases', '2.0.10')
('npm:@types/http-proxy', '1.17.14')
('npm:find-up', '5.0.0')
('npm:co', '4.6.0')
('rust:wasm-bindgen-shared', '0.2.87')
('npm:open', '9.1.0')
('npm:@types/d3-color', '3.1.3')
('npm:follow-redirects', '1.15.3')
('npm:posthtml-parser', '0.10.1')
('npm:file-loader', '6.2.0')
('npm:jest-runtime', '28.1.3')
('npm:ejs', '3.1.10')
('npm:@types/semver', '^ 7.3.8')
('npm:npm-bundled', '3.0.0')
('npm:html-webpack-plugin', '5.6.0')
('npm:constants-browserify', '1.0.0')
('rust:html5ever', '0.25.2')
('npm:ipaddr.js', '2.1.0')
('npm:babel-plugin-jest-hoist', '27.5.1')
('npm:@walletconnect/keyvaluestorage', '1.1.1')
('npm:es-to-primitive', '1.2.1')
('npm:jsonfile', '6.1.0')
('rust:syn', '2.0.55')
('npm:d3-array', '2.12.1')
('npm:@tauri-apps/tauri-forage', '1.0.0-beta.2')
('npm:jss-plugin-props-sort', '10.10.0')
('rust:strum_macros', '0.24.3')
('rust:windows-targets', '0.42.2')
('rust:webpki-roots', '0.25.4')
('npm:text-table', '0.2.0')
('npm:express', '4.19.2')
('npm:loader-runner', '4.2.0')
('rust:cast', '0.3.0')
('npm:pac-resolver', '7.0.0')
('npm:@parcel/transformer-css', '2.4.0')
('npm:@babel/helper-string-parser', '7.18.10')
('npm:finalhandler', '1.2.0')
('npm:arraybuffer.prototype.slice', '1.0.1')
('npm:d3-timer', '3.0.1')
('npm:es5-shim', '4.6.7')
('npm:terser', '5.15.0')
('npm:array-unique', '0.3.2')
('rust:digest', '0.10.7')
('npm:@types/babel__traverse', '7.20.5')
('npm:@storybook/telemetry', '6.5.16')
('npm:buffer', '6.0.3')
('npm:yup', '^ 0.32.9')
('npm:@babel/plugin-syntax-optional-chaining', '7.8.3')
('rust:memchr', '2.7.2')
('npm:uuid', '8.3.2')
('npm:strip-ansi', '6.0.1')
('npm:array-buffer-byte-length', '1.0.1')
('npm:typedarray-to-buffer', '3.1.5')
('npm:posix-character-classes', '0.1.1')
('npm:@babel/core', '7.23.2')
('npm:buffer', '5.7.1')
('npm:@ethersproject/bytes', '5.7.0')
('npm:@parcel/watcher-win32-x64', '2.4.1')
('npm:camelcase-keys', '2.1.0')
('rust:serde_with', '3.8.1')
('npm:semver', '7.5.4')
('rust:encoding_rs', '0.8.34')
('npm:@storybook/store', '6.5.16')
('npm:crypto-browserify', '3.12.0')
('npm:base64-js', '1.5.1')
('npm:browserslist', '4.21.3')
('npm:@wdio/logger', '7.16.0')
('npm:@babel/plugin-transform-optional-chaining', '7.24.1')
('npm:@types/retry', '0.12.0')
('npm:@jest/test-result', '29.7.0')
('npm:hash-base', '3.0.4')
('npm:shebang-command', '1.2.0')
('npm:@cosmjs/socket', '0.29.5')
('rust:windows_x86_64_gnu', '0.42.2')
('npm:normalize-url', '6.1.0')
('npm:author-regex', '1.0.0')
('rust:scroll_derive', '0.11.1')
('npm:bytes', '3.0.0')
('rust:snafu', '0.7.5')
('npm:@jest/types', '28.1.3')
('npm:@types/npmlog', '4.1.6')
('npm:ci-info', '3.3.2')
('npm:is-potential-custom-element-name', '1.0.1')
('npm:concat-stream', '2.0.0')
('npm:@protobufjs/eventemitter', '1.1.0')
('npm:jest-docblock', '27.5.1')
('npm:tar-fs', '3.0.4')
('npm:@noble/hashes', '1.0.0')
('npm:http-proxy-middleware', '2.0.4')
('rust:ref-cast-impl', '1.0.23')
('npm:long', '4.0.0')
('npm:terminal-link', '2.1.1')
('rust:cesu8', '1.1.0')
('npm:@tsconfig/node10', '1.0.11')
('npm:@cosmjs/amino', '^ 0.32.2')
('npm:citty', '0.1.6')
