('pip:aioredis', '1.3.1')
('pip:rfc3339-validator', '0.1.4')
('pip:pytest', '3.10.1')
('pip:langchain-community', '0.0.38')
('pip:sortedcontainers', '2.4.0')
('pip:opensearch-py', '1.1.0')
('actions:actions/cache', '3.3.1')
('pip:pygments', '2.16.1')
('pip:ddsketch', '3.0.1')
('pip:opentelemetry-api', '1.4.1')
('pip:rq', '1.8.1')
('pip:pymongo', '4.6.1')
('pip:dataclasses-json', '0.6.7')
('pip:py', '1.11.0')
('pip:filelock', '3.13.1')
('pip:zope-deprecation', '5.0')
('pip:grpcio', '1.34.1')
('pip:pillow', '10.3.0')
('pip:greenlet', '1.0.0')
('pip:opentelemetry-api', '1.18.0')
('pip:djangorestframework', '3.14.0')
('pip:pytest', '8.0.2')
('pip:aiosignal', '1.2.0')
('pip:pydantic-core', '2.20.1')
('pip:grpcio', '1.62.0')
('pip:constantly', '15.1.0')
('pip:pynamodb', '5.5.1')
('pip:charset-normalizer', '2.0.12')
('pip:prometheus-client', '0.17.1')
('pip:opentracing', '2.4.0')
('pip:zope-event', '4.6')
('pip:requests', '2.23.0')
('pip:grpcio', '1.42.0')
('pip:werkzeug', '2.1.2')
('pip:s3transfer', '0.10.0')
('pip:importlib-metadata', '6.11.0')
('pip:cattrs', '23.2.3')
('pip:pytest-mock', '3.10.0')
('pip:aws-sam-translator', '1.85.0')
('pip:pygments', '2.17.2')
('pip:greenlet', '3.0.2')
('pip:botocore', '1.34.49')
('actions:actions/github-script', '6.4.1')
('pip:certifi', '2023.5.7')
('pip:confluent-kafka', '2.1.0')
('pip:cryptography', '42.0.7')
('pip:requests', '2.20.1')
('pip:pydantic-core', '2.16.3')
('pip:rich', '13.7.0')
('pip:zipp', '3.6.0')
('pip:elasticsearch5', '5.5.6')
('pip:packaging', '24.1')
('actions:pypa/gh-action-pypi-publish', 'release/v1')
('pip:junit-xml', '1.9')
('pip:sshpubkeys', '3.3.1')
('pip:elastic-transport', '8.12.0')
('pip:rfc3986', '1.5.0')
('pip:orjson', '3.10.5')
('actions:actions/checkout', '4.*.*')
('pip:exceptiongroup', '1.1.1')
('pip:typing-extensions', '4.5.0')
('pip:numpy', '1.26.4')
('pip:opentelemetry-instrumentation', '0.37b0')
('pip:zope-interface', '6.4.post2')
('actions:pypa/cibuildwheel', '2.16.5')
('pip:viztracer', '')
('pip:protobuf', '4.22.0')
('pip:click', '7.1.2')
('pip:multidict', '6.0.5')
('pip:gevent', '23.9.0')
('pip:tempora', '4.1.2')
('pip:boto3', '1.34.15')
('pip:jmespath', '1.0.1')
('pip:pydantic-core', '2.20.0')
('pip:ai21-tokenizer', '0.9.1')
('pip:pydantic', '2.7.3')
('pip:filelock', '3.14.0')
('pip:iniconfig', '1.1.1')
('pip:mako', '1.1.6')
('pip:pycparser', '2.21')
('pip:tempora', '5.5.0')
('pip:pyasn1', '0.5.1')
('pip:zope-interface', '5.5.2')
('pip:starlette', '0.13.6')
('pip:langchain', '0.1.20')
('pip:greenlet', '1.1.3.post0')
('pip:protobuf', '5.27.2')
('pip:urllib3', '1.26.6')
('pip:vcrpy', '5.1.0')
('pip:ai21', '2.4.1')
('pip:mako', '1.2.4')
('pip:cachelib', '0.9.0')
('pip:httpretty', '1.1.4')
('actions:github/codeql-action/autobuild', '2.*.*')
('pip:flask-caching', '2.1.0')
('pip:rpds-py', '0.16.2')
('pip:jaraco-functools', '3.7.0')
('pip:starlette', '0.33.0')
('pip:langchain-text-splitters', '0.0.2')
('pip:automat', '22.10.0')
('pip:typing-extensions', '4.12.1')
('pip:psycopg2-binary', '2.9.9')
('pip:msgpack', '1.0.8')
('pip:prometheus-client', '0.20.0')
('pip:pytest-bdd', '4.1.0')
('pip:zipp', '3.19.0')
('pip:pydantic-core', '2.14.5')
('pip:botocore', '1.20.106')
('pip:flask-openapi3', '3.1.3')
('pip:email-validator', '2.2.0')
('pip:tzdata', '2024.1')
('rust:smallvec', '1.13.2')
('pip:coverage', '7.5.4')
('pip:pytest-asyncio', '0.14.0')
('pip:pynamodb', '5.4.1')
('pip:websockets', '10.4')
('pip:pyparsing', '2.4.7')
('pip:markupsafe', '2.1.2')
('pip:daphne', '3.0.2')
('pip:h11', '0.14.0')
('pip:markupsafe', '1.1.1')
('pip:redis', '3.5.3')
('pip:jaraco-context', '4.3.0')
('pip:pyrsistent', '0.18.0')
('pip:logbook', '1.0.0')
('pip:flask', '3.0.3')
('pip:ruamel-yaml-clib', '0.2.7')
('pip:coverage', '7.2.3')
('pip:aiobotocore', '2.3.1')
('pip:pytest-benchmark', '4.0.0')
('pip:jinja2', '2.11.3')
('pip:threadpoolctl', '3.2.0')
('pip:botocore', '1.34.126')
('pip:moto', '4.2.14')
('pip:mongoengine', '0.19.1')
('pip:billiard', '3.6.4.0')
('pip:mdit-py-plugins', '0.4.0')
('pip:pytest', '7.4.3')
('pip:httpcore', '1.0.4')
('pip:simplejson', '3.18.4')
('pip:webtest', '2.0.35')
('pip:types-requests', '2.32.0.20240602')
('rust:windows-targets', '0.52.5')
('pip:langchain-anthropic', '0.1.11')
('pip:langsmith', '0.1.77')
('pip:hiredis', '2.0.0')
('pip:typing-extensions', '4.10.0')
('pip:kombu', '4.6.11')
('pip:opentelemetry-semantic-conventions', '0.32b0')
