('composer:giggsey/libphonenumber-for-php', '8.13.39')
('composer:symfony/password-hasher', '5.4.40')
('npm:@webassemblyjs/helper-api-error', '1.11.1')
('npm:semver', '5.7.1')
('npm:lodash.truncate', '4.4.2')
('composer:webmozart/assert', '1.11.0')
('npm:@babel/plugin-transform-modules-commonjs', '7.18.6')
('npm:fullcalendar', '3.10.2')
('npm:copy-webpack-plugin', '11.0.0')
('composer:knplabs/github-api', '3.14.1')
('npm:eslint-utils', '2.1.0')
('npm:supports-color', '5.5.0')
('npm:has-flag', '4.0.0')
('composer:ext-gd', '>= 0')
('composer:symfony/form', '5.4.40')
('npm:immutable', '4.3.0')
('npm:@babel/plugin-transform-async-to-generator', '7.20.7')
('npm:nanoid', '3.3.4')
('npm:lodash.memoize', '3.0.4')
('npm:read-pkg', '3.0.0')
('npm:diff-sequences', '27.5.1')
('npm:colorette', '2.0.19')
('npm:external-editor', '3.1.0')
('npm:js-yaml', '3.14.1')
('npm:regexpp', '3.2.0')
('composer:psr/simple-cache', '2.0.0')
('composer:symfony/security-bundle', '5.4.40')
('npm:eslint-module-utils', '2.7.4')
('npm:doctrine', '3.0.0')
('npm:@babel/helper-plugin-utils', '7.20.2')
('composer:sebastian/recursion-context', '4.0.5')
('npm:sass-loader', '13.0.2')
('npm:loose-envify', '1.4.0')
('npm:enquire.js', '2.1.6')
('npm:jest-circus', '27.5.1')
('composer:symfony/polyfill-intl-normalizer', '1.30.0')
('npm:@jest/test-result', '27.5.1')
('composer:league/uri-interfaces', '7.4.1')
('composer:tijsverkoyen/css-to-inline-styles', '2.2.7')
('npm:@babel/plugin-transform-modules-amd', '7.18.6')
('npm:p-locate', '2.0.0')
('npm:bootstrap', '5.3.0')
('npm:icheck', '1.0.2')
('npm:caniuse-lite', '1.0.30001508')
('npm:serialize-javascript', '6.0.2')
('composer:symfony/cache', '>= 5.4,< 6.0')
('npm:@babel/plugin-transform-for-of', '7.18.8')
('npm:delayed-stream', '1.0.0')
('npm:brorand', '1.1.0')
('composer:phar-io/version', '3.2.1')
('npm:@webassemblyjs/floating-point-hex-parser', '1.11.1')
('composer:symfony/flex', '1.21.6')
('npm:isobject', '3.0.1')
('npm:flot', '0.8.3')
('npm:object-assign', '4.1.1')
('npm:terser', '5.30.0')
('npm:postcss', '8.4.17')
('npm:tty-browserify', '0.0.1')
('npm:@babel/preset-modules', '0.1.6-no-external-plugins')
('npm:@jest/environment', '27.5.1')
('npm:merge-stream', '2.0.0')
('npm:jest-util', '27.5.1')
('npm:@babel/highlight', '7.24.2')
('npm:stream-browserify', '2.0.2')
('composer:phpstan/phpstan', '1.11.5')
('npm:semver', '7.5.3')
('composer:symfony/polyfill-mbstring', '1.30.0')
('npm:functions-have-names', '1.2.3')
('npm:@types/eslint-scope', '3.7.4')
('composer:ocramius/doctrine-batch-utils', '2.7.0')
('npm:eonasdan-bootstrap-datetimepicker', '4.17.49')
('npm:import-local', '3.1.0')
('composer:elasticms/client-helper-bundle', '~> 5.18.0')
('npm:nestedSortable', '1.3.4')
('composer:symfony/options-resolver', '5.4.40')
('npm:path-key', '3.1.1')
('npm:@webassemblyjs/wasm-gen', '1.12.1')
('composer:symfony/property-access', '>= 5.4,< 6.0')
('npm:node-releases', '2.0.10')
('npm:@babel/plugin-transform-nullish-coalescing-operator', '7.24.1')
('npm:@babel/plugin-transform-unicode-property-regex', '7.24.1')
('npm:co', '4.6.0')
('npm:file-loader', '6.2.0')
('composer:symfony/doctrine-bridge', '5.4.40')
('npm:is-string', '1.0.7')
('npm:intl-tel-input', '17.0.21')
('composer:symfony/ldap', '>= 5.4,< 6.0')
('npm:find-cache-dir', '3.3.2')
('npm:is-obj', '2.0.0')
('npm:ajv-keywords', '3.5.2')
('npm:@babel/helper-create-class-features-plugin', '7.19.0')
('npm:constants-browserify', '1.0.0')
('npm:inherits', '2.0.3')
('npm:@babel/plugin-syntax-import-assertions', '7.18.6')
('npm:fast-levenshtein', '2.0.6')
('npm:rimraf', '2.7.1')
('npm:bootstrap-timepicker', '0.5.2')
('npm:babel-plugin-jest-hoist', '27.5.1')
('npm:bootstrap-colorpicker', '2.5.3')
('npm:@jridgewell/resolve-uri', '3.1.2')
('composer:twig/extra-bundle', '>= 3.4,< 4.0')
('npm:define-properties', '1.1.4')
('npm:es-to-primitive', '1.2.1')
('npm:inflight', '1.0.6')
('npm:@babel/plugin-transform-computed-properties', '7.18.9')
('npm:regenerator-runtime', '0.13.7')
('npm:validate-npm-package-license', '3.0.4')
('npm:inherits', '2.0.4')
('npm:@istanbuljs/load-nyc-config', '1.1.0')
('npm:is-fullwidth-code-point', '2.0.0')
('npm:cssstyle', '2.3.0')
('composer:cebe/markdown', '1.2.1')
('composer:doctrine/dbal', '3.8.6')
('npm:axe-core', '4.2.4')
('npm:copy-webpack-plugin', '9.1.0')
('npm:@babel/traverse', '7.19.3')
('npm:@types/babel__template', '7.4.4')
('npm:insert-module-globals', '7.2.0')
('npm:formdata-polyfill', '3.0.20')
('npm:fs-constants', '1.0.0')
('npm:@babel/helper-split-export-declaration', '7.18.6')
('npm:@babel/plugin-syntax-json-strings', '7.8.3')
('npm:get-size', '2.0.3')
('npm:text-table', '0.2.0')
('npm:loader-utils', '2.0.2')
('npm:@babel/helper-string-parser', '7.18.10')
('npm:browserify-cipher', '1.0.1')
('composer:symfony/mime', '>= 5.4,< 6.0')
('npm:@babel/plugin-transform-modules-commonjs', '7.21.2')
('npm:terser', '5.15.0')
('npm:ts-node', '10.9.2')
('composer:stevenmaguire/oauth2-keycloak', '>= 5.1,< 6.0')
('npm:@types/babel__traverse', '7.20.5')
('npm:@types/minimatch', '5.1.2')
('npm:buffer', '6.0.3')
('npm:psl', '1.9.0')
('npm:kind-of', '6.0.3')
('npm:@babel/plugin-syntax-optional-chaining', '7.8.3')
('npm:path-type', '3.0.0')
('npm:@types/estree', '1.0.5')
('npm:@babel/plugin-syntax-unicode-sets-regex', '7.18.6')
('npm:is', '3.3.0')
('composer:symfony/dependency-injection', '5.4.40')
('npm:array-includes', '3.1.6')
('npm:icss-utils', '5.1.0')
('npm:strip-ansi', '6.0.1')
('npm:estraverse', '5.3.0')
('npm:@webassemblyjs/utf8', '1.11.1')
('npm:typedarray-to-buffer', '3.1.5')
('composer:twig/inky-extra', '>= 3.4,< 4.0')
('npm:buffer', '5.7.1')
('npm:@babel/plugin-transform-for-of', '7.24.1')
('npm:@webassemblyjs/wasm-opt', '1.12.1')
('actions:actions/cache/save', '4.*.*')
('composer:caxy/php-htmldiff', '>= 0.1,< 0.2')
('composer:sensio/framework-extra-bundle', '6.2.10')
('npm:parse-asn1', '5.1.5')
('npm:ansi-escapes', '4.3.2')
('npm:bootstrap-datepicker', '1.9.0')
('npm:crypto-browserify', '3.12.0')
('npm:envinfo', '7.11.1')
('npm:base64-js', '1.5.1')
('npm:acorn', '8.8.2')
('npm:functional-red-black-tree', '1.0.1')
('composer:symfony/ux-twig-component', '2.18.1')
('npm:inline-source-map', '0.6.2')
('npm:postcss-modules-extract-imports', '3.0.0')
('npm:moment', '2.29.4')
('npm:@babel/plugin-transform-optional-chaining', '7.24.1')
('npm:@babel/plugin-transform-destructuring', '7.18.13')
('composer:symfony/expression-language', '6.4.8')
('npm:balanced-match', '1.0.0')
('npm:hash-base', '3.0.4')
('npm:datatables.net', '1.12.1')
('npm:shebang-command', '1.2.0')
('composer:composer/ca-bundle', '>= 1.1,< 2.0')
('npm:update-browserslist-db', '1.0.10')
('npm:readable-stream', '3.5.0')
('npm:@babel/plugin-proposal-optional-catch-binding', '7.18.6')
('npm:@webpack-cli/serve', '1.7.0')
('npm:levn', '0.4.1')
('npm:@types/eslint-scope', '3.7.7')
('npm:@babel/plugin-proposal-async-generator-functions', '7.19.1')
('npm:schema-utils', '2.7.1')
('npm:is-potential-custom-element-name', '1.0.1')
('npm:labeled-stream-splicer', '2.0.2')
('npm:jest-mock', '27.5.1')
('npm:@babel/plugin-transform-for-of', '7.21.0')
('npm:@babel/helper-explode-assignable-expression', '7.18.6')
('composer:symfony/dom-crawler', '>= 5.4,< 6.0')
('npm:browserify-des', '1.0.2')
('npm:jest-docblock', '27.5.1')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:jest-regex-util', '27.5.1')
('npm:datepicker', '0.0.0')
('npm:@babel/plugin-transform-modules-systemjs', '7.24.1')
('composer:symfony/http-client', '5.4.40')
('npm:@babel/plugin-transform-computed-properties', '7.20.7')
('composer:elasticms/core-bundle', '5.18.0')
('npm:enhanced-resolve', '5.16.0')
('npm:@babel/plugin-proposal-dynamic-import', '7.18.6')
('npm:convert-source-map', '1.1.3')
('npm:terminal-link', '2.1.1')
('npm:@types/eslint', '8.56.6')
('npm:@tsconfig/node10', '1.0.11')
('composer:doctrine/doctrine-migrations-bundle', '3.3.1')
('npm:crypto-js', '3.3.0')
('npm:type-fest', '0.21.3')
('npm:espree', '6.2.1')
('composer:elasticms/submission-bundle', '1.4.0')
('npm:intl-messageformat', '4.4.0')
('composer:mtdowling/jmespath.php', '2.7.0')
('npm:@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression', '7.24.1')
('npm:which', '1.3.1')
('npm:enhanced-resolve', '5.15.0')
('npm:@babel/helper-module-transforms', '7.19.0')
('npm:bn.js', '4.11.8')
('npm:string-width', '3.1.0')
('npm:@webassemblyjs/helper-wasm-section', '1.11.6')
('npm:resolve', '1.15.0')
('npm:@babel/helper-validator-option', '7.21.0')
('npm:regenerator-transform', '0.15.1')
('npm:import-fresh', '3.3.0')
('composer:php-http/httplug', '2.4.0')
('npm:@babel/plugin-syntax-import-assertions', '7.20.0')
('npm:mini-css-extract-plugin', '1.6.2')
('composer:symfony/security-core', '5.4.40')
('npm:iconv-lite', '0.4.24')
('npm:browserslist', '4.21.4')
('composer:doctrine/collections', '2.2.2')
('npm:hoopy', '0.1.4')
('npm:jest-worker', '27.5.1')
('npm:select2', '4.0.13')
('npm:@types/estree', '1.0.1')
('npm:@tsconfig/node16', '1.0.4')
('npm:path-parse', '1.0.7')
