('npm:serve-static', '1.11.1')
('npm:uuid', '3.0.1')
('npm:cookie-signature', '1.0.6')
('npm:setprototypeof', '1.0.2')
('npm:qs', '6.2.0')
('npm:levn', '0.3.0')
('npm:asynckit', '0.4.0')
('npm:ipaddr.js', '1.1.1')
('npm:inherits', '2.0.3')
('npm:xtend', '4.0.1')
('npm:require_optional', '1.0.0')
('npm:argparse', '1.0.9')
('npm:lodash._getnative', '3.9.1')
('npm:fast-levenshtein', '2.0.6')
('npm:readable-stream', '2.2.2')
('npm:optimist', '0.6.1')
('npm:basic-auth', '1.0.4')
('npm:boom', '2.10.1')
('npm:deep-eql', '0.1.3')
('npm:negotiator', '0.6.1')
('npm:tdigest', '0.1.1')
('npm:semver', '5.3.0')
('actions:docker/build-push-action', '1')
('npm:mongodb', '2.2.16')
('npm:forever-agent', '0.6.1')
('npm:inflight', '1.0.6')
('npm:estraverse', '1.9.3')
('npm:commander', '2.20.3')
('npm:sshpk', '1.16.1')
('npm:path-to-regexp', '0.1.7')
('npm:is-typedarray', '1.0.0')
('npm:cryptiles', '2.0.5')
('npm:crc', '3.4.1')
('npm:mongodb-core', '2.1.2')
('npm:source-map', '0.2.0')
('npm:crypt', '0.0.2')
('npm:util-extend', '1.0.3')
('npm:redis-parser', '2.6.0')
('npm:ansi-styles', '2.2.1')
('npm:lodash.create', '3.1.1')
('npm:esprima', '2.7.3')
('npm:jsprim', '1.3.1')
('com.github.microservices-demo/front-end', '')
('npm:cookie', '0.3.1')
('npm:optionator', '0.8.2')
('npm:bytes', '2.4.0')
('npm:connect-redis', '3.4.2')
('npm:aws4', '1.5.0')
('npm:generate-function', '2.0.0')
('npm:samsam', '1.1.2')
('npm:es6-promise', '3.2.1')
('npm:generate-object-property', '1.2.0')
('npm:cookiejar', '2.0.6')
('npm:caseless', '0.11.0')
('npm:verror', '1.3.6')
('npm:is-my-json-valid', '2.15.0')
('npm:ms', '0.7.1')
('npm:handlebars', '4.5.1')
('npm:express-session', '1.14.2')
('npm:media-typer', '0.3.0')
('npm:js-yaml', '3.7.0')
('npm:json-schema', '0.2.3')
('npm:once', '1.4.0')
('npm:lodash._basecopy', '3.0.1')
('npm:utils-merge', '1.0.0')
('npm:escape-string-regexp', '1.0.5')
('npm:sprintf-js', '1.0.3')
('npm:ee-first', '1.1.1')
('npm:which', '1.2.12')
('npm:ip-regex', '1.0.3')
('npm:browser-stdout', '1.3.0')
('npm:parseurl', '1.3.1')
('npm:core-util-is', '1.0.2')
('npm:encodeurl', '1.0.1')
('npm:body-parser', '1.15.2')
('npm:send', '0.14.1')
('npm:neo-async', '2.6.1')
('npm:minimist', '0.0.8')
('npm:redis', '2.8.0')
('npm:morgan', '1.7.0')
('npm:base64-url', '1.3.3')
('npm:mocha', '3.2.0')
('npm:type-detect', '0.1.1')
('npm:dashdash', '1.14.1')
('npm:json3', '3.3.2')
('npm:concat-map', '0.0.1')
('npm:stringstream', '0.0.5')
('npm:iconv-lite', '0.4.13')
('npm:has-ansi', '2.0.0')
('npm:statuses', '1.3.1')
('npm:on-headers', '1.0.1')
('npm:on-finished', '2.3.0')
('npm:formatio', '1.1.1')
('npm:mime', '1.3.4')
('npm:string_decoder', '0.10.31')
('npm:component-emitter', '1.2.1')
('npm:getpass', '0.1.7')
('npm:etag', '1.7.0')
('npm:type-check', '0.3.2')
('npm:path-is-absolute', '1.0.1')
('npm:debug', '4.1.1')
('npm:has-flag', '1.0.0')
('npm:redis-commands', '1.5.0')
