('npm:@babel/plugin-proposal-logical-assignment-operators', '7.16.7')
('npm:@testing-library/jest-dom', '4.2.4')
('npm:prettier-eslint-cli', '5.0.0')
('npm:workbox-expiration', '4.3.1')
('npm:which', '1.3.1')
('npm:@babel/core', '7.10.2')
('npm:standalone-single-spa-webpack-plugin', '3.0.0')
('npm:unicode-match-property-ecmascript', '1.0.4')
('npm:@typescript-eslint/types', '3.6.0')
('npm:trough', '1.0.5')
('npm:@storybook/node-logger', '6.1.11')
('npm:map-or-similar', '1.5.0')
('npm:isomorphic-fetch', '2.2.1')
('npm:react-focus-lock', '2.5.2')
('npm:@emotion/utils', '1.2.0')
('npm:path-parse', '1.0.7')
('npm:babel-plugin-polyfill-regenerator', '0.2.2')
('npm:webpack', '4.41.5')
('npm:react-universal-interface', '0.6.2')
('npm:find-replace', '2.0.1')
('npm:@types/react-dom', '^ 16.9.8')
('npm:natural-compare', '1.4.0')
('npm:eslint-plugin-jsx-a11y', '6.2.3')
('npm:chalk', '2.4.2')
('npm:@typescript-eslint/experimental-utils', '4.6.0')
('npm:@babel/plugin-proposal-export-namespace-from', '7.12.1')
('npm:xml-name-validator', '3.0.0')
('npm:@babel/preset-env', '7.9.0')
('npm:remark-slug', '6.0.0')
('npm:redux-dynamic-modules-core', '5.2.3')
('npm:@fortawesome/fontawesome-common-types', '0.2.32')
('npm:@webassemblyjs/helper-module-context', '1.8.5')
('npm:css-loader', '^ 3.0.0')
('npm:tough-cookie', '3.0.1')
('npm:react-custom-scrollbars', '4.2.1')
('npm:@types/jquery', '3.5.3')
('npm:globalthis', '1.0.1')
('npm:@chakra-ui/switch', '1.3.2')
('npm:path-dirname', '1.0.2')
('npm:file-entry-cache', '6.0.1')
('npm:is-absolute-url', '3.0.3')
('npm:postcss-font-variant', '4.0.0')
('npm:pretty-format', '23.6.0')
('npm:d3-drag', '1.2.5')
('npm:@babel/plugin-transform-duplicate-keys', '7.10.4')
('npm:d3-format', '1.4.5')
('npm:@babel/helper-hoist-variables', '7.10.4')
('rubygems:listen', '3.3.1')
('npm:postcss-selector-parser', '2.2.3')
('npm:babel-plugin-apply-mdx-type-prop', '1.6.22')
('npm:eslint-config-ts-react-important-stuff', '3.0.0')
('npm:cssom', '0.3.8')
('npm:@babel/plugin-transform-parameters', '7.12.1')
('npm:string.prototype.trimstart', '1.0.2')
('npm:react-bootstrap-table-next', '^ 4.0.3')
('npm:proxy-addr', '2.0.6')
('npm:exec-sh', '0.3.4')
('npm:node-sass', '4.14.1')
('npm:cli-table3', '0.5.1')
('npm:terser-webpack-plugin', '3.1.0')
('npm:enquirer', '2.3.6')
('npm:read-pkg', '4.0.1')
('npm:toidentifier', '1.0.0')
('npm:es5-ext', '0.10.53')
('npm:@webassemblyjs/wasm-opt', '1.9.0')
('npm:react-datetime', '3.0.4')
('rubygems:jekyll-watch', '2.2.1')
