('npm:istanbul-reports', '3.0.2')
('npm:@jest/source-map', '25.2.6')
('npm:micromatch', '4.0.2')
('npm:@webassemblyjs/floating-point-hex-parser', '1.7.11')
('npm:watchpack', '1.6.1')
('npm:shallowequal', '1.1.0')
('npm:source-map', '0.5.7')
('npm:bn.js', '5.1.1')
('npm:@jest/core', '25.5.4')
('npm:lodash.sortby', '4.7.0')
('npm:eslint', '6.8.0')
('npm:eventemitter3', '3.1.0')
('npm:bytes', '3.1.0')
('npm:js-yaml', '4.1.0')
('npm:acorn', '6.0.5')
('npm:finalhandler', '1.1.2')
('npm:p-each-series', '2.1.0')
('npm:levn', '0.3.0')
('npm:regexpp', '3.1.0')
('npm:postcss-preset-env', '6.5.0')
('npm:minimalistic-assert', '1.0.1')
('npm:statuses', '1.5.0')
('npm:@types/react-transition-group', '4.2.3')
('npm:builtin-status-codes', '3.0.0')
('npm:load-json-file', '2.0.0')
('npm:@webassemblyjs/helper-buffer', '1.9.0')
('npm:semver', '5.7.1')
('npm:passport-strategy', '1.0.0')
('npm:is-ci', '2.0.0')
('npm:@nestjs/elasticsearch', '7.1.0')
('npm:@types/tapable', '1.0.5')
('npm:lodash.templatesettings', '4.1.0')
('npm:supports-color', '5.5.0')
('npm:shellwords', '0.1.1')
('npm:yargs-parser', '11.1.1')
('npm:has-flag', '4.0.0')
('npm:union-value', '1.0.1')
('npm:webpack-hot-middleware', '2.24.3')
('npm:uniq', '1.0.1')
('npm:string-length', '3.1.0')
('npm:@sinonjs/commons', '1.7.2')
('npm:external-editor', '3.1.0')
('npm:ip-regex', '2.1.0')
('npm:js-yaml', '3.13.1')
('npm:is-regex', '1.0.4')
('npm:doctrine', '3.0.0')
('npm:jss-plugin-nested', '10.0.4')
('npm:loose-envify', '1.4.0')
('npm:entities', '1.1.2')
('npm:p-locate', '2.0.0')
('npm:read-pkg', '5.2.0')
('npm:is-stream', '2.0.0')
('npm:pkg-dir', '2.0.0')
('npm:@types/connect', '3.4.33')
('npm:@types/passport-strategy', '0.2.35')
('npm:delayed-stream', '1.0.0')
('npm:brorand', '1.1.0')
('npm:isobject', '3.0.1')
('npm:mobx-react', '5.4.3')
('npm:passport', '0.4.1')
('npm:@types/node', '13.13.5')
('npm:object-assign', '4.1.1')
('npm:is-absolute-url', '2.1.0')
('npm:react-is', '16.7.0')
('npm:chalk', '3.0.0')
('npm:nanomatch', '1.2.13')
('npm:min-document', '2.19.0')
('npm:w3c-xmlserializer', '1.1.2')
('npm:merge-stream', '2.0.0')
('npm:vary', '1.1.2')
('npm:@jest/test-result', '25.5.0')
('npm:snapdragon', '0.8.2')
('npm:kind-of', '4.0.0')
('npm:parse-json', '5.0.0')
('npm:flush-write-stream', '1.0.3')
('npm:wbuf', '1.7.3')
('npm:http-proxy', '1.17.0')
('npm:stream-browserify', '2.0.2')
('npm:postcss-media-minmax', '4.0.0')
('npm:jest-pnp-resolver', '1.2.1')
('npm:ora', '4.0.2')
('npm:utila', '0.4.0')
('npm:object-hash', '2.1.1')
('npm:connect-history-api-fallback', '1.6.0')
('npm:prompts', '2.3.2')
('npm:compressible', '2.0.15')
('npm:@types/istanbul-reports', '1.1.1')
('npm:path-key', '3.1.1')
('npm:@jest/environment', '25.5.0')
('npm:acorn-dynamic-import', '4.0.0')
('npm:http-parser-js', '0.5.0')
('npm:co', '4.6.0')
('npm:lodash', '4.17.11')
('npm:tapable', '1.1.1')
('npm:webpack-cleanup-plugin', '0.5.1')
('npm:jest-util', '25.5.0')
('npm:neo-async', '2.6.0')
('npm:indexes-of', '1.0.1')
('npm:json5', '1.0.1')
('npm:postcss-pseudo-class-any-link', '6.0.0')
('npm:@elastic/elasticsearch', '7.10.0')
('npm:postcss-value-parser', '3.3.1')
('npm:elliptic', '6.4.1')
('npm:jest-runner', '25.3.0')
('npm:serve-static', '1.14.1')
('npm:cli-highlight', '2.1.10')
('npm:is-data-descriptor', '0.1.4')
('npm:constants-browserify', '1.0.0')
('npm:inherits', '2.0.3')
('npm:fast-levenshtein', '2.0.6')
('npm:commander', '2.17.1')
('npm:body-parser', '1.19.0')
('npm:rimraf', '2.7.1')
('npm:dom-converter', '0.2.0')
('npm:object.assign', '4.1.0')
('npm:has-symbols', '1.0.1')
('npm:setprototypeof', '1.1.1')
('npm:aws4', '1.9.1')
('npm:es-to-primitive', '1.2.1')
('npm:inflight', '1.0.6')
('npm:process', '0.5.2')
('npm:validate-npm-package-license', '3.0.4')
('npm:inherits', '2.0.4')
('npm:icss-replace-symbols', '1.1.0')
('npm:is-fullwidth-code-point', '2.0.0')
('npm:cssstyle', '2.3.0')
('npm:css-what', '2.1.2')
('npm:inquirer', '7.1.0')
('npm:has-values', '1.0.0')
('npm:dicer', '0.2.5')
('npm:@babel/plugin-syntax-json-strings', '7.8.3')
('npm:text-table', '0.2.0')
('npm:tsconfig-paths-webpack-plugin', '3.2.0')
('npm:fs-extra', '8.1.0')
('npm:express', '4.16.4')
('npm:html-encoding-sniffer', '1.0.2')
('npm:make-dir', '1.3.0')
('npm:browserify-cipher', '1.0.1')
('npm:es6-weak-map', '2.0.3')
('npm:regexpu-core', '1.0.0')
('npm:internal-ip', '3.0.1')
('npm:babel-plugin-jest-hoist', '25.5.0')
('npm:array-unique', '0.3.2')
('npm:jest-changed-files', '25.3.0')
('npm:memoizee', '0.4.14')
('npm:@types/babel__core', '7.1.7')
('npm:@nestjs/platform-express', '7.0.9')
('npm:readable-stream', '3.1.1')
('npm:@typescript-eslint/typescript-estree', '2.28.0')
('npm:mime-db', '1.43.0')
('npm:is-callable', '1.1.4')
('npm:buffer', '6.0.3')
('npm:kind-of', '6.0.3')
('npm:@babel/plugin-syntax-optional-chaining', '7.8.3')
('actions:actions/checkout', '1')
('npm:js-base64', '2.5.1')
('npm:convert-source-map', '1.6.0')
('npm:mime-types', '2.1.27')
('npm:uuid', '8.3.2')
('npm:get-value', '2.0.6')
('npm:babel-loader', '8.0.5')
('npm:atob', '2.1.2')
