('pip:products-cmfeditions', '2.2.23')
('pip:xlrd', '1.1.0')
('pip:zc-ngi', '2.1.0')
('pip:collective-vdexvocabulary', '0.2.2')
('pip:zope-ramcache', '1.0')
('pip:collective-z3cform-datetimewidget', '1.2.9')
('pip:five-intid', '1.0.3')
('pip:functools32', '3.2.3.post2')
('pip:restrictedpython', '3.6.0')
('pip:zope-cachedescriptors', '3.5.1')
('pip:plone-app-versioningbehavior', '1.3.1')
('pip:zope-app-locales', '3.7.5')
('pip:products-cmfdynamicviewfti', '4.1.8')
('pip:products-zsqlmethods', '2.13.6')
('pip:zope-datetime', '3.4.1')
('pip:zope-tal', '3.5.2')
('pip:five-globalrequest', '1.0')
('actions:docker/metadata-action', '4')
('pip:five-z2monitor', '0.2')
('pip:pyquery', '1.4.0')
('pip:plone-formwidget-autocomplete', '1.4.0')
('pip:ftw-zipexport', '1.6.5')
('pip:plone-app-transmogrifier', '1.4.1')
('pip:products-ldapmultiplugins', '1.15.post4')
('pip:ftw-testing', '1.20.2')
('pip:sourcecodegen', '0.6.14')
('pip:zope-processlifetime', '1.0')
('pip:zope-browserresource', '3.10.3')
('pip:sqlalchemy-utils', '0.36.4')
('pip:ftw-table', '1.21.0')
('pip:zope-structuredtext', '3.5.1')
('pip:zope-dottedname', '3.4.6')
('pip:plonetheme-sunburst', '1.4.8')
('pip:experimental-cssselect', '0.3')
('pip:zope-authentication', '3.7.1')
('pip:zc-z3monitor', '0.8.0')
('pip:extensionclass', '2.13.2')
('pip:collective-jqcookie', '1.1.0')
('pip:ftw-structlog', '1.4.1')
('pip:collective-js-throttledebounce', '1.1')
('pip:products-marshall', '2.1.4')
('pip:zope-ptresource', '3.9.0')
('pip:products-plonelanguagetool', '3.2.10')
('pip:zope-event', '3.5.2')
('pip:z3c-zcmlhook', '1.0b1')
('pip:plumber', '1.5')
('pip:z3c-caching', '2.0')
('pip:zlog', '2.11.2')
('pip:ftw-upgrade', '3.3.1')
('pip:jdcal', '1.4')
('pip:zope-minmax', '1.1.2')
('pip:jsonschema', '2.6.0')
('pip:collective-taskqueue', '0.8.2')
('pip:plone-indexer', '1.0.7')
('pip:zope2', '2.13.30')
('pip:products-isurlinportal', '1.1.0')
('pip:products-zctextindex', '2.13.5')
('pip:zope-contentprovider', '3.7.2')
('pip:pyldap', '2.4.45')
('pip:plone-testing', '4.1.3')
('pip:plone-principalsource', '1.0')
('pip:plone-app-robotframework', '1.2.4')
('pip:zope-publisher', '3.12.6')
('pip:products-statusmessages', '4.1.2')
('pip:zope-index', '3.6.4')
('pip:zope-app-intid', '3.7.1')
('pip:ftw-usermigration', '1.3.0')
('pip:plone-rfc822', '1.1.4')
('pip:python-gettext', '1.0')
('pip:future', '0.18.3')
('pip:persistence', '2.13.2')
('pip:zope-sendmail', '3.7.5')
('pip:plone-app-uuid', '1.1.3')
('pip:plone-app-iterate', '2.1.18')
('pip:ftw-profilehook', '1.2.1')
('pip:archetypes-referencebrowserwidget', '2.5.11')
('pip:zope-app-publication', '3.12.0')
('pip:ftw-lawgiver', '1.17.3')
('pip:glob2', '0.6')
('pip:unidecode', '0.04.1')
('pip:plone-behavior', '1.3.2')
('pip:products-mailhost', '2.13.2')
('pip:souper', '1.0.2')
('pip:plone-subrequest', '1.8.7')
('pip:plone-app-textfield', '1.2.11')
('pip:plone-stringinterp', '1.0.14')
('pip:zope-broken', '3.6.0')
('pip:zope-configuration', '3.7.4')
('pip:collective-blueprint-jsonmigrator', '0.1.1')
('pip:repoze-catalog', '0.8.3')
('actions:docker/setup-buildx-action', '2')
('pip:products-sessions', '3.0')
('pip:zc-buildout', '2.13.3')
('pip:documenttemplate', '2.13.6')
('pip:zope-testing', '3.9.7')
('pip:plone-i18n', '2.0.11')
('pip:transmogrify-dexterity', '1.6.3')
('pip:repoze-xmliter', '0.6')
('pip:collective-dexteritytextindexer', '2.2.1')
('pip:plone-portlet-static', '2.0.4')
('pip:plone-intelligenttext', '3.1.0')
('pip:products-zopeversioncontrol', '1.1.3')
('pip:pytz', '2022.1')
('pip:plone-app-relationfield', '1.2.3')
('pip:tempstorage', '2.12.2')
('pip:plone-app-portlets', '2.5.6')
('pip:five-localsitemanager', '2.0.6')
('pip:zope-viewlet', '3.7.2')
('pip:products-ldapuserfolder', '2.28.post3')
('pip:plone-app-discussion', '2.2.21')
('pip:pillow', '6.2.2')
('pip:plone-app-contentrules', '3.0.9')
('pip:plone-app-testing', '4.2.7')
('pip:markdown', '2.0.3')
('pip:cssutils', '1.0.2')
('pip:zope-lifecycleevent', '3.6.2')
('pip:argcomplete', '1.9.4')
('pip:sqlalchemy', '1.3.24')
('pip:collective-js-extjs', '1.4.0')
('pip:dataflake-fakeldap', '2.1')
('pip:plone-z3cform', '0.8.1')
('pip:zope-sqlalchemy', '0.7.7')
('pip:z3c-form', '3.2.11')
('pip:ipaddress', '1.0.22')
('pip:plone-dexterity', '2.2.8')
('pip:plone-fieldsets', '2.0.3')
('pip:plone-app-caching', '1.1.12')
('pip:products-cmfuid', '2.2.2')
('pip:plone-memoize', '1.1.2')
('pip:zope-hookable', '3.4.1')
('pip:products-cmfplacefulworkflow', '1.5.15')
('pip:z3c-formwidget-query', '0.17')
('pip:plone-app-i18n', '2.0.3')
('pip:zope-traversing', '3.13.2')
('pip:zope-location', '3.9.1')
('pip:zope-browserpage', '3.12.2')
('pip:collective-quickupload', '1.11.1')
