('composer:symfony/event-dispatcher', '7.1.1')
('composer:kelunik/certificate', '1.1.3')
('npm:@babel/helper-module-imports', '7.24.7')
('go:github.com/aws/aws-sdk-go-v2/internal/configsources', '1.3.7')
('npm:@babel/plugin-syntax-async-generators', '7.8.4')
('npm:@babel/plugin-syntax-import-attributes', '7.24.7')
('npm:@babel/plugin-transform-modules-systemjs', '7.24.7')
('npm:@nodelib/fs.scandir', '2.1.5')
('npm:micromatch', '4.0.7')
('npm:stack-utils', '2.0.6')
('npm:esutils', '2.0.3')
('npm:@babel/plugin-transform-runtime', '7.24.7')
('pip:requests', '')
('composer:sebastian/global-state', '5.0.7')
('npm:is-path-inside', '3.0.3')
('composer:league/uri-interfaces', '2.3.0')
('npm:@babel/plugin-transform-private-property-in-object', '7.24.7')
('go:github.com/aws/aws-sdk-go-v2/internal/ini', '1.8.0')
('composer:webimpress/coding-standard', '1.3.2')
('composer:symfony/process', '5.4.40')
('npm:resolve-cwd', '3.0.0')
('npm:@webassemblyjs/helper-api-error', '1.11.6')
('npm:performance-now', '2.1.0')
('npm:oauth-sign', '0.9.0')
('npm:lodash.debounce', '4.0.8')
('npm:acorn-jsx', '5.3.2')
('npm:deepmerge', '4.3.1')
('npm:eslint-visitor-keys', '3.4.3')
('npm:@babel/helper-define-polyfill-provider', '0.6.2')
('npm:resolve-from', '4.0.0')
('npm:jest-pnp-resolver', '1.2.3')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:debug', '4.3.5')
('composer:sebastian/recursion-context', '5.0.0')
('npm:jest-snapshot', '29.7.0')
('npm:@babel/plugin-transform-optional-catch-binding', '7.24.7')
('actions:actions/setup-python', '82c7e631bb3cdc910f68e0081d67478d79c6982d')
('npm:@webassemblyjs/utf8', '1.11.6')
('npm:jquery', '3.7.1')
('npm:babel-preset-current-node-syntax', '1.0.1')
('npm:@types/babel__core', '7.20.5')
('npm:jest-changed-files', '29.7.0')
('npm:babel-plugin-jest-hoist', '29.6.3')
('npm:imurmurhash', '0.1.4')
('npm:cssom', '0.3.8')
('npm:@esbuild/darwin-arm64', '0.21.5')
('npm:@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression', '7.24.7')
('npm:@esbuild/netbsd-x64', '0.21.5')
('actions:actions/checkout', '4.*.*')
('npm:esquery', '1.5.0')
('composer:vimeo/psalm', '5.25.0')
('npm:path-exists', '4.0.0')
('npm:json-stable-stringify-without-jsonify', '1.0.1')
('composer:nikic/fast-route', '1.3.0')
('npm:@babel/parser', '7.24.7')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:json-schema', '0.4.0')
('npm:pure-rand', '6.1.0')
('npm:@babel/plugin-syntax-class-properties', '7.12.13')
('npm:@bcoe/v8-coverage', '0.2.3')
('npm:@esbuild/linux-arm', '0.21.4')
('npm:istanbul-lib-coverage', '3.2.2')
('composer:symfony/browser-kit', '6.4.8')
('npm:@jridgewell/sourcemap-codec', '1.4.15')
('composer:cooperaj/behat-psr-extension', '2.4.0')
('composer:sebastian/cli-parser', '2.0.1')
('npm:aria-query', '5.3.0')
('npm:prelude-ls', '1.2.1')
('npm:prompts', '2.4.2')
('npm:source-map', '0.6.1')
('npm:fast-diff', '1.3.0')
('npm:jest-watcher', '29.7.0')
('npm:tough-cookie', '4.1.4')
('npm:@esbuild/linux-x64', '0.21.5')
('composer:behat/transliterator', '1.5.0')
('pip:pytz', '')
('composer:fidry/cpu-core-counter', '1.1.0')
('npm:@babel/cli', '7.24.7')
('npm:@babel/plugin-transform-unicode-property-regex', '7.24.7')
('npm:node-int64', '0.4.0')
('npm:shebang-command', '2.0.0')
('composer:symfony/error-handler', '6.3.12')
('npm:@esbuild/linux-ia32', '0.21.5')
('pip:passlib', '')
('composer:sebastian/exporter', '4.0.6')
('go:gopkg.in/yaml.v2', '2.3.0')
('composer:gettext/gettext', '5.7.0')
('npm:ecc-jsbn', '0.1.2')
('composer:symfony/string', '6.4.8')
('npm:pkg-dir', '4.2.0')
('npm:@esbuild/freebsd-x64', '0.21.5')
('npm:@babel/runtime-corejs3', '7.24.7')
('npm:sass-embedded', '1.77.5')
('npm:https-proxy-agent', '5.0.1')
('composer:sebastian/code-unit', '2.0.0')
