('npm:listr-verbose-renderer', '0.5.0')
('npm:browser-stdout', '1.3.1')
('npm:fast-json-stringify', '1.21.0')
('npm:@sentry/utils', '5.15.5')
('npm:path-exists', '4.0.0')
('npm:pino-pretty', '4.1.0')
('npm:is-installed-globally', '0.3.2')
('npm:@types/color-name', '1.1.1')
('npm:minimatch', '3.0.4')
('npm:optionator', '0.8.3')
('npm:get-stdin', '6.0.0')
('npm:make-dir', '3.1.0')
('npm:@sentry/types', '5.15.5')
('npm:enquirer', '2.3.6')
('npm:forwarded', '0.1.2')
('npm:parseqs', '0.0.6')
('npm:array.prototype.map', '1.0.2')
('npm:toidentifier', '1.0.0')
('npm:find-versions', '3.2.0')
('npm:boxen', '4.2.0')
('npm:get-func-name', '2.0.0')
('npm:redux-devtools-extension', '^ 2.13.8')
('npm:execa', '4.0.3')
('npm:react-step-wizard', '^ 5.3.2')
('npm:react-zendesk', '^ 0.1.10')
('npm:shebang-command', '2.0.0')
('npm:touch', '3.1.0')
('npm:pify', '3.0.0')
('npm:require-main-filename', '2.0.0')
('npm:ecc-jsbn', '0.1.2')
('npm:pkg-dir', '4.2.0')
('npm:string.prototype.trimend', '1.0.0')
('npm:mocha', '7.2.0')
('npm:brace-expansion', '1.1.11')
('npm:resolve', '1.17.0')
('npm:y18n', '4.0.1')
('npm:cli-boxes', '1.0.0')
('npm:send', '0.16.2')
('npm:dotenv', '8.2.0')
('npm:path-type', '2.0.0')
('npm:mkdirp', '0.5.4')
('npm:@types/range-parser', '1.2.3')
('npm:fs.realpath', '1.0.0')
('npm:esrecurse', '4.2.1')
('npm:sliced', '1.0.1')
('npm:pseudomap', '1.0.2')
('npm:stringify-object', '3.3.0')
('npm:ms', '2.1.2')
('npm:emoji-regex', '8.0.0')
('npm:package-json', '4.0.1')
('npm:args', '5.0.1')
('npm:diff', '4.0.2')
('npm:executable', '4.1.1')
('npm:arrify', '2.0.1')
('npm:lodash.isobject', '3.0.2')
('npm:@babel/generator', '7.11.4')
('npm:readdirp', '3.3.0')
('npm:arch', '2.1.2')
('npm:@types/bson', '4.0.3')
('npm:aggregate-error', '3.1.0')
('npm:fluent-schema', '0.10.0')
('npm:is-arrayish', '0.2.1')
('npm:resolve', '1.15.1')
('npm:serialize-javascript', '5.0.1')
('npm:is-callable', '1.2.0')
('npm:fastify', '2.15.1')
('npm:@sentry/apm', '5.15.5')
('npm:is-redirect', '1.0.0')
('npm:dicer', '0.3.0')
('npm:@sinonjs/fake-timers', '6.0.1')
('npm:uuid', '^ 8.1.0')
('npm:is-obj', '1.0.1')
('npm:react-moment', '^ 0.9.7')
('npm:babel-eslint', '10.1.0')
('npm:busboy', '0.3.1')
('npm:extract-zip', '1.7.0')
('npm:fd-slicer', '1.1.0')
('npm:validator', '^ 13.1.17')
('npm:http-errors', '1.7.3')
('npm:fastify-oas', '2.7.0')
('npm:has-yarn', '2.1.0')
('npm:react-image-crop', '^ 8.6.5')
('npm:request-progress', '3.0.0')
('npm:symbol-observable', '1.2.0')
('npm:super-tiny-icons', '^ 0.3.2')
('npm:@babel/runtime', '7.11.2')
('npm:component-inherit', '0.0.3')
('npm:fastify-cookie', '3.6.1')
('npm:fresh', '0.5.2')
('npm:abstract-logging', '2.0.0')
('npm:moment', '2.29.1')
('actions:docker/build-push-action', '1.0.1')
('npm:type-fest', '0.8.1')
('npm:slice-ansi', '0.0.4')
('npm:eslint-import-resolver-node', '0.3.3')
('npm:prepend-http', '2.0.0')
('npm:minimist', '1.2.5')
('npm:typeface-work-sans', '^ 0.0.72')
('npm:eslint-plugin-import', '2.22.0')
('npm:stream-shift', '1.0.1')
('npm:eslint-scope', '5.0.0')
('npm:pino-papertrail', '2.0.0')
('npm:@babel/template', '7.10.4')
('npm:@types/json5', '0.0.29')
('npm:aws-sign2', '0.7.0')
('npm:onetime', '5.1.0')
('npm:mime-types', '2.1.26')
('npm:fastify-sensible', '2.1.1')
('npm:is-regex', '1.1.1')
('npm:p-limit', '1.3.0')
('npm:npm-run-path', '4.0.1')
('npm:react-redux', '^ 7.2.0')
('npm:readdirp', '3.5.0')
('npm:is-binary-path', '2.1.0')
('npm:argparse', '1.0.10')
('npm:ansi-regex', '3.0.0')
('npm:registry-url', '3.1.0')
('npm:eslint-plugin-prettier', '3.1.4')
('npm:react-router', '^ 5.1.2')
('npm:string.prototype.trimstart', '1.0.1')
('npm:xdg-basedir', '4.0.0')
('npm:signal-exit', '3.0.3')
('npm:cliui', '5.0.0')
('npm:path-exists', '3.0.0')
('npm:import-fresh', '3.2.1')
('npm:listr', '0.14.3')
('npm:redis-errors', '1.2.0')
('npm:regexpp', '2.0.1')
('npm:google-map-react', '^ 2.1.9')
('npm:slice-ansi', '2.1.0')
('npm:global', '4.3.2')
('npm:glob-parent', '5.1.1')
('npm:cli-truncate', '2.1.0')
('npm:jws', '3.2.2')
('npm:json-schema', '0.2.3')
('npm:getos', '3.2.1')
('npm:graceful-fs', '4.2.4')
('npm:widest-line', '3.1.0')
('npm:reusify', '1.0.4')
('npm:prettier', '2.1.1')
('npm:path-parse', '1.0.6')
('npm:component-emitter', '1.3.0')
('npm:object-inspect', '1.7.0')
('npm:run-async', '2.4.0')
('npm:buffer-crc32', '0.2.13')
('npm:mochawesome-report-generator', '5.1.0')
('npm:string_decoder', '1.1.1')
('actions:unsplash/comment-on-pr', 'master')
('npm:saslprep', '1.0.3')
('npm:yaml', '1.8.3')
('npm:pumpify', '2.0.1')
('npm:workerpool', '6.0.0')
('npm:unzip-response', '2.0.1')
('npm:@types/express-serve-static-core', '4.17.3')
('npm:fsu', '1.1.1')
('npm:buffer', '4.9.2')
('npm:humanize-ms', '1.2.1')
('npm:is-installed-globally', '0.1.0')
('npm:onetime', '1.1.0')
('npm:rxjs', '6.6.2')
('npm:@babel/types', '7.11.0')
