('npm:@webassemblyjs/wasm-parser', '1.5.13')
('npm:querystringify', '2.0.0')
('npm:content-type', '1.0.4')
('npm:p-try', '1.0.0')
('npm:bluebird', '3.5.1')
('npm:browserslist', '4.1.1')
('npm:tslint', '5.11.0')
('npm:use', '3.1.1')
('npm:@types/node', '10.9.2')
('npm:exit-hook', '1.1.1')
('npm:merge-jsons-webpack-plugin', '1.0.16')
('npm:better-assert', '1.0.2')
('npm:prettier', '1.13.7')
('npm:semver', '5.5.1')
('npm:parse-asn1', '5.1.0')
('npm:source-map', '0.5.7')
('npm:ajv-errors', '1.0.0')
('npm:lodash.sortby', '4.7.0')
('npm:tfunk', '3.1.0')
('npm:lolex', '2.7.4')
('npm:default-require-extensions', '1.0.0')
('npm:callsite', '1.0.0')
('npm:graceful-fs', '4.1.11')
('npm:replace-ext', '0.0.1')
('npm:camelcase-keys', '4.2.0')
('npm:jest-snapshot', '23.6.0')
('npm:levn', '0.3.0')
('npm:@types/q', '0.0.32')
('npm:lodash._getnative', '3.9.1')
('npm:spdx-correct', '3.0.0')
('npm:builtin-status-codes', '3.0.0')
('npm:ultron', '1.1.1')
('npm:react-toastify', '4.1.0')
('npm:supports-color', '5.5.0')
('npm:shellwords', '0.1.1')
('npm:css-what', '2.1.0')
('npm:csso', '3.4.0')
('npm:nwsapi', '2.0.9')
('npm:asn1.js', '4.9.2')
('npm:foreach', '2.0.5')
('npm:url-parse', '1.4.3')
('npm:cli-truncate', '0.2.1')
('npm:uniq', '1.0.1')
('npm:jest-validate', '23.6.0')
('npm:read-pkg', '3.0.0')
('npm:gh-got', '6.0.0')
('npm:agent-base', '4.1.1')
('npm:currently-unhandled', '0.4.1')
('npm:is-regex', '1.0.4')
('npm:postcss-minify-selectors', '4.0.0')
('npm:object.entries', '1.0.4')
('npm:yallist', '2.1.2')
('npm:kind-of', '1.1.0')
('npm:ssri', '5.3.0')
('npm:lodash.isstring', '4.0.1')
('npm:terser', '3.8.2')
('npm:loose-envify', '1.4.0')
('npm:mime-db', '1.36.0')
('npm:@types/react-router-dom', '4.3.0')
('npm:is-string', '1.0.4')
('npm:p-locate', '2.0.0')
('npm:pkg-dir', '2.0.0')
('npm:husky', '0.14.3')
('npm:delayed-stream', '1.0.0')
('npm:brorand', '1.1.0')
('npm:lodash.clonedeep', '4.5.0')
('npm:isobject', '3.0.1')
('npm:@sinonjs/samsam', '2.0.0')
('npm:acorn-globals', '4.1.0')
('npm:@webassemblyjs/wasm-opt', '1.5.13')
('npm:fast-deep-equal', '1.1.0')
('npm:cssnano', '4.1.0')
('npm:object-assign', '4.1.1')
('npm:is-absolute-url', '2.1.0')
('npm:body-parser', '1.18.2')
('npm:append-transform', '0.4.0')
('npm:redux-devtools-log-monitor', '1.4.0')
('npm:nanomatch', '1.2.13')
('npm:tslint-loader', '3.6.0')
('npm:arr-diff', '2.0.0')
('npm:micromatch', '2.3.11')
('npm:min-document', '2.19.0')
('npm:vary', '1.1.2')
('npm:@fortawesome/react-fontawesome', '0.1.0')
('npm:snapdragon', '0.8.2')
('npm:postcss-modules-extract-imports', '1.2.0')
('npm:blocking-proxy', '1.0.1')
('npm:flush-write-stream', '1.0.3')
('npm:wbuf', '1.7.3')
('npm:jest', '23.5.0')
('npm:has-unicode', '2.0.1')
('npm:loader-utils', '1.1.0')
('npm:webpack-dev-server', '3.1.4')
('npm:eventemitter3', '1.2.0')
('npm:workbox-precaching', '3.5.0')
('npm:utila', '0.4.0')
('npm:@types/enzyme', '3.1.13')
('npm:has-cors', '1.1.0')
('npm:jest-diff', '23.6.0')
('npm:compressible', '2.0.15')
('npm:triple-beam', '1.3.0')
('npm:chardet', '0.4.2')
('npm:postcss-normalize-display-values', '4.0.0')
('npm:regenerate', '1.3.3')
('npm:workbox-build', '3.5.0')
('npm:postcss-minify-params', '4.0.0')
('npm:lodash.isplainobject', '4.0.6')
('npm:co', '4.6.0')
('npm:browser-sync-ui', '1.0.1')
('npm:react-addons-css-transition-group', '>= 16.0.0,<= alpha.3')
('npm:interpret', '1.1.0')
('npm:indexes-of', '1.0.1')
('npm:react-loadable', '5.5.0')
('npm:@types/webpack-env', '1.13.6')
('npm:jest-environment-node', '23.4.0')
('npm:to-array', '0.1.4')
('npm:isbinaryfile', '3.0.3')
('npm:sshpk', '1.14.2')
('npm:ejs', '2.6.1')
('npm:workbox-cache-expiration', '3.5.0')
('npm:@webassemblyjs/helper-api-error', '1.5.13')
('npm:is-data-descriptor', '0.1.4')
('npm:inherits', '2.0.3')
('npm:constants-browserify', '1.0.0')
('npm:fast-levenshtein', '2.0.6')
('npm:object.assign', '4.1.0')
('npm:jest', '23.2.0')
('npm:jasminewd2', '2.2.0')
('npm:colors', '0.5.1')
('npm:color-string', '1.5.3')
('npm:inflight', '1.0.6')
('npm:process', '0.5.2')
('npm:validate-npm-package-license', '3.0.4')
('npm:icss-replace-symbols', '1.1.0')
('npm:is-fullwidth-code-point', '2.0.0')
('npm:redux-devtools-instrument', '1.9.0')
('npm:connect', '3.6.6')
('npm:raf', '3.4.0')
('npm:base64-arraybuffer', '0.1.5')
('npm:commander', '2.18.0')
('npm:has-values', '1.0.0')
('npm:fastparse', '1.1.1')
('npm:detect-indent', '4.0.0')
('npm:thread-loader', '1.1.5')
('npm:url-to-options', '1.0.1')
('npm:loud-rejection', '1.6.0')
('npm:parse-gitignore', '1.0.1')
('npm:text-table', '0.2.0')
('npm:cache-loader', '1.2.2')
('npm:html-encoding-sniffer', '1.0.2')
('npm:make-dir', '1.3.0')
('npm:deep-eql', '3.0.1')
('npm:qs', '6.2.3')
('npm:tslint-eslint-rules', '5.4.0')
('npm:regexpu-core', '1.0.0')
('npm:merge2', '1.2.2')
('npm:array-unique', '0.3.2')
('npm:@types/react-dom', '16.0.7')
('npm:babel-core', '6.26.3')
('npm:resp-modifier', '6.0.2')
('npm:is-callable', '1.1.4')
('npm:http-proxy', '1.15.2')
('npm:path-type', '3.0.0')
('npm:express', '4.16.3')
('npm:@webassemblyjs/floating-point-hex-parser', '1.5.13')
('npm:got', '7.1.0')
('npm:get-value', '2.0.6')
('npm:atob', '2.1.2')
('npm:env-paths', '1.0.0')
('npm:posix-character-classes', '0.1.1')
('npm:asn1', '0.2.4')
('npm:lodash._reinterpolate', '3.0.0')
('npm:socket.io-client', '2.0.4')
('npm:color-name', '1.1.1')
('npm:glob-to-regexp', '0.3.0')
('npm:randombytes', '2.0.6')
('npm:mem', '1.1.0')
('npm:crypto-browserify', '3.12.0')
('npm:assert', '1.4.1')
('npm:callsites', '2.0.0')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:dateformat', '3.0.3')
('npm:bytes', '3.0.0')
('npm:postcss-convert-values', '4.0.0')
('npm:arr-union', '2.1.0')
('npm:redux-thunk', '2.3.0')
('npm:nan', '2.11.0')
('npm:plugin-error', '0.1.2')
('npm:postcss-ordered-values', '4.1.0')
('npm:@types/lodash', '4.14.110')
('npm:aws4', '1.8.0')
('npm:regjsgen', '0.2.0')
('npm:timsort', '0.3.0')
('npm:ts-loader', '4.5.0')
('npm:ripemd160', '2.0.1')
('npm:to-regex', '3.0.2')
('npm:async-each-series', '0.1.1')
('npm:cacache', '10.0.4')
('npm:error-stack-parser', '1.3.6')
('npm:object.getownpropertydescriptors', '2.0.3')
('npm:moment', '2.22.2')
('npm:csstype', '2.5.6')
('npm:define-property', '2.0.2')
('npm:xml', '1.0.1')
('npm:growl', '1.10.5')
('npm:date-fns', '1.29.0')
('npm:which', '1.3.1')
('npm:bn.js', '4.11.8')
('npm:ajv-keywords', '3.2.0')
('npm:is-symbol', '1.0.1')
('npm:hsl-regex', '1.0.0')
('npm:postcss-reduce-transforms', '4.0.0')
('npm:toposort', '1.0.6')
('npm:string-template', '0.2.1')
('npm:webpack', '4.14.0')
('npm:iconv-lite', '0.4.24')
('npm:fbjs', '0.8.16')
('npm:repeat-string', '1.6.1')
('npm:last-call-webpack-plugin', '3.0.0')
