,Repo_id,URL,VAG,AWS,AZ,PUP,TF/OT,SS,PUL,BIC,DOCK,CHEF,GOOG,KUB,ANS,Validated files,IaC_tools
55,czcorpus_kontext,https://github.com/czcorpus/kontext,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
56,stoqs_stoqs,https://github.com/stoqs/stoqs,1,0,0,0,0,0,0,0,1,0,0,0,1,{'VAG': '/Users/mrobredo23/stoqs_stoqs/Vagrantfile'},"VAG, DOCK, ANS"
57,amazeeio_lagoon,https://github.com/amazeeio/lagoon,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
58,DataDog_dd-trace-py,https://github.com/DataDog/dd-trace-py,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
59,fedspendingtransparency_data-act-broker-backend,https://github.com/fedspendingtransparency/data-act-broker-backend,0,0,0,0,0,0,0,0,1,0,0,0,0,,DOCK
60,matter-labs_zksync,https://github.com/matter-labs/zksync,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
61,3scale_porta,https://github.com/3scale/porta,0,0,0,0,0,0,0,0,1,0,0,0,0,,DOCK
62,palletone_go-palletone,https://github.com/palletone/go-palletone,1,0,0,0,0,0,0,0,1,0,0,0,1,{'VAG': '/Users/mrobredo23/palletone_go-palletone/vendor/github.com/elastic/gosigar/Vagrantfile'},"VAG, DOCK, ANS"
63,FarmBot_Farmbot-Web-App,https://github.com/FarmBot/Farmbot-Web-App,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
64,coopcycle_coopcycle-web,https://github.com/coopcycle/coopcycle-web,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
65,eclipse_kapua,https://github.com/eclipse/kapua,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
66,smrealms_smr,https://github.com/smrealms/smr,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
67,omisego_elixir-omg,https://github.com/omisego/elixir-omg,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
68,rust-lang_crates.io,https://github.com/rust-lang/crates.io,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
69,deviantony_docker-elk,https://github.com/deviantony/docker-elk,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
70,confluentinc_examples,https://github.com/confluentinc/examples,0,0,0,0,0,0,0,0,1,0,0,0,0,,DOCK
71,hashicorp_waypoint,https://github.com/hashicorp/waypoint,0,0,0,0,0,0,0,0,1,0,1,0,1,,"DOCK, GOOG, ANS"
72,tmtsoftware_csw,https://github.com/tmtsoftware/csw,0,0,0,0,0,0,0,0,0,0,0,0,1,,ANS
73,akka_alpakka,https://github.com/akka/alpakka,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
74,comic_grand-challenge.org,https://github.com/comic/grand-challenge.org,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
75,skywatch-jtv_agile-lorawan-support,https://github.com/skywatch-jtv/agile-lorawan-support,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
76,bcgov_jag-file-submission,https://github.com/bcgov/jag-file-submission,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
77,prisma_prisma-engines,https://github.com/prisma/prisma-engines,0,0,0,0,0,0,0,0,0,0,0,0,1,,ANS
